"gene","cellType.target","mean.target","cellType.2nd","mean.2nd","MeanRatio","MeanRatio.rank","MeanRatio.anno","gene_ensembl","gene_name"
"PLEKHH2","Inhib.Chandelier",1.75716030793032,"Inhib.Vip",0.0657594525448915,26.721030056185,1,"Inhib.Chandelier/Inhib.Vip: 26.721","ENSG00000152527","PLEKHH2"
"GRIN2C","Inhib.Chandelier",0.989936593153478,"Inhib.Vip",0.0492532432550527,20.09891182246,2,"Inhib.Chandelier/Inhib.Vip: 20.099","ENSG00000161509","GRIN2C"
"PLEKHD1","Inhib.Chandelier",0.638601040699293,"Inhib.Vip",0.0335424910928544,19.0385692860879,3,"Inhib.Chandelier/Inhib.Vip: 19.039","ENSG00000175985","PLEKHD1"
"ENSG00000287912","Inhib.Chandelier",1.03075802705097,"Inhib.Vip",0.0756153654607924,13.6315948586591,4,"Inhib.Chandelier/Inhib.Vip: 13.632","ENSG00000287912","ENSG00000287912"
"SCUBE3","Inhib.Chandelier",0.814441510748648,"Inhib.Vip",0.0623905964962514,13.0539144756787,5,"Inhib.Chandelier/Inhib.Vip: 13.054","ENSG00000146197","SCUBE3"
"LINC02720","Inhib.Chandelier",0.552203157502767,"Inhib.Lamp5_Lhx6",0.0426879468822388,12.9358097035237,6,"Inhib.Chandelier/Inhib.Lamp5_Lhx6: 12.936","ENSG00000255178","LINC02720"
"NOG","Inhib.Chandelier",0.493885047929253,"Inhib.Pax6",0.0411184779366568,12.0112677490175,7,"Inhib.Chandelier/Inhib.Pax6: 12.011","ENSG00000183691","NOG"
"COL15A1","Inhib.Chandelier",0.548383441646594,"Inhib.Vip",0.0461191375932907,11.890583177912,8,"Inhib.Chandelier/Inhib.Vip: 11.891","ENSG00000204291","COL15A1"
"MME","Inhib.Chandelier",1.28590823493677,"Inhib.Vip",0.109085330679802,11.7880949429515,9,"Inhib.Chandelier/Inhib.Vip: 11.788","ENSG00000196549","MME"
"LINC01837","Inhib.Chandelier",1.07143039671822,"Inhib.Vip",0.115753808855735,9.25611353362505,10,"Inhib.Chandelier/Inhib.Vip: 9.256","ENSG00000267489","LINC01837"
"CHST9","Inhib.Lamp5_Lhx6",1.67250546129585,"Inhib.Vip",0.168573787528579,9.92150372733545,1,"Inhib.Lamp5_Lhx6/Inhib.Vip: 9.922","ENSG00000154080","CHST9"
"LINC01344","Inhib.Lamp5_Lhx6",1.25928761374087,"Inhib.Vip",0.1424327280484,8.84127988697203,2,"Inhib.Lamp5_Lhx6/Inhib.Vip: 8.841","ENSG00000228918","LINC01344"
"LAMP5","Inhib.Lamp5_Lhx6",1.65692912104669,"Inhib.Vip",0.220488637710375,7.5148050178584,3,"Inhib.Lamp5_Lhx6/Inhib.Vip: 7.515","ENSG00000125869","LAMP5"
"ARHGAP31","Inhib.Lamp5_Lhx6",0.815198655632034,"Inhib.Vip",0.10949054053922,7.44537977086726,4,"Inhib.Lamp5_Lhx6/Inhib.Vip: 7.445","ENSG00000031081","ARHGAP31"
"EYA4","Inhib.Lamp5_Lhx6",3.18618132184933,"Inhib.Vip",0.446974262305504,7.12833286063259,5,"Inhib.Lamp5_Lhx6/Inhib.Vip: 7.128","ENSG00000112319","EYA4"
"PDGFD","Inhib.Lamp5_Lhx6",2.08607957438183,"Inhib.Vip",0.297236585138031,7.01824633536647,6,"Inhib.Lamp5_Lhx6/Inhib.Vip: 7.018","ENSG00000170962","PDGFD"
"SV2C","Inhib.Lamp5_Lhx6",2.32100499811964,"Inhib.Vip",0.365950045190209,6.34240937697728,7,"Inhib.Lamp5_Lhx6/Inhib.Vip: 6.342","ENSG00000122012","SV2C"
"ENSG00000289612","Inhib.Lamp5_Lhx6",0.482413272032567,"Inhib.Vip",0.0791797454695229,6.09263479153584,8,"Inhib.Lamp5_Lhx6/Inhib.Vip: 6.093","ENSG00000289612","ENSG00000289612"
"CA2","Inhib.Lamp5_Lhx6",1.00040373272157,"Inhib.Pax6",0.180139789257752,5.55348563936724,9,"Inhib.Lamp5_Lhx6/Inhib.Pax6: 5.553","ENSG00000104267","CA2"
"PDGFRA","Inhib.Lamp5_Lhx6",0.801866503633786,"Inhib.Vip",0.157408955225788,5.09416063707168,10,"Inhib.Lamp5_Lhx6/Inhib.Vip: 5.094","ENSG00000134853","PDGFRA"
"DOCK8","Inhib.Pax6",1.29691397171518,"Inhib.Vip",0.0659062668034627,19.6781586124833,1,"Inhib.Pax6/Inhib.Vip: 19.678","ENSG00000107099","DOCK8"
"LINC01162","Inhib.Pax6",0.80754099704605,"Inhib.Vip",0.049216558642987,16.4079126885707,2,"Inhib.Pax6/Inhib.Vip: 16.408","ENSG00000232790","LINC01162"
"HTR3A","Inhib.Pax6",0.440018956571748,"Inhib.Vip",0.0363055896433419,12.1198680669946,3,"Inhib.Pax6/Inhib.Vip: 12.12","ENSG00000166736","HTR3A"
"ENSG00000289007","Inhib.Pax6",0.760918935397241,"Inhib.Sst",0.0718893518005671,10.5845847311039,4,"Inhib.Pax6/Inhib.Sst: 10.585","ENSG00000289007","ENSG00000289007"
"CD99","Inhib.Pax6",0.256539760604516,"Inhib.Vip",0.029002051828555,8.84557279329909,5,"Inhib.Pax6/Inhib.Vip: 8.846","ENSG00000002586","CD99"
"SLCO1C1","Inhib.Pax6",0.853745280886451,"Inhib.Vip",0.113760288849866,7.50477420124322,6,"Inhib.Pax6/Inhib.Vip: 7.505","ENSG00000139155","SLCO1C1"
"FKBP5","Inhib.Pax6",1.30105382740379,"Inhib.Vip",0.182627448607526,7.12408697227004,7,"Inhib.Pax6/Inhib.Vip: 7.124","ENSG00000096060","FKBP5"
"SYT6","Inhib.Pax6",1.12333535650249,"Inhib.Vip",0.159099088812279,7.06060207439599,8,"Inhib.Pax6/Inhib.Vip: 7.061","ENSG00000134207","SYT6"
"ENSG00000257239","Inhib.Pax6",0.308578238097127,"Inhib.Vip",0.0480862702095616,6.41717972203568,9,"Inhib.Pax6/Inhib.Vip: 6.417","ENSG00000257239","ENSG00000257239"
"LINC01416","Inhib.Pax6",0.644530993817228,"Inhib.Vip",0.115254996755207,5.59221736118014,10,"Inhib.Pax6/Inhib.Vip: 5.592","ENSG00000260930","LINC01416"
"HHATL","Inhib.Pvalb",0.292716486362038,"Inhib.Sst",0.0394432813073063,7.42120018062029,1,"Inhib.Pvalb/Inhib.Sst: 7.421","ENSG00000010282","HHATL"
"KCNK13","Inhib.Pvalb",0.673631481482182,"Inhib.Pax6",0.105619246155979,6.37792358873077,2,"Inhib.Pvalb/Inhib.Pax6: 6.378","ENSG00000152315","KCNK13"
"RNF144B","Inhib.Pvalb",0.872870272652617,"Inhib.Vip",0.142311428316243,6.13352197346327,3,"Inhib.Pvalb/Inhib.Vip: 6.134","ENSG00000137393","RNF144B"
