cell_type,enrichment_top5,MeanRatio_top5,overlap_top10
Inhib.Chandelier,"PLEKHA1, TPD52, NACC2, FRMPD4, MDGA2","PLEKHH2, GRIN2C, PLEKHD1, ENSG00000287912, SCUBE3","PLEKHD1, PLEKHH2"
Inhib.Lamp5_Lhx6,"CASP4LP, IL12A, ADAM22, ZNF648, PLEKHO1","CHST9, LINC01344, LAMP5, ARHGAP31, EYA4",NA
Inhib.Pax6,"CILP2, ARL5A, PKN2, LINC01162, CD99P1","DOCK8, LINC01162, HTR3A, ENSG00000289007, CD99",LINC01162
Inhib.Pvalb,"ENSG00000283648, MEPE, FGF12, MYBPC1, ENSG00000286637","HHATL, KCNK13, RNF144B, FILIP1, MIR34AHG",SLC26A4
Inhib.Sst,"KCNJ5, IQSEC1, ITFG1, BCL11A, FAM89A","SST, TMCC3, FAM89A, KLF5, COL19A1",FAM89A
Inhib.Vip,"CHRNA2, SLC6A2, ENSG00000226939, ENSG00000286778, VIP","CALB2, ADRA1B, LAMA3, FAT4, FIGN",NA
