Study,OL_cluster,Gene_signature,Source
Marques et al. (2016),OPC,Ptprz1; Pdgfra; Serpine2; Cspg5; Vcan; Cspg4,Supplementary Table 1-Top marker genes per dendrogram branch (Figure 1C)
Marques et al. (2016),COP,Cd9; Neu; 43110035E14Rik; Bmp4; Gpr17; Vcan,Supplementary Table 1-Top marker genes per dendrogram branch (Figure 1C)
Marques et al. (2016),NFOL1,9630013A20Rik; Arpc1b; Tmem2; Chn2; Mpzl1; Frmd4a,Supplementary Table 1-Top marker genes per dendrogram branch (Figure 1C)
Marques et al. (2016),NFOL2,9630013A20Rik; Arpc1b; Tmem2; Mobp; Ddr1; Tspan2,Supplementary Table 1-Top marker genes per dendrogram branch (Figure 1C)
Marques et al. (2016),MFOL1,Ctps; Tmem141; Opalin; 9630013A20Rik,Supplementary Table 1-Top marker genes per dendrogram branch (Figure 1C)
Marques et al. (2016),MFOL2,Ctps; Tmem141; Opalin; Mal; Ptgds; Evi2a-evi2b,Supplementary Table 1-Top marker genes per dendrogram branch (Figure 1C)
Marques et al. (2016),MOL1,Apod; Sepp1; S100b; Fosb; Dusp1; Dnajb1,Supplementary Table 1-Top marker genes per dendrogram branch (Figure 1C)
Marques et al. (2016),MOL2,Apod; Sepp1; S100b; Anxa5; Klk6; Mgst3,Supplementary Table 1-Top marker genes per dendrogram branch (Figure 1C)
Marques et al. (2016),MOL3,Apod; Sepp1; S100b; Car2; Cntn2; Gad2,Supplementary Table 1-Top marker genes per dendrogram branch (Figure 1C)
Marques et al. (2016),MOL4,Apod; Sepp1; S100b; Serpinb1a; Neat1,Supplementary Table 1-Top marker genes per dendrogram branch (Figure 1C)
Marques et al. (2016),MOL5,Apod; Sepp1; S100b; Cyp51; Dhcr24; Pdlim2,Supplementary Table 1-Top marker genes per dendrogram branch (Figure 1C)
Marques et al. (2016),MOL6,Apod; Sepp1; S100b; Il33; Apoe; Ptgds,Supplementary Table 1-Top marker genes per dendrogram branch (Figure 1C)
Zeisel et al. (2018),OPC,Pdgfra; C1ql1; Sapcd2; Emid1; Lhfpl3,Supplementary Table 4-Trinarization-based markers
Zeisel et al. (2018),COP1,Neu4; Brca1; Bmp4; Pak4; Lims2,Supplementary Table 4-Trinarization-based markers
Zeisel et al. (2018),COP2,Tnr; Rinl; Gpr17; Enpp6; Pdcd4,Supplementary Table 4-Trinarization-based markers
Zeisel et al. (2018),NFOL1,Cnksr3; H2-Ab1; Rras2; Il23a; Tmem163,Supplementary Table 4-Trinarization-based markers
Zeisel et al. (2018),NFOL2,Tmem2; Gm26834; Rras2; Itpr2; Sema4d,Supplementary Table 4-Trinarization-based markers
Zeisel et al. (2018),MFOL1,Ccp110; Snx33; Hhip; Tmem88b; Arap2,Supplementary Table 4-Trinarization-based markers
Zeisel et al. (2018),MFOL2,2210011C24Rik; Wfdc18; Tmem141; Birc2; Fam214a,Supplementary Table 4-Trinarization-based markers
Zeisel et al. (2018),MOL1,Opalin; Ninj2; Efhd1; Mal; Ppp1r14a,Supplementary Table 4-Trinarization-based markers
Zeisel et al. (2018),MOL2,Hapln2; Dock5; Anln; Ugt8a; Gjb1,Supplementary Table 4-Trinarization-based markers
Zeisel et al. (2018),MOL3,Klk6; Nkx2-9; Cdkn1c; Rab37; 2700046A07Rik,Supplementary Table 4-Trinarization-based markers
Falcao et al. (2018),EAE_m1,Serpina3m; Klk8; Serpina3c; Serping1; Irf7; Cd74; Ifih1,Supplementary Figure 4B
Falcao et al. (2018),EAE_m3,Lyz2; C4b; Serpina3n; Klk6; Igtp; Irgm2; Ccdc13,Supplementary Figure 4B
Falcao et al. (2018),EAE_m13,Plin4; Hif3a; Fam107a; Phyhd1; Cdkn1a; Sult1a1,Supplementary Figure 4B
Jakel et al. (2019),ImOLs,ARHGAP24; MEF2C; C10orf11; APOE; CD74; DOCK8; PLXDC2; ELL2; APBB1IP; HLA-DRA; C3; PTPRC,Supplementary Figure 8C
Zhou et al. (2020),Reactive_OLs,C4b; Serpina3n; H2-d1,Figure 2A
Lee et al. (2021),MOL-DA1,C4b; Serpina3n,Figure 2D
Lee et al. (2021),MOL-DA2,C4b; Serpina3n; Cdkn1a; Ddit3; Gadd45a,Figure 2D
Yao et al. (2021),OPC,Pdgfra; Col14a1; Cnr1; Gad2; Spock3; Sema3c; Zfp385b,Supplementary Table 6
Yao et al. (2021),Oligo_Enpp6_1,Col14a1; Kcnip1; Cxcl14; Spock3; Sema3c; Chrna7,Supplementary Table 6
Yao et al. (2021),Oligo_Enpp6_2,Col14a1; Gad2; Cxcl14; Cnr1; Rab3c; A830018L16Rik,Supplementary Table 6
Yao et al. (2021),Oligo_Enpp6_3,Col14a1; Grik1; Cxcl14; Spock3; Sema3c; Necab1,Supplementary Table 6
Yao et al. (2021),Oligo_Enpp6_4,Kcnip1; Gad1; Col14a1; Gad2; Grik1; Pax6,Supplementary Table 6
Yao et al. (2021),Oligo_Opalin_1,Adarb2; Grip1; Col14a1; Kcnip1; Gad1; Dab1,Supplementary Table 6
Yao et al. (2021),Oligo_Opalin_2,A830018L16Rik; Kcnip1; Col14a1; Grik1; Slc2a13; Gad1,Supplementary Table 6
Yao et al. (2021),Oligo_Opalin_3,Grip1; Col14a1; Kcnip1; A830018L16Rik; Grik1; Gad1,Supplementary Table 6
Yao et al. (2021),Oligo_Opalin_4,Col14a1; Kcnip1; Gad1; Maf; Shisa9; Neto1,Supplementary Table 6
Sadick et al. (2022),Int0,SVEP1; LINC01608; PLXDC2; DYSF,Figure 3E
Sadick et al. (2022),Int1,CTNNA2; CNDP1; ST3GAL6; QDPR; CRYAB,Figure 3E
Sadick et al. (2022),Int2,FP236383.3; MT-ND4; MT-ND3; MT-CO2; MT-ATP6,Figure 3E
Sadick et al. (2022),Int3,ACTN2; SLC5A11; RASGRF1; LINC00609; ANKRD18A,Figure 3E
Sadick et al. (2022),Int4,SGCZ; MDGA2; CNTN1; KCNIP4; FRY,Figure 3E
Sadick et al. (2022),Int5,RBFOX1; AFF3; ACSBG1; COL18A1,Figure 3E
Sadick et al. (2022),Int6,NRP2; LUCAT1; NAV2; CAMK2D; NEAT1,Figure 3E
Kenigsbuch et al. (2022),DOLs,Serpina3n; C4b; H2-d1; H2-k1; B2m; Il33; Klk6; CD9; CD63,Figure 2F
Pandey et al. (2022),MOL-DA1,Serpina3n; C4b; Anxa2; Plvap; Thbs3; Steap3; Emp3; Parvb; S100a10; Tnfrsf1a; Col6a1; Sema4f,Figure 2B
Pandey et al. (2022),MOL-DA2,Cdkn1a; Bax; Ddit3; Fos; Atf4; Egr1; Ccnd1; Tnfrsf12a; Btg1; Egr2; Klf4; Fgf7; Rrad; Gdf15,Figure 2B
Pandey et al. (2022),MOL-INF,H2-d1; Stat1; Bst2; Igtp; Psmb8; Irgm1; Ifit1; Irf7; Psme1; Oasl2; H2-q4; Tap1; Ifit2,Figure 2B
Kaya et al. (2022),AROs,C4b; Serpina3n; Socs3; Vim; Gadd45a; Bbc3,Figure 1G
