"","q","loglik"
"1",2,-2736658.09086569
"2",3,-2751059.54132
"3",4,-2772928.85951261
"4",5,-2773228.44531008
"5",6,-2803933.07408217
"6",7,-2829128.75894022
"7",8,-2864628.58725693
"8",9,-3008367.72120932
"9",10,-2994292.89688215
"10",11,-2993968.85211624
"11",12,-2982492.40050244
"12",13,-2988604.38721108
"13",14,-2977595.37728553
"14",15,-2973135.29091202
"15",16,-2969701.99377528
"16",17,-2965040.11339741
"17",18,-2958620.36394507
"18",19,-2955626.30062495
"19",20,-2955661.64842988
"20",21,-2944344.99218211
"21",22,-2942059.5585554
"22",23,-2941154.95518767
"23",24,-2940736.06836598
"24",25,-2930912.14810775
"25",26,-2931962.5874058
"26",27,-2929194.87969814
"27",28,-2927239.01117918
