Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000228794,LINC01128,11,-0.5049,28,1.11273,23,0.75112,10,-0.6638,6,-1.2844,15,-0.0134,16,0.14918,9,-0.7194
ENSG00000188976,NOC2L,40,-0.3139,54,0.17065,52,0.12320,116,1.56632,32,-0.6680,28,-0.8845,35,-0.5105,31,-0.6964
ENSG00000188290,HES4,32,-0.7136,25,-1.1052,36,-0.5409,76,0.70718,76,0.70099,32,-0.7293,85,0.90068,40,-0.3510
ENSG00000187608,ISG15,52,0.73262,7,-2.2512,25,-0.4492,32,-0.0940,40,0.30186,54,0.79199,26,-0.4065,32,-0.0543
ENSG00000188157,AGRN,8,-1.0893,25,0.63408,18,0.07918,17,-0.0296,21,0.35426,16,-0.0598,12,-0.5129,18,0.13694
ENSG00000078808,SDF4,130,0.70262,87,0.01528,83,-0.0606,62,-0.5323,108,0.38827,58,-0.6391,63,-0.4920,97,0.20131
ENSG00000176022,B3GALT6,53,0.55833,43,0.22923,42,0.16441,29,-0.4339,44,0.24466,24,-0.6913,50,0.47542,17,-1.2309
ENSG00000160087,UBE2J2,21,-1.0611,30,-0.5512,65,0.72414,53,0.37263,52,0.33806,40,-0.0949,44,0.05406,34,-0.3629
ENSG00000131584,ACAP3,18,-1.8880,47,-0.3923,77,0.40693,85,0.58156,52,-0.2489,78,0.42519,75,0.35651,51,-0.2625
ENSG00000127054,INTS11,39,-0.3045,44,-0.1132,69,0.65388,52,0.17000,51,0.14147,46,-0.0353,44,-0.0894,30,-0.7000
ENSG00000224051,CPTP,46,0.49194,42,0.35618,36,0.09058,46,0.49331,42,0.33817,23,-0.6209,25,-0.4773,13,-1.5143
ENSG00000107404,DVL1,18,-1.8417,64,0.15657,52,-0.1878,68,0.25937,67,0.21334,62,0.10527,51,-0.2125,85,0.63723
ENSG00000175756,AURKAIP1,104,-0.8159,125,-0.5309,166,-0.0697,157,-0.1561,187,0.12463,225,0.44002,210,0.32043,212,0.33903
ENSG00000221978,CCNL2,69,0.65729,46,-0.0374,48,0.02602,48,0.04795,47,-0.0041,35,-0.4897,41,-0.2354,42,-0.1648
ENSG00000242485,MRPL20,204,-0.0091,154,-0.4625,184,-0.1818,234,0.21523,234,0.22213,195,-0.0839,250,0.33192,186,-0.1560
ENSG00000179403,VWA1,63,-0.2296,104,0.61349,23,-1.7629,23,-1.7369,117,0.82355,139,1.14651,53,-0.4882,55,-0.4270
ENSG00000197785,ATAD3A,25,0.64273,18,0.05112,21,0.35030,12,-0.5988,19,0.15780,11,-0.6315,19,0.16242,12,-0.5531
ENSG00000205090,TMEM240,29,-0.4186,37,-0.0516,51,0.46757,81,1.31909,19,-1.1245,22,-0.8548,37,-0.0556,30,-0.3780
ENSG00000160075,SSU72,114,-0.4145,126,-0.2590,182,0.35008,144,-0.0334,164,0.17577,134,-0.1583,146,-0.0154,169,0.23297
ENSG00000228594,FNDC10,17,-0.8949,23,-0.4665,39,0.39903,65,1.30189,13,-1.2991,35,0.22345,25,-0.3429,29,-0.1096
ENSG00000272106,AL691432.2,4,-2.5945,25,0.00466,43,0.92486,26,0.04734,17,-0.5944,22,-0.1848,20,-0.3597,43,0.90712
ENSG00000197530,MIB2,26,-0.2470,29,-0.0297,43,0.60238,45,0.67466,17,-0.9193,22,-0.4907,29,-0.0692,29,-0.0196
ENSG00000189339,SLC35E2B,31,-0.3943,47,0.29530,42,0.08876,41,0.07803,43,0.13750,18,-1.2571,32,-0.3358,62,0.77107
ENSG00000215790,SLC35E2A,1,-3.4964,11,-0.1095,23,1.12115,11,-0.1860,5,-1.2428,11,-0.2059,22,0.98464,13,0.12031
ENSG00000008130,NADK,19,-0.1420,27,0.40730,20,-0.0524,32,0.68285,10,-1.1685,14,-0.6383,26,0.36106,20,-0.0723
ENSG00000078369,GNB1,390,0.04309,364,-0.0710,469,0.35107,359,-0.0953,415,0.14454,265,-0.5777,350,-0.1364,429,0.20230
ENSG00000187730,GABRD,47,-0.0158,37,-0.3860,78,0.85348,72,0.71927,22,-1.1983,19,-1.3730,29,-0.7681,74,0.75083
ENSG00000067606,PRKCZ,79,-1.1166,139,-0.2227,248,0.75407,239,0.68308,112,-0.5681,94,-0.8395,149,-0.1142,217,0.51964
ENSG00000162585,FAAP20,113,0.79033,67,-0.0876,44,-0.7499,69,-0.0576,66,-0.1208,52,-0.4953,66,-0.1259,91,0.42026
ENSG00000157933,SKI,36,0.00385,40,0.15924,35,-0.0557,46,0.40766,40,0.15112,46,0.39016,30,-0.3137,17,-1.1808
ENSG00000157916,RER1,23,-1.3988,70,0.31822,81,0.56363,52,-0.1759,90,0.75831,68,0.26125,41,-0.5424,37,-0.7024
ENSG00000157911,PEX10,48,0.52544,41,0.23431,37,0.08222,26,-0.5150,23,-0.6934,41,0.25676,43,0.33603,23,-0.6475
