Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to7,Feature log2 fold change topic 3to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,146,3.04474,2,-4.0170,26,-0.5485,6,-2.5238,0,-5.6382
ENSG00000188976,NOC2L,146,1.81698,47,-0.1850,43,-0.6025,17,-1.6947,51,-0.0690
ENSG00000188290,HES4,146,-0.1117,776,3.27861,76,-1.7586,13,-3.7129,97,-0.7545
ENSG00000187608,ISG15,146,0.40484,144,0.38194,117,0.07164,60,-1.0167,95,-0.3035
ENSG00000188157,AGRN,146,1.84759,80,0.71614,39,-0.8187,19,-1.5259,29,-0.8947
ENSG00000078808,SDF4,146,0.76776,182,1.15949,66,-0.9342,41,-1.2490,134,0.61648
ENSG00000176022,B3GALT6,146,1.81613,46,-0.2331,46,-0.4315,16,-1.8153,39,-0.4669
ENSG00000160087,UBE2J2,146,1.61008,55,-0.1027,50,-0.4668,24,-1.3420,51,-0.2080
ENSG00000131584,ACAP3,146,0.52959,93,-0.2193,115,0.28313,67,-0.7230,73,-0.5947
ENSG00000127054,INTS11,146,1.38196,117,0.96458,48,-0.8804,57,-0.2307,34,-1.0346
ENSG00000224051,CPTP,146,2.10425,36,-0.4084,41,-0.3386,22,-1.1101,5,-3.3023
ENSG00000107404,DVL1,146,0.79751,147,0.80451,69,-0.7888,67,-0.4863,115,0.38836
ENSG00000175756,AURKAIP1,146,-0.3400,211,0.25115,194,0.23636,141,-0.4033,161,-0.1906
ENSG00000221978,CCNL2,146,1.15917,108,0.62308,53,-0.9275,60,-0.3284,89,0.29803
ENSG00000242485,MRPL20,146,-0.3297,152,-0.2680,177,-0.0478,182,0.02287,252,0.55825
ENSG00000179403,VWA1,146,1.00662,160,1.17245,24,-2.6556,90,0.17597,212,1.70946
ENSG00000205090,TMEM240,146,1.39951,8,-3.1067,80,0.78878,12,-2.5295,19,-1.8719
ENSG00000160075,SSU72,146,-0.0750,111,-0.5070,165,0.24330,123,-0.3476,175,0.21773
ENSG00000228594,FNDC10,146,1.79858,33,-0.7701,56,0.18721,14,-2.0547,5,-3.3492
ENSG00000197530,MIB2,146,1.67750,50,-0.1938,49,-0.4568,25,-1.2359,45,-0.3587
ENSG00000008130,NADK,146,2.55642,36,-0.0934,22,-1.3521,8,-2.3040,40,0.09815
ENSG00000078369,GNB1,146,-1.4712,339,-0.1722,450,0.64163,223,-0.8306,443,0.26140
ENSG00000187730,GABRD,146,0.66833,20,-2.3839,139,1.54981,6,-4.0562,15,-2.7674
ENSG00000067606,PRKCZ,146,-0.5171,85,-1.3563,280,1.39557,134,-0.6560,59,-1.8821
ENSG00000162585,FAAP20,146,0.63057,135,0.49562,84,-0.5182,99,-0.0125,101,0.00898
ENSG00000157933,SKI,146,1.41710,86,0.47135,42,-1.1608,68,0.08104,74,0.21430
ENSG00000157916,RER1,146,0.98637,147,0.99153,55,-1.0534,79,-0.0619,88,0.12029
ENSG00000157911,PEX10,146,1.90649,8,-2.7986,35,-1.0099,29,-0.8677,99,1.14157
ENSG00000149527,PLCH2,146,2.66330,15,-1.3608,26,-0.8876,4,-3.1319,31,-0.2619
ENSG00000157870,PRXL2B,146,1.47896,19,-1.8310,70,0.36732,33,-1.0099,18,-1.9187
ENSG00000177133,PRDM16-DT,146,3.01020,38,0.28244,20,-1.2362,3,-3.4390,2,-3.9158
ENSG00000158109,TPRG1L,146,-0.0371,81,-0.9707,199,1.16964,59,-1.4361,67,-1.2592
ENSG00000130764,LRRC47,146,0.82178,40,-1.2433,104,0.54889,40,-1.2487,58,-0.6787
ENSG00000196581,AJAP1,146,2.51969,30,-0.3984,32,-0.5353,4,-3.1282,6,-2.7154
ENSG00000069424,KCNAB2,146,-0.3624,28,-2.8570,259,1.52171,40,-2.3060,145,-0.3792
