"","cell_type_anno","cell_type_hc4","cell_type_hc3","cell_type_hc2"
"1","Oligo.1","Oligo.4.1","Oligo.3.1","Oligo.2.1"
"2","Oligo.2","Oligo.4.1","Oligo.3.1","Oligo.2.1"
"3","Oligo.3","Oligo.4.2","Oligo.3.2","Oligo.2.2"
"4","Oligo.4","Oligo.4.3","Oligo.3.3","Oligo.2.2"
"5","Oligo.5","Oligo.4.4","Oligo.3.3","Oligo.2.2"
