"cluster","contrast","n_genes","n_FDR05","nUP","nDown"
"Astro.1","carrier_AA",360,0,0,0
"Astro.1","carrier_EA",360,3,1,2
"Astro.2","carrier_AA",364,0,0,0
"Astro.2","carrier_EA",364,3,1,2
"Astro.3","carrier_AA",252,0,0,0
"Astro.3","carrier_EA",252,1,1,0
"Astro.4","carrier_AA",344,0,0,0
"Astro.4","carrier_EA",344,6,3,3
"Astro.5","carrier_AA",366,0,0,0
"Astro.5","carrier_EA",366,0,0,0
"Macro","carrier_AA",320,0,0,0
"Macro","carrier_EA",320,0,0,0
"Micro.2","carrier_AA",362,0,0,0
"Micro.2","carrier_EA",362,4,1,3
"Micro.3","carrier_AA",313,0,0,0
"Micro.3","carrier_EA",313,0,0,0
"Micro.4","carrier_AA",257,0,0,0
"Micro.4","carrier_EA",257,0,0,0
"Micro.5","carrier_AA",365,0,0,0
"Micro.5","carrier_EA",365,2,0,2
"OPC.2","carrier_AA",362,0,0,0
"OPC.2","carrier_EA",362,6,1,5
"OPC.4","carrier_AA",332,0,0,0
"OPC.4","carrier_EA",332,1,0,1
"OPC.5","carrier_AA",358,0,0,0
"OPC.5","carrier_EA",358,0,0,0
"Oligo.1","carrier_AA",363,0,0,0
"Oligo.1","carrier_EA",363,0,0,0
"Oligo.2","carrier_AA",348,0,0,0
"Oligo.2","carrier_EA",348,0,0,0
"Oligo.3","carrier_AA",366,0,0,0
"Oligo.3","carrier_EA",366,1,1,0
"Oligo.4","carrier_AA",366,0,0,0
"Oligo.4","carrier_EA",366,0,0,0
"Oligo.5","carrier_AA",339,0,0,0
"Oligo.5","carrier_EA",339,5,2,3
"Vasc.Endo","carrier_AA",365,0,0,0
"Vasc.Endo","carrier_EA",365,7,4,3
"Vasc.PC","carrier_AA",365,0,0,0
"Vasc.PC","carrier_EA",365,0,0,0
"Vasc.VLMC","carrier_AA",334,0,0,0
"Vasc.VLMC","carrier_EA",334,0,0,0
"Excit.L2","carrier_AA",366,0,0,0
"Excit.L2","carrier_EA",366,0,0,0
"Excit.L2_5.1","carrier_AA",361,0,0,0
"Excit.L2_5.1","carrier_EA",361,0,0,0
"Excit.L2_5.2","carrier_AA",357,0,0,0
"Excit.L2_5.2","carrier_EA",357,1,1,0
"Excit.L5.1","carrier_AA",355,0,0,0
"Excit.L5.1","carrier_EA",355,1,0,1
"Excit.L5.2","carrier_AA",342,0,0,0
"Excit.L5.2","carrier_EA",342,0,0,0
"Excit.L5_6_NP","carrier_AA",320,46,18,28
"Excit.L5_6_NP","carrier_EA",320,44,14,30
"Excit.L6_CT","carrier_AA",350,0,0,0
"Excit.L6_CT","carrier_EA",350,19,12,7
"Excit.L6b","carrier_AA",352,0,0,0
"Excit.L6b","carrier_EA",352,3,3,0
"Inhib.Pax6","carrier_AA",313,0,0,0
"Inhib.Pax6","carrier_EA",313,0,0,0
"Inhib.Lamp5_Lhx6","carrier_AA",350,0,0,0
"Inhib.Lamp5_Lhx6","carrier_EA",350,2,2,0
"Inhib.Pvalb","carrier_AA",354,0,0,0
"Inhib.Pvalb","carrier_EA",354,0,0,0
"Inhib.Vip","carrier_AA",359,0,0,0
"Inhib.Vip","carrier_EA",359,0,0,0
"Inhib.Chandelier","carrier_AA",303,0,0,0
"Inhib.Chandelier","carrier_EA",303,1,0,1
"Inhib.Sst","carrier_AA",349,0,0,0
"Inhib.Sst","carrier_EA",349,0,0,0
