cluster,contrast,n_genes,cor,p_value,FDR
Astro.1,carrier_AA,279,0.40438506337786917,2.8666124913932793e-12,1.8346319944916988e-10
Astro.1,carrier_EA,279,0.1875012432450353,0.0016833481461093476,0.005670225334263065
Astro.2,carrier_AA,188,0.32677029548118414,5.340276110083789e-6,3.417776710453625e-5
Astro.2,carrier_EA,188,0.37836798162204915,1.0889789336009995e-7,1.1615775291743994e-6
Astro.3,carrier_AA,185,0.14964936886395513,0.04212137820318882,0.07094126855273906
Astro.3,carrier_EA,185,0.3877544444865624,6.38950495127662e-8,1.0223207922042592e-6
Astro.4,carrier_AA,170,0.15888398336600293,0.03859570110733884,0.06877019852070118
Astro.4,carrier_EA,170,0.1030587258260514,0.18092182707980525,0.24636163687462842
Astro.5,carrier_AA,83,0.2822089752739179,0.009952748344113544,0.02054760948462151
Astro.5,carrier_EA,83,0.2946139960539019,0.007044936081026809,0.016634606180176682
Macro,carrier_AA,80,0.1176277543366151,0.29808073590390505,0.3668685980355755
Macro,carrier_EA,80,0.20414908579465543,0.06940896439573646,0.10576604098397936
Micro.2,carrier_AA,209,0.007165203217834797,0.9179262739503424,0.9330762174166796
Micro.2,carrier_EA,209,0.14183711025816287,0.040575564995339715,0.07018476107302005
Micro.3,carrier_AA,140,0.1689707200804706,0.046064035501622996,0.07559226338727876
Micro.3,carrier_EA,140,0.06821193501126152,0.42279260932123114,0.4665297758027378
Micro.4,carrier_AA,111,0.15830993330993332,0.09699008345543274,0.141076485026084
Micro.4,carrier_EA,111,-0.08538083538083538,0.3723825434185131,0.43917138175278403
Micro.5,carrier_AA,69,0.22089879430032885,0.06828343213138201,0.10576604098397936
Micro.5,carrier_EA,69,0.012531969309462918,0.918496901519544,0.9330762174166796
OPC.2,carrier_AA,183,0.21313825162720385,0.003832100007672481,0.010218933353793282
OPC.2,carrier_EA,183,0.21755774517713222,0.003149719849123997,0.008764437841040687
OPC.4,carrier_AA,205,0.41057932052764273,1.3722722057767338e-9,4.391271058485548e-8
OPC.4,carrier_EA,205,-0.11356716022899806,0.10491163688166266,0.14920766134280913
OPC.5,carrier_AA,83,-0.003505310440367742,0.9749292506655157,0.9749292506655157
OPC.5,carrier_EA,83,-0.29117165526216354,0.0077649368884906995,0.01713641244356568
Oligo.1,carrier_AA,227,0.16101660138416685,0.01524428154051027,0.03048856308102054
Oligo.1,carrier_EA,227,0.25645455496759134,9.802490983670097e-5,4.1823961530325745e-4
Oligo.2,carrier_AA,221,0.34203141850200675,2.2132471285824056e-7,2.023540231846771e-6
Oligo.2,carrier_EA,221,0.13923977453389216,0.038683236667894416,0.06877019852070118
