cluster,contrast,n_genes,cor,p_value,FDR
Oligo.3,carrier_AA,271,0.2367062200033765,8.714282858860311e-5,3.9836721640504276e-4
Oligo.3,carrier_EA,271,-0.022316884933555218,0.7143957226345284,0.7495299385018004
Oligo.4,carrier_AA,245,-0.25070216811234697,7.646464694721374e-5,3.764413388170523e-4
Oligo.4,carrier_EA,245,0.16524655443944875,0.009633276507023683,0.02054760948462151
Oligo.5,carrier_AA,233,0.22205082668305992,6.585325159358214e-4,0.002341448945549587
Oligo.5,carrier_EA,233,0.1146626670157823,0.08071409387231897,0.12013260483321893
Vasc.Endo,carrier_AA,118,0.275528725179772,0.0026110325248950685,0.007957432456823066
Vasc.Endo,carrier_EA,118,0.27322063114685247,0.0028433810609609874,0.008271653995522873
Vasc.VLMC,carrier_AA,147,0.16314063574337548,0.04843482650942498,0.07749572241507997
Vasc.VLMC,carrier_EA,147,0.19366221127473576,0.018887685717864124,0.03663066321040315
Excit.L2,carrier_AA,302,0.21002598598730307,2.4434846907190434e-4,0.00097739387628761735
Excit.L2,carrier_EA,302,0.2667019710705752,2.822699843565727e-6,2.0072532220911836e-5
Excit.L2_5.1,carrier_AA,336,0.15436942038430146,0.0046037061523526565,0.011785487750022802
Excit.L2_5.1,carrier_EA,336,0.28649440377594854,1.0353464449603532e-7,1.1615775291743994e-6
Excit.L2_5.2,carrier_AA,217,0.18714562869638335,0.005749124015136324,0.014151689883412491
Excit.L2_5.2,carrier_EA,217,0.2848452392696252,2.209018911817003e-5,1.178143419635735e-4
Excit.L5.1,carrier_AA,271,-0.13649458553409063,0.02469915135151412,0.0464925201910854
Excit.L5.1,carrier_EA,271,0.05303342739309746,0.384274959033686,0.43917138175278403
Excit.L5.2,carrier_AA,195,0.06346760750295359,0.3777420534644862,0.43917138175278403
Excit.L5.2,carrier_EA,195,0.39496512324200095,1.475938863870375e-8,3.1486695762568e-7
Excit.L6_CT,carrier_AA,220,0.05656503045705302,0.40349019088500615,0.45304161783579633
Excit.L6_CT,carrier_EA,220,0.07484602424167291,0.2687689470708415,0.3372786786771344
Excit.L6b,carrier_AA,246,0.0286657410075712,0.6543633705590086,0.6979875952629425
Excit.L6b,carrier_EA,246,-0.05746166542058712,0.3692498529928404,0.43917138175278403
Inhib.Lamp5_Lhx6,carrier_AA,222,0.23373939042628042,4.6032954070685737e-4,0.0017330053297199336
Inhib.Lamp5_Lhx6,carrier_EA,222,-0.08247731935413287,0.2207555378236399,0.2934300005348052
Inhib.Pvalb,carrier_AA,251,-0.09030013280212483,0.15366150404282253,0.21378991866827482
Inhib.Pvalb,carrier_EA,251,0.19326199962056534,0.002134813788354362,0.0068314041227339585
Inhib.Vip,carrier_AA,314,0.06869658834006324,0.2246573441594603,0.2934300005348052
Inhib.Vip,carrier_EA,314,0.23881309468090361,2.003518548744922e-5,1.1656835192697728e-4
Inhib.Chandelier,carrier_AA,185,0.04966832189833593,0.5016178671720488,0.5441278559154428
Inhib.Chandelier,carrier_EA,185,0.08327394715894017,0.259509744157626,0.3321724725217613
Inhib.Sst,carrier_AA,213,0.3382417587876048,5.014373073563244e-7,4.011498458850595e-6
Inhib.Sst,carrier_EA,213,0.18363132418208777,0.007277640203827299,0.016634606180176682
