Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,17,-0.8235,20,-0.5616,34,0.27470,30,0.05351,34,0.39879,35,0.34376,19,-0.6131
ENSG00000188976,NOC2L,44,-0.6733,42,-0.7347,42,-0.7424,89,0.47737,80,0.39636,72,0.12535,74,0.16355
ENSG00000188290,HES4,201,1.40180,100,0.17858,86,-0.0584,62,-0.5803,78,-0.2973,45,-1.0682,79,-0.2024
ENSG00000187608,ISG15,123,0.66781,83,0.00918,48,-0.8506,43,-1.0091,85,0.08269,103,0.36586,85,0.04676
ENSG00000188157,AGRN,64,0.61677,41,-0.1106,15,-1.6625,34,-0.3874,51,0.33930,42,-0.0619,46,0.06691
ENSG00000131591,C1orf159,7,-0.9929,12,-0.1178,14,0.09703,16,0.33507,16,0.50495,11,-0.2821,9,-0.6200
ENSG00000078808,SDF4,88,-0.0550,113,0.34717,76,-0.2889,98,0.10989,93,0.04056,87,-0.0830,81,-0.1929
ENSG00000176022,B3GALT6,44,-0.1458,31,-0.7045,42,-0.1984,61,0.39264,49,0.05561,65,0.48975,42,-0.2222
ENSG00000160087,UBE2J2,45,-0.5266,62,-0.0219,49,-0.4007,72,0.22681,75,0.39108,60,-0.0613,53,-0.2784
ENSG00000162572,SCNN1D,4,-1.6242,22,0.85048,5,-1.3377,16,0.34137,13,0.00699,10,-0.4585,21,0.76761
ENSG00000131584,ACAP3,127,-0.0557,86,-0.6715,102,-0.4026,166,0.38627,153,0.34474,131,-0.0019,111,-0.2736
ENSG00000169972,PUSL1,16,0.33774,12,-0.1327,7,-1.0168,9,-0.5717,15,0.36029,6,-1.1633,22,0.82884
ENSG00000127054,INTS11,51,-0.3547,67,0.08150,30,-1.1991,52,-0.3333,93,0.88548,53,-0.3169,47,-0.5061
ENSG00000224051,CPTP,40,-0.1337,41,-0.1059,39,-0.1806,22,-1.0367,53,0.42703,62,0.59309,30,-0.5986
ENSG00000107404,DVL1,104,0.34120,89,0.07996,101,0.28987,95,0.19249,75,-0.2466,84,-0.0065,62,-0.4866
ENSG00000175756,AURKAIP1,175,0.11454,163,-0.0036,214,0.44691,150,-0.1343,142,-0.2900,153,-0.1055,188,0.22894
