"","cell_type_broad","deg-1","deg0","deg1","degNA","mod","deg_total"
"1","Astro",18,17234,149,21205,"carrier_n0",167
"2","Excit",0,24431,0,14175,"carrier_n0",0
"3","Inhib",7,19779,0,18820,"carrier_n0",7
"4","Macro",0,2074,0,36532,"carrier_n0",0
"5","Micro",18,12465,160,25963,"carrier_n0",178
"6","Oligo",138,16350,1114,21004,"carrier_n0",1252
"7","OPC",0,16518,0,22088,"carrier_n0",0
"8","Vasc",0,7330,0,31276,"carrier_n0",0
"9","Astro",34,17178,189,21205,"carrier_n1",223
"10","Excit",0,24431,0,14175,"carrier_n1",0
"11","Inhib",0,19786,0,18820,"carrier_n1",0
"12","Macro",0,2074,0,36532,"carrier_n1",0
"13","Micro",1,12638,4,25963,"carrier_n1",5
"14","Oligo",0,17602,0,21004,"carrier_n1",0
"15","OPC",0,16518,0,22088,"carrier_n1",0
"16","Vasc",0,7330,0,31276,"carrier_n1",0
"17","Astro",20,17210,171,21205,"carrier_n2",191
"18","Excit",0,24431,0,14175,"carrier_n2",0
"19","Inhib",8,19778,0,18820,"carrier_n2",8
"20","Macro",0,2074,0,36532,"carrier_n2",0
"21","Micro",0,12643,0,25963,"carrier_n2",0
"22","Oligo",118,16810,674,21004,"carrier_n2",792
"23","OPC",0,16518,0,22088,"carrier_n2",0
"24","Vasc",0,7330,0,31276,"carrier_n2",0
"25","Astro",25,17220,156,21205,"carrier_n3",181
"26","Excit",0,24431,0,14175,"carrier_n3",0
"27","Inhib",9,19777,0,18820,"carrier_n3",9
"28","Macro",0,2074,0,36532,"carrier_n3",0
"29","Micro",14,12496,133,25963,"carrier_n3",147
"30","Oligo",63,17048,491,21004,"carrier_n3",554
"31","OPC",0,16518,0,22088,"carrier_n3",0
"32","Vasc",0,7330,0,31276,"carrier_n3",0
"33","Astro",28,17186,187,21205,"carrier_n4",215
"34","Excit",0,24431,0,14175,"carrier_n4",0
"35","Inhib",0,19786,0,18820,"carrier_n4",0
"36","Macro",0,2074,0,36532,"carrier_n4",0
"37","Micro",0,12643,0,25963,"carrier_n4",0
"38","Oligo",0,17602,0,21004,"carrier_n4",0
"39","OPC",0,16518,0,22088,"carrier_n4",0
"40","Vasc",0,7330,0,31276,"carrier_n4",0
"41","Astro",NA,17396,5,21205,"carrier",5
"42","Excit",NA,24431,0,14175,"carrier",0
"43","Inhib",NA,19786,0,18820,"carrier",0
"44","Micro",NA,12643,0,25963,"carrier",0
"45","Oligo",NA,17602,0,21004,"carrier",0
"46","OPC",NA,16518,0,22088,"carrier",0
"47","Vasc",NA,7328,2,31276,"carrier",2
"48","Astro",NA,17401,NA,21205,"carrier_i",0
"49","Excit",NA,24431,NA,14175,"carrier_i",0
"50","Inhib",NA,19786,NA,18820,"carrier_i",0
"51","Micro",NA,12643,NA,25963,"carrier_i",0
"52","Oligo",NA,17602,NA,21004,"carrier_i",0
"53","OPC",NA,16518,NA,22088,"carrier_i",0
"54","Vasc",NA,7330,NA,31276,"carrier_i",0
"55","Astro",NA,17401,0,21205,"APOE_n",0
"56","Excit",NA,24431,0,14175,"APOE_n",0
"57","Inhib",NA,19785,1,18820,"APOE_n",1
"58","Macro",NA,2074,0,36532,"APOE_n",0
"59","Micro",NA,12643,0,25963,"APOE_n",0
"60","Oligo",NA,17558,44,21004,"APOE_n",44
"61","OPC",NA,16518,0,22088,"APOE_n",0
"62","Vasc",NA,7329,1,31276,"APOE_n",1
"63","Astro",NA,17337,64,21205,"APOE",64
"64","Excit",NA,24427,4,14175,"APOE",4
"65","Inhib",NA,19786,0,18820,"APOE",0
"66","Micro",NA,12574,69,25963,"APOE",69
"67","Oligo",NA,17601,1,21004,"APOE",1
"68","OPC",NA,16509,9,22088,"APOE",9
"69","Vasc",NA,7317,13,31276,"APOE",13
"70","Astro",NA,17401,NA,21205,"APOE_i",0
"71","Excit",NA,24431,NA,14175,"APOE_i",0
"72","Inhib",NA,19786,NA,18820,"APOE_i",0
"73","Micro",NA,12643,NA,25963,"APOE_i",0
"74","Oligo",NA,17602,NA,21004,"APOE_i",0
"75","OPC",NA,16518,NA,22088,"APOE_i",0
"76","Vasc",NA,7330,NA,31276,"APOE_i",0
"77","Astro",NA,17401,0,21205,"APOE_ni0",0
"78","Excit",NA,24431,0,14175,"APOE_ni0",0
"79","Inhib",NA,19786,0,18820,"APOE_ni0",0
"80","Macro",NA,2074,0,36532,"APOE_ni0",0
"81","Micro",NA,12642,1,25963,"APOE_ni0",1
"82","Oligo",NA,17602,0,21004,"APOE_ni0",0
"83","OPC",NA,16518,0,22088,"APOE_ni0",0
"84","Vasc",NA,7330,0,31276,"APOE_ni0",0
"85","Astro",NA,17401,NA,21205,"APOE_ni1",0
"86","Excit",NA,24431,NA,14175,"APOE_ni1",0
"87","Inhib",NA,19786,NA,18820,"APOE_ni1",0
"88","Macro",NA,2074,NA,36532,"APOE_ni1",0
"89","Micro",NA,12643,NA,25963,"APOE_ni1",0
"90","Oligo",NA,17602,NA,21004,"APOE_ni1",0
"91","OPC",NA,16518,NA,22088,"APOE_ni1",0
"92","Vasc",NA,7330,NA,31276,"APOE_ni1",0
"93","Astro",0,17400,1,21205,"E4E4",1
"94","Excit",0,24431,0,14175,"E4E4",0
"95","Inhib",0,19786,0,18820,"E4E4",0
"96","Micro",0,12643,0,25963,"E4E4",0
"97","Oligo",0,17601,1,21004,"E4E4",1
"98","OPC",8,16460,50,22088,"E4E4",58
"99","Vasc",0,7327,3,31276,"E4E4",3
"100","Astro",NA,17401,0,21205,"E4E4_i",0
"101","Excit",NA,24430,1,14175,"E4E4_i",1
"102","Inhib",NA,19786,0,18820,"E4E4_i",0
"103","Micro",NA,12643,0,25963,"E4E4_i",0
"104","Oligo",NA,17602,0,21004,"E4E4_i",0
"105","OPC",NA,16518,0,22088,"E4E4_i",0
"106","Vasc",NA,7330,0,31276,"E4E4_i",0
"107","Astro",0,17398,3,21205,"APOE_Sex",3
"108","Excit",1,24426,4,14175,"APOE_Sex",5
"109","Inhib",2,19775,9,18820,"APOE_Sex",11
"110","Micro",0,12643,0,25963,"APOE_Sex",0
"111","Oligo",1,17594,7,21004,"APOE_Sex",8
"112","OPC",5,16493,20,22088,"APOE_Sex",25
"113","Vasc",1,7324,5,31276,"APOE_Sex",6
"114","Astro",0,17401,0,21205,"APOE_Anc",0
"115","Excit",0,24431,0,14175,"APOE_Anc",0
"116","Inhib",2,19784,0,18820,"APOE_Anc",2
"117","Micro",0,12643,0,25963,"APOE_Anc",0
"118","Oligo",1,17598,3,21004,"APOE_Anc",4
"119","OPC",0,16518,0,22088,"APOE_Anc",0
"120","Vasc",0,7330,0,31276,"APOE_Anc",0
