Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to9,Feature log2 fold change topic 7to9
ENSG00000188976,NOC2L,39,-0.3080,7,-2.8674,20,-1.3315,83,0.94141,37,-0.4436,68,0.86690
ENSG00000188290,HES4,67,0.85023,36,-0.1920,60,0.64414,29,-0.5303,31,-0.4464,37,-0.2151
ENSG00000187608,ISG15,303,1.60282,98,-0.3470,33,-2.0134,31,-2.0789,77,-0.8073,160,0.62988
ENSG00000078808,SDF4,82,0.15370,42,-0.8875,81,0.14640,126,0.89076,53,-0.6055,77,0.08687
ENSG00000176022,B3GALT6,18,-0.8854,20,-0.7943,31,-0.1003,32,-0.0495,23,-0.6487,50,1.01763
ENSG00000160087,UBE2J2,16,-1.5041,20,-1.1994,46,0.12962,39,-0.1634,53,0.41644,53,0.47139
ENSG00000131584,ACAP3,79,-0.0956,49,-0.8385,120,0.58745,167,1.17223,56,-0.7010,76,-0.2049
ENSG00000127054,INTS11,64,0.20875,26,-1.2204,85,0.68200,45,-0.3661,42,-0.5192,68,0.42221
ENSG00000224051,CPTP,21,-0.3726,23,-0.2318,15,-0.8665,17,-0.6959,25,-0.1403,38,0.85035
ENSG00000107404,DVL1,51,0.05201,27,-0.9050,62,0.38955,66,0.48992,35,-0.5799,55,0.24573
ENSG00000175756,AURKAIP1,102,-0.4066,96,-0.4910,82,-0.7313,97,-0.4712,208,0.92979,129,-0.0414
ENSG00000221978,CCNL2,69,0.38459,24,-1.2749,78,0.57980,33,-0.8045,49,-0.1943,63,0.33383
ENSG00000242485,MRPL20,166,-0.0166,144,-0.2405,121,-0.5221,221,0.45113,179,0.11633,167,-0.0096
ENSG00000179403,VWA1,157,2.81135,37,-0.0081,36,-0.0278,15,-1.3281,10,-2.0707,22,-0.9841
ENSG00000205090,TMEM240,4,-2.8727,21,-0.5343,26,-0.1772,20,-0.6045,35,0.33388,41,0.78894
ENSG00000160075,SSU72,120,-0.0977,73,-0.8785,117,-0.1406,141,0.16908,150,0.30571,132,0.07955
ENSG00000228594,FNDC10,22,-0.7869,17,-1.1068,23,-0.7155,21,-0.8217,42,0.30493,52,0.88410
ENSG00000197530,MIB2,42,0.09675,19,-1.1528,43,0.14468,22,-0.9403,71,1.19394,30,-0.5770
ENSG00000215790,SLC35E2A,34,0.00914,7,-2.2767,34,0.00961,36,0.08213,36,0.10310,41,0.41301
ENSG00000078369,GNB1,236,-0.7682,249,-0.6882,405,0.08602,385,0.00572,371,-0.0634,480,0.51226
ENSG00000187730,GABRD,16,-2.0134,26,-1.3163,54,-0.2211,49,-0.3521,103,1.04499,68,0.20267
ENSG00000067606,PRKCZ,55,-1.6854,97,-0.8349,112,-0.6254,176,0.09487,213,0.48516,208,0.52661
ENSG00000162585,FAAP20,76,0.77580,35,-0.4806,76,0.77523,27,-0.8907,37,-0.4327,47,-0.0386
