"cluster","n_gene","n_FDR05","min_adj.P.Val"
"Astro.1",16823,0,0.998269226630702
"Astro.2",10206,0,0.980946568515991
"Astro.3",10708,0,0.667870338696063
"Astro.4",8305,0,0.999315849725671
"Astro.5",1845,0,0.673942084525005
"Macro",2747,0,0.997472358867023
"Micro.1",10423,0,0.581889445858981
"Micro.2",9019,0,0.671605088007618
"Micro.3",8412,0,0.52967162973739
"Micro.4",6884,1,0.0259630895796863
"Micro.5",2351,0,0.694720682868657
"OPC.1",13016,0,0.708107716487263
"OPC.2",10736,0,0.0894132345688464
"OPC.3",14258,0,0.999895388295742
"OPC.4",11799,0,0.0932405731678926
"OPC.5",1925,0,0.068989866936594
"Oligo.1",13323,0,0.999556618709922
"Oligo.2",14288,0,0.251923622858021
"Oligo.3",11322,0,0.570337743303996
"Oligo.4",12125,0,0.773279468845545
"Oligo.5",9879,0,0.541061921218278
"Vasc.Endo",4998,0,0.0695555191440546
"Vasc.VLMC",6458,0,0.999799277535473
"Excit.L2",20284,0,0.549436999229849
"Excit.L2_5.1",22497,0,0.999456567120736
"Excit.L2_5.2",14841,0,0.349498021171649
"Excit.L5.1",17891,0,0.529886275450674
"Excit.L5.2",12494,0,0.0569346406851094
"Excit.L6_CT",13811,0,0.679022977463113
"Excit.L6b",16428,0,0.998368974204155
"Inhib.Chandelier",10461,1,0.00227909060359289
"Inhib.Lamp5_Lhx6",13545,0,0.999554287050844
"Inhib.Pvalb",15484,0,0.684599912739104
"Inhib.Sst",12409,0,0.2475675153339
"Inhib.Vip",19715,0,0.632588467235378
