"cluster","n_gene","n_FDR05","min_adj.P.Val"
"Astro.1",16867,0,0.490764959725519
"Astro.2",9994,0,0.569029621104473
"Astro.3",10634,0,0.15872980021774
"Astro.4",8135,0,0.138041146337816
"Astro.5",1793,0,0.183317465371447
"Macro",2931,0,0.12379705677496
"Micro.1",10158,0,0.930793421088562
"Micro.2",8763,0,0.9597458095085
"Micro.3",7923,0,0.993853713108384
"Micro.4",6620,0,0.662908355546539
"Micro.5",2327,0,0.998105120477854
"OPC.1",13131,0,0.641833863542465
"OPC.2",10614,0,0.274009666110743
"OPC.3",14268,1,0.0372373532021098
"OPC.4",11598,0,0.977434374329963
"OPC.5",1380,0,0.461181699006737
"Oligo.1",13881,0,0.261408323029787
"Oligo.2",13983,0,0.999133766246335
"Oligo.3",11496,0,0.379651256503975
"Oligo.4",12055,0,0.998994775854906
"Oligo.5",9670,0,0.927650263719529
"Vasc.Endo",5618,0,0.672555284980458
"Vasc.VLMC",6644,0,0.0741637295641157
"Excit.L2",20080,0,0.188039326252113
"Excit.L2_5.1",22201,0,0.0888637707143508
"Excit.L2_5.2",13455,947,0.00320583130283018
"Excit.L5.1",18607,0,0.120192445762681
"Excit.L5.2",11952,7,0.0295178813162973
"Excit.L6_CT",14031,0,0.351096628788208
"Excit.L6b",15739,0,0.5647226376675
"Inhib.Chandelier",8999,0,0.998559216714902
"Inhib.Lamp5_Lhx6",13528,0,0.762578726935016
"Inhib.Pvalb",15219,0,0.987289653540724
"Inhib.Sst",12194,0,0.650971196764128
"Inhib.Vip",19549,0,0.305884369152581
