"cluster","n_gene","n_FDR05","min_adj.P.Val"
"Astro.1",16867,0,0.999292791813186
"Astro.2",9994,0,0.984420908943272
"Astro.3",10634,0,0.303174484022522
"Astro.4",8135,0,0.998078950703633
"Astro.5",1793,1,0.0488929870803041
"Macro",2931,0,0.32096932983759
"Micro.1",10158,0,0.794114696639764
"Micro.2",8763,1,0.0222991424995732
"Micro.3",7923,0,0.60069487562011
"Micro.4",6620,1,0.0411179777268452
"Micro.5",2327,0,0.730034274855084
"OPC.1",13131,0,0.221955614238877
"OPC.2",10614,0,0.177373563843024
"OPC.3",14268,0,0.999853462758203
"OPC.4",11598,0,0.132346890562844
"OPC.5",1841,0,0.332194860603749
"Oligo.1",13280,0,0.999965772256082
"Oligo.2",13983,0,0.526313530136141
"Oligo.3",11496,0,0.49877937625728
"Oligo.4",12055,0,0.549607083765084
"Oligo.5",9670,0,0.528656104733288
"Vasc.Endo",5058,0,0.134801490381275
"Vasc.VLMC",6644,0,0.996942365361498
"Excit.L2",20080,0,0.530312305332859
"Excit.L2_5.1",22201,0,0.999783643907282
"Excit.L2_5.2",13455,0,0.202247975532338
"Excit.L5.1",17720,0,0.513011290414164
"Excit.L5.2",11952,0,0.225464068582775
"Excit.L6_CT",14031,0,0.568876669137728
"Excit.L6b",15739,0,0.999826692990752
"Inhib.Chandelier",10214,1,0.00484492259672063
"Inhib.Lamp5_Lhx6",13528,0,0.999955223545719
"Inhib.Pvalb",15219,0,0.855415338587614
"Inhib.Sst",12194,0,0.187608338574211
"Inhib.Vip",19549,0,0.855432566949553
