Panel,Gene,Catalog,Channel,Dilution,Slide Symbol,Opal Dye,Notes
Panel 1,TRABD2,NA,C1,1 to 250,NA,690,Layer V
Panel 1,RORB,NA,C2,1 to 250,NA,570,Layer IV
Panel 1,MBP,NA,C3,1 to 500,NA,520,WM
Panel 1,FREM3,NA,C4,1 to 250,NA,620,Layer III
Panel 2,TRABD2,NA,C1,1 to 500,NA,690,Layer V
Panel 2,RELN,NA,C2,1 to 500,NA,570,Layer I
Panel 2,MBP,NA,C3,1 to 500,NA,520,WM
Panel 2,FREM3,NA,C4,1 to 500,NA,620,Layer III
Panel 3,MBP,NA,C1,1 to 500,NA,520,WM
Panel 3,RELN,NA,C2,1 to 500,NA,690,Layer I
Panel 3,SLC17A7,NA,C3,1 to 500,NA,570,Pan neuronal markers
