"snn_k10","cell_type_class","cell_type_broad","cell_type_fine","n","prop","median_sum","median_detected","median_Mito_percent","median_scDblFinder.score","passALL_metricQC","n_samples","max_prop","pass_sampleQC","pass_clusterQC"
"k10c01","neuron","Inhib","Inhib.1",7364,0.0525553279712245,19080,5620,0.1019012432743,0.00275458337273449,TRUE,31,0.0722433460076046,TRUE,TRUE
"k10c02","neuron","Excit","Excit.04",1309,0.00934205924963781,71489,9463,0.0782489161467696,0.00180853344500065,TRUE,29,0.113827349121467,TRUE,TRUE
"k10c03","glia","Micro","Micro.3",2884,0.0205825048708598,863,677,0.259909141573641,0.00060077739180997,FALSE,31,0.0672676837725381,TRUE,FALSE
"k10c04","neuron","Excit","Excit.02",2949,0.0210463962774499,5455,2592,0.202131569276001,0.00130695092957467,FALSE,31,0.0946083418107833,TRUE,FALSE
"k10c05","glia","Micro","Micro.1",10363,0.0739585637922052,3162,1805,0.0736919675755343,0.000718657800462097,TRUE,31,0.0630126411270868,TRUE,TRUE
"k10c06","glia","Astro","Astro.1",13986,0.099815157116451,8845,3493,0.0787711697518708,0.00101320713292807,TRUE,31,0.0647075647075647,TRUE,TRUE
"k10c07","neuron","Inhib","Inhib.2",1909,0.0136241337720081,31612,7035,0.101776854247063,0.00308058899827302,TRUE,31,0.103195390256679,TRUE,TRUE
"k10c08","glia","Micro","Micro.4",809,0.00577366381432925,522,444,0.284090909090909,0.000501738046295941,FALSE,25,0.0865265760197775,TRUE,FALSE
"k10c09","glia","Micro","Micro.5",596,0.0042535273588878,1619,1114.5,0.0825765098468738,0.000991483684629202,FALSE,11,0.189597315436242,TRUE,FALSE
"k10c10","neuron","Excit","Excit.10",160,0.00114188653929874,47523,8199,0.113051033770371,0.047508716583252,TRUE,18,0.175,TRUE,TRUE
"k10c11","glia","Astro","Astro.3",919,0.00655871081009713,1233,910,0.114810562571757,0.0009507947252132,FALSE,13,0.268770402611534,TRUE,FALSE
"k10c12","glia","Oligo","Oligo.2",15594,0.111291116836403,2496,1468,0.14652016617963,0.000809470890089869,TRUE,31,0.0944594074644094,TRUE,TRUE
"k10c13","neuron","Excit","Excit.07",694,0.00495293286420828,79118.5,9609.5,0.12535559225885,0.0020961455302313,TRUE,30,0.0951008645533141,TRUE,TRUE
"k10c14","neuron","Excit","Excit.06",770,0.00549532897037518,63343,8734,0.0960721736898785,0.00187155423918739,TRUE,30,0.141558441558442,TRUE,TRUE
"k10c15","neuron","Excit","Excit.05",839,0.00598776754044776,53965,8782,0.0330760749724366,0.00126701814588159,TRUE,25,0.148986889153754,TRUE,TRUE
"k10c16","glia","Endo","Endo.1",1672,0.0119327143356718,6603,2758,0.0883160164367783,0.00122881401330233,TRUE,31,0.127392344497608,TRUE,TRUE
"k10c17","neuron","Excit","Excit.03",2243,0.0160078219227942,72811,9516,0.0998940517632814,0.00159267953131348,TRUE,30,0.0949621043245653,TRUE,TRUE
"k10c18","glia","Oligo","Oligo.3",8680,0.0619473447569566,9911.5,3344,0.0643611580496237,0.00516171613708138,TRUE,31,0.068778801843318,TRUE,TRUE
"k10c19","glia","Astro","Astro.2",8484,0.0605485337463156,3350.5,1895,0.132736054125125,0.0007717240951024,TRUE,31,0.0576379066478076,TRUE,TRUE
"k10c20","glia","OPC","OPC.1",13680,0.0976312991100422,8686.5,3367.5,0.0564561672887439,0.00119136390276253,TRUE,31,0.0532163742690058,TRUE,TRUE
"k10c21","neuron","Excit","Excit.09",216,0.0015415468280533,65388,9324,0.0385049326443423,0.0052534022834152,TRUE,22,0.125,TRUE,TRUE
"k10c22","glia","Oligo","Oligo.4",4745,0.0338640726810782,1003,777,0.346740638002774,0.00060077739180997,FALSE,31,0.139515279241307,TRUE,FALSE
"k10c23","neuron","Excit","Excit.01",8787,0.0627109813801126,26597,6385,0.126304228445909,0.00158667808864266,TRUE,31,0.100489359280756,TRUE,TRUE
"k10c24","neuron","Excit","Excit.14",39,0.000278334843954068,78782,9648,0.0678920146646752,0.0129639599472284,TRUE,11,0.205128205128205,TRUE,TRUE
"k10c25","neuron","Neu","Neu.1",420,0.00299745216565919,30422.5,6695.5,0.154289619636896,0.0157970041036606,TRUE,31,0.0738095238095238,TRUE,TRUE
"k10c26","glia","Micro","Micro.2",3117,0.0222453771437136,6204,2725,0.0481077613855035,0.000991483684629202,TRUE,31,0.0773179339108117,TRUE,TRUE
"k10c27","glia","Oligo","Oligo.5",341,0.00243364568688044,9395,3793,0.0548320767649075,0.999195992946625,FALSE,29,0.0967741935483871,TRUE,FALSE
"k10c28","glia","Astro","Astro.4",396,0.00282616918476438,14184,4804.5,0.0609842271470182,0.999265074729919,FALSE,30,0.0984848484848485,TRUE,FALSE
"k10c29","neuron","Inhib","Inhib.4",459,0.00327578700961326,66738,9403,0.128114853499198,0.00705000245943666,TRUE,29,0.0893246187363834,TRUE,TRUE
"k10c30","neuron","Excit","Excit.08",668,0.00476737630157224,42222,8050,0.141430518899976,0.00488086882978678,TRUE,22,0.226047904191617,TRUE,TRUE
"k10c31","glia","Oligo","Oligo.1",22929,0.16363947787238,5315,2323,0.0843983602604292,0.00118233170360327,TRUE,31,0.0692136595577653,TRUE,TRUE
"k10c32","neuron","Inhib","Inhib.3",774,0.00552387613385765,33022.5,7220.5,0.0885082652792304,0.00361281703226268,TRUE,31,0.0775193798449612,TRUE,TRUE
"k10c33","neuron","Inhib","Inhib.5",325,0.00231945703295056,45115,8095,0.112937331795463,0.0101064117625356,TRUE,29,0.0738461538461539,TRUE,TRUE
"k10c34","glia","Astro","Astro.6",137,0.000977740349274545,774,640,0.336134453781513,0.00119136390276253,FALSE,12,0.328467153284672,TRUE,FALSE
"k10c35","glia","Astro","Astro.5",197,0.00140594780151157,10580,4289,0.0545652964714442,0.999058187007904,FALSE,29,0.147208121827411,TRUE,FALSE
"k10c36","neuron","Excit","Excit.13",44,0.000314018798307153,104156,11220,0.46829636725278,0.00142939871875569,TRUE,3,0.886363636363636,FALSE,FALSE
"k10c37","neuron","Excit","Excit.11",139,0.000992013931015779,54940,8692,0.100230158140916,0.00866292137652636,TRUE,16,0.237410071942446,TRUE,TRUE
"k10c38","glia","Oligo","Oligo.6",41,0.000292608425695302,22956,5457,0.0794802681595135,0.98859053850174,FALSE,14,0.195121951219512,TRUE,FALSE
"k10c39","neuron","Excit","Excit.12",67,0.000478164988331347,81375,9710,0.137059136291133,0.0230977479368448,TRUE,23,0.149253731343284,TRUE,TRUE
"k10c40","glia","OPC","OPC.3",73,0.00052098573355505,13096,4641,0.0331961226928695,0.999230861663818,FALSE,24,0.123287671232877,TRUE,FALSE
"k10c41","glia","Astro","Astro.7",84,0.000599490433131838,9697,3845.5,0.23252021631507,0.00355603732168674,TRUE,12,0.297619047619048,TRUE,TRUE
"k10c42","glia","Astro","Astro.8",25,0.000178419771765428,383,338,0.261096605744125,0.000335079123033211,FALSE,4,0.36,FALSE,FALSE
"k10c43","glia","OPC","OPC.2",178,0.00127034877496985,15329,4843,0.0518881677425458,0.999230861663818,FALSE,31,0.0730337078651685,TRUE,FALSE
"k10c44","glia","Astro","Astro.9",14,9.99150721886396e-05,18087,5609,0.699859352131182,0.0749896876513958,FALSE,1,1,FALSE,FALSE
