Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to9,Feature log2 fold change topic 7to9
ENSG00000228794,LINC01128,27,0.17410,25,0.04336,28,0.21792,17,-0.5826,19,-0.3494,26,0.14249
ENSG00000188976,NOC2L,55,-0.3555,107,0.88186,73,0.09196,43,-0.7461,27,-1.4265,69,0.00911
ENSG00000188290,HES4,139,0.92500,63,-0.4378,90,0.18107,55,-0.6074,89,0.16838,75,-0.1483
ENSG00000187608,ISG15,137,0.39944,104,-0.0479,96,-0.1755,64,-0.8144,122,0.20724,113,0.10568
ENSG00000188157,AGRN,64,0.63766,57,0.52057,27,-0.7215,33,-0.4559,42,-0.0473,37,-0.3299
ENSG00000078808,SDF4,80,0.43524,82,0.54643,58,-0.1061,57,-0.1254,60,-0.0311,45,-0.6226
ENSG00000176022,B3GALT6,53,0.70072,39,0.22400,47,0.48967,10,-1.8855,30,-0.2426,32,-0.1994
ENSG00000160087,UBE2J2,82,0.73991,74,0.66732,33,-0.7189,41,-0.3855,46,-0.2175,41,-0.5076
ENSG00000131584,ACAP3,141,0.14074,153,0.32229,185,0.59319,101,-0.3915,122,-0.0912,103,-0.4717
ENSG00000127054,INTS11,85,0.45466,85,0.51771,85,0.44109,42,-0.6624,47,-0.5013,51,-0.4789
ENSG00000224051,CPTP,57,0.52324,55,0.55845,21,-1.0411,30,-0.5277,50,0.30601,35,-0.3578
ENSG00000107404,DVL1,95,0.35242,57,-0.5172,104,0.49857,96,0.35676,73,-0.0912,70,-0.2027
ENSG00000175756,AURKAIP1,173,-0.1317,168,-0.2089,257,0.51838,191,0.02661,165,-0.2130,190,0.02535
ENSG00000221978,CCNL2,72,0.51042,72,0.61653,79,0.67535,28,-0.9669,31,-0.8435,40,-0.5649
ENSG00000242485,MRPL20,136,-0.4770,174,-0.0918,263,0.60457,159,-0.2224,138,-0.4458,201,0.20517
ENSG00000235098,ANKRD65,37,0.82515,14,-0.8320,20,-0.1956,19,-0.2364,27,0.29945,24,0.12419
ENSG00000179403,VWA1,15,-1.1784,13,-1.5830,110,2.19702,41,0.36519,29,-0.2306,26,-0.4992
ENSG00000197785,ATAD3A,8,-1.5371,32,0.75821,27,0.38541,10,-1.1694,20,-0.1264,22,0.02469
ENSG00000205090,TMEM240,81,0.53963,55,-0.1086,80,0.53719,35,-0.7919,40,-0.5849,59,0.03636
ENSG00000160075,SSU72,189,0.29411,162,0.04728,151,-0.0771,125,-0.3712,169,0.10276,155,-0.0429
ENSG00000228594,FNDC10,70,0.46240,48,-0.1675,53,-0.0043,27,-1.0578,47,-0.1967,61,0.32113
ENSG00000272106,AL691432.2,27,0.33438,20,-0.1510,30,0.50334,27,0.34527,13,-0.8303,20,-0.1816
ENSG00000197530,MIB2,40,0.05415,51,0.54798,44,0.21244,23,-0.8323,43,0.16523,32,-0.3953
ENSG00000215790,SLC35E2A,69,0.68756,67,0.76212,40,-0.1958,51,0.18373,37,-0.3467,26,-1.0565
ENSG00000008130,NADK,64,0.95793,26,-0.5641,34,-0.0973,24,-0.6183,32,-0.2048,40,0.20061
ENSG00000078369,GNB1,673,0.53893,530,0.15995,385,-0.3743,411,-0.2718,438,-0.1698,471,-0.0705
ENSG00000187730,GABRD,269,0.89816,221,0.65792,98,-0.7538,51,-1.7542,169,0.10758,131,-0.3848
ENSG00000067606,PRKCZ,268,-0.1479,329,0.21262,349,0.28065,224,-0.4375,195,-0.6503,318,0.16864
ENSG00000162585,FAAP20,69,0.01101,53,-0.4587,107,0.74463,61,-0.1820,69,0.00769,68,-0.0088
ENSG00000157933,SKI,53,0.59928,33,-0.2025,49,0.48398,33,-0.1797,44,0.27514,29,-0.4918
ENSG00000157916,RER1,84,0.62370,82,0.68092,42,-0.5111,51,-0.2085,51,-0.1963,43,-0.6024
ENSG00000157911,PEX10,45,0.28070,37,-0.0361,37,-0.0457,35,-0.1050,27,-0.5253,41,0.15863
ENSG00000149527,PLCH2,53,0.88988,54,1.10188,14,-1.2160,12,-1.5083,44,0.57397,17,-1.1704
ENSG00000157870,PRXL2B,66,-0.4898,149,1.00269,79,-0.2261,82,-0.1491,59,-0.6862,77,-0.3322
ENSG00000177133,PRDM16-DT,18,-0.3078,11,-1.1101,13,-0.7675,20,-0.1221,34,0.72557,30,0.70279
ENSG00000158109,TPRG1L,184,-0.2049,275,0.52713,180,-0.2416,138,-0.6624,186,-0.1942,216,0.06369
ENSG00000130764,LRRC47,94,0.45421,102,0.71093,63,-0.2019,46,-0.6904,55,-0.4079,60,-0.3688
ENSG00000196581,AJAP1,44,0.54717,43,0.61300,15,-1.1217,14,-1.2758,29,-0.0994,31,0.00149
ENSG00000069424,KCNAB2,407,0.74931,233,-0.2001,225,-0.2356,170,-0.6737,251,-0.0592,274,0.11598
ENSG00000116254,CHD5,141,-0.5284,231,0.29782,253,0.41148,121,-0.7642,154,-0.3986,215,0.18621
ENSG00000116251,RPL22,338,-0.3839,289,-0.6999,714,0.85553,740,0.91721,289,-0.6300,404,-0.1352
ENSG00000116237,ICMT,74,1.03778,61,0.80391,11,-1.8971,22,-0.9579,52,0.42539,27,-0.7734
ENSG00000097021,ACOT7,390,0.29570,507,0.88938,233,-0.5323,143,-1.2818,217,-0.6441,311,-0.0982
ENSG00000171680,PLEKHG5,26,-0.3022,36,0.23236,29,-0.1561,23,-0.4887,22,-0.5840,38,0.39714
ENSG00000162408,NOL9,38,0.23768,42,0.48421,41,0.37995,20,-0.7558,21,-0.7051,30,-0.1816
ENSG00000162413,KLHL21,42,0.55992,34,0.24323,30,0.02242,16,-0.9823,44,0.64005,23,-0.5355
ENSG00000116273,PHF13,14,-0.0623,24,1.01712,10,-0.5251,20,0.52774,12,-0.3300,9,-0.9673
ENSG00000041988,THAP3,23,-0.3693,30,0.05149,31,0.11110,17,-0.8814,32,0.12007,34,0.30124
ENSG00000007923,DNAJC11,34,-0.4004,43,-0.0308,42,-0.0536,23,-0.9710,27,-0.7682,60,0.76368
ENSG00000171735,CAMTA1,138,0.05117,126,-0.1112,180,0.49478,88,-0.6557,132,-0.0211,137,0.06368
ENSG00000049245,VAMP3,10,-1.3940,11,-1.3061,83,2.21992,41,0.86156,15,-0.7157,17,-0.7662
ENSG00000049246,PER3,38,0.71213,25,0.04732,33,0.51478,28,0.24742,14,-0.8495,19,-0.5356
ENSG00000116288,PARK7,301,-0.1524,339,0.04583,344,0.06274,296,-0.1756,273,-0.3073,361,0.19660
ENSG00000116285,ERRFI1,33,0.96312,24,0.48492,14,-0.4088,13,-0.5517,12,-0.6870,16,-0.3501
ENSG00000162426,SLC45A1,61,0.66638,69,1.06419,22,-0.9656,9,-2.2119,33,-0.3202,35,-0.3409
ENSG00000142599,RERE,115,0.38209,95,0.09075,82,-0.1563,70,-0.4122,94,0.06019,88,-0.0569
ENSG00000074800,ENO1,769,0.35343,763,0.39615,654,0.08503,386,-0.7522,587,-0.0889,554,-0.2380
ENSG00000171612,SLC25A33,30,0.42188,16,-0.6184,22,-0.0771,23,0.00038,22,-0.0715,26,0.27082
ENSG00000188807,TMEM201,13,-0.7625,25,0.34930,18,-0.1863,12,-0.8628,33,0.76430,20,-0.0472
ENSG00000171603,CLSTN1,824,0.50829,935,0.86673,441,-0.5078,254,-1.3563,577,-0.0812,498,-0.4095
ENSG00000178585,CTNNBIP1,33,-0.0842,21,-0.8765,57,0.79775,34,-0.0588,26,-0.4701,41,0.36336
ENSG00000162441,LZIC,11,-1.1111,20,-0.2450,27,0.26603,32,0.59212,18,-0.3548,25,0.24936
ENSG00000130939,UBE4B,28,-0.3150,48,0.66386,27,-0.4019,20,-0.8247,46,0.46302,31,-0.2377
ENSG00000054523,KIF1B,209,-0.3214,307,0.34373,341,0.47500,189,-0.4854,186,-0.5045,255,-0.0086
ENSG00000142657,PGD,48,-0.3359,81,0.62184,64,0.14169,31,-1.0136,61,0.06121,55,-0.1568
ENSG00000241563,CORT,94,-0.6080,29,-2.5058,188,0.50982,60,-1.2885,63,-1.2168,259,1.74009
ENSG00000160049,DFFA,36,0.48968,28,0.09748,30,0.22336,19,-0.5183,29,0.14883,23,-0.3111
ENSG00000142655,PEX14,27,0.06734,45,1.07690,17,-0.6771,7,-1.9655,27,0.06115,23,-0.2970
ENSG00000120948,TARDBP,93,0.46732,83,0.32886,69,-0.0166,35,-1.0774,60,-0.2385,69,-0.0422
ENSG00000116649,SRM,115,0.02427,119,0.09774,98,-0.2256,91,-0.3510,111,-0.0362,122,0.16102
ENSG00000171824,EXOSC10,34,0.95829,19,-0.0231,27,0.54359,16,-0.2840,13,-0.6630,15,-0.4737
ENSG00000198793,MTOR,16,-0.9642,35,0.23874,40,0.41344,18,-0.8417,47,0.69498,29,-0.1446
ENSG00000116661,FBXO2,186,-0.3252,207,-0.1776,274,0.29893,245,0.11702,244,0.10782,230,0.01882
