Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to7,Feature log2 fold change topic 3to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,4,-2.3118,12,-0.6997,25,0.85844,14,-0.4582,19,-0.0478
ENSG00000188976,NOC2L,19,-1.1951,46,0.18880,44,0.23522,30,-0.4602,46,0.22325
ENSG00000188290,HES4,35,-0.8129,24,-1.4067,65,0.26492,72,0.30158,70,0.28970
ENSG00000187608,ISG15,74,0.68244,36,-0.4966,53,0.26133,42,-0.2450,35,-0.5623
ENSG00000188157,AGRN,26,0.48429,24,0.35409,21,0.22663,14,-0.5012,12,-0.7534
ENSG00000078808,SDF4,64,0.05024,118,1.09461,58,-0.1817,41,-0.6466,52,-0.2852
ENSG00000176022,B3GALT6,19,-0.7143,25,-0.2664,34,0.40128,24,-0.3158,30,0.00877
ENSG00000160087,UBE2J2,22,-0.6705,34,0.03826,36,0.25367,32,-0.0588,32,-0.0722
ENSG00000131584,ACAP3,59,0.04432,44,-0.4351,63,0.26529,41,-0.5236,59,0.03291
ENSG00000169972,PUSL1,10,-0.0846,7,-0.4883,13,0.58983,8,-0.4008,8,-0.4651
ENSG00000127054,INTS11,43,-0.0543,42,-0.0831,54,0.66271,34,-0.4094,26,-0.8971
ENSG00000224051,CPTP,15,-0.9733,11,-1.4341,35,0.66132,16,-0.8931,34,0.32009
ENSG00000107404,DVL1,59,0.09648,57,0.05568,54,-0.0575,73,0.43803,47,-0.2934
ENSG00000175756,AURKAIP1,146,-0.1377,131,-0.3157,168,0.15139,175,0.14571,152,-0.0859
ENSG00000221978,CCNL2,58,0.42734,42,-0.1076,50,0.33331,26,-0.8486,36,-0.3826
ENSG00000224870,MRPL20-AS1,15,0.48756,17,0.69644,10,-0.2460,9,-0.2631,9,-0.2832
ENSG00000242485,MRPL20,176,-0.1638,205,0.07573,201,0.08676,180,-0.1268,193,-0.0222
ENSG00000235098,ANKRD65,32,0.61746,16,-0.4889,25,0.48642,19,-0.1803,11,-1.0430
ENSG00000179403,VWA1,217,2.95541,95,1.20966,17,-2.1127,28,-0.7980,19,-1.4317
ENSG00000197785,ATAD3A,9,-0.5922,17,0.40484,15,0.30721,9,-0.5231,12,-0.2041
ENSG00000205090,TMEM240,14,-1.5181,18,-1.0972,38,0.07191,34,-0.1372,58,0.83936
ENSG00000160075,SSU72,90,-0.6333,115,-0.2578,156,0.43706,129,-0.0792,120,-0.2092
ENSG00000228594,FNDC10,6,-2.3529,25,-0.2288,33,0.45376,22,-0.4124,34,0.31376
ENSG00000272106,AL691432.2,21,0.23940,16,-0.2053,17,-0.1541,18,0.01260,20,0.19120
ENSG00000197530,MIB2,19,-0.7526,25,-0.3569,33,0.16485,20,-0.6926,41,0.53152
ENSG00000189339,SLC35E2B,17,0.12585,15,-0.0729,17,0.21664,15,-0.1321,13,-0.3204
ENSG00000215790,SLC35E2A,20,-0.3126,17,-0.5683,26,0.14211,30,0.33433,25,0.00625
ENSG00000008130,NADK,12,-0.9897,28,0.39344,24,0.23259,21,-0.0669,20,-0.1533
ENSG00000078369,GNB1,226,-0.9349,432,0.07637,442,0.21086,403,-0.0357,424,0.05298
ENSG00000187730,GABRD,9,-3.9251,23,-2.6146,198,1.60009,103,-0.3779,95,-0.5692
ENSG00000067606,PRKCZ,98,-0.8486,142,-0.2862,188,0.30632,147,-0.2294,186,0.16499
ENSG00000162585,FAAP20,67,0.66998,53,0.27021,35,-0.6316,53,0.27943,49,0.17836
ENSG00000157933,SKI,43,0.38962,40,0.26710,28,-0.5148,33,-0.0136,41,0.36943
ENSG00000157916,RER1,75,0.40717,57,-0.0430,66,0.37288,47,-0.3603,38,-0.7384
ENSG00000157911,PEX10,46,0.81561,31,0.17951,24,-0.4522,31,0.13439,27,-0.0575
ENSG00000149527,PLCH2,9,-0.9926,2,-3.0010,24,1.16921,16,-0.1177,12,-0.5214
ENSG00000157881,PANK4,9,-0.7668,13,-0.1327,18,0.81270,11,-0.3383,9,-0.7593
ENSG00000197921,HES5,5,-1.8910,2,-3.0384,17,-0.3302,47,1.55487,25,0.55362
ENSG00000272449,AL139246.5,0,-7.4451,1,-3.2123,9,0.25060,13,0.78517,12,0.66233
ENSG00000157873,TNFRSF14,2,-1.4841,1,-2.7665,11,1.30779,10,0.41347,4,-1.0985
ENSG00000157870,PRXL2B,23,-1.2689,30,-0.8588,68,0.93537,60,0.23181,32,-0.7924
ENSG00000177133,PRDM16-DT,5,-1.7879,36,1.13997,9,-1.4161,40,1.34089,25,0.63686
ENSG00000158109,TPRG1L,42,-1.9205,150,0.02793,174,0.51587,145,-0.0303,135,-0.1570
ENSG00000116213,WRAP73,21,0.68383,30,1.30133,13,-0.1720,8,-0.8426,7,-1.0914
ENSG00000130764,LRRC47,48,-0.7741,79,0.00153,94,0.56164,65,-0.3155,64,-0.3835
ENSG00000116198,CEP104,39,1.43092,31,0.99307,14,-0.4962,9,-0.8641,10,-0.9299
ENSG00000198912,C1orf174,10,-0.2157,17,0.57270,12,-0.0127,7,-0.8337,13,0.12643
ENSG00000196581,AJAP1,18,-1.3251,26,-0.7283,55,0.88689,27,-0.6850,38,-0.1776
ENSG00000131697,NPHP4,4,-1.1074,16,0.84280,10,0.31519,5,-0.8360,8,-0.2693
ENSG00000069424,KCNAB2,24,-2.8654,138,-0.2605,187,0.42988,184,0.19090,174,0.11963
ENSG00000116254,CHD5,14,-3.0269,72,-0.5921,110,0.12131,79,-0.4644,171,0.92822
ENSG00000116251,RPL22,1110,1.27237,689,0.44431,393,-0.7376,505,-0.0609,488,-0.1304
ENSG00000116237,ICMT,25,-0.4616,25,-0.4086,41,0.67934,29,-0.1873,24,-0.5761
ENSG00000158292,GPR153,2,-2.3859,0,-4.9094,12,0.52044,15,0.66962,12,0.30589
ENSG00000097021,ACOT7,70,-2.0250,215,-0.3317,353,0.99349,180,-0.6122,211,-0.4044
ENSG00000215788,TNFRSF25,1,-2.8744,11,-0.2610,17,1.13821,12,-0.0444,7,-0.9389
ENSG00000171680,PLEKHG5,1,-3.9248,4,-2.3409,30,1.08971,29,0.40100,18,-0.3604
ENSG00000162408,NOL9,20,-0.4403,24,-0.1363,29,0.26772,22,-0.2715,27,0.01756
ENSG00000162413,KLHL21,34,0.30440,38,0.50775,28,-0.0170,23,-0.2963,22,-0.3614
ENSG00000116273,PHF13,14,-0.2396,18,0.19734,17,0.21853,11,-0.5595,16,-0.0632
ENSG00000041988,THAP3,28,0.43808,18,-0.3016,26,0.58106,21,-0.0728,10,-1.3104
ENSG00000007923,DNAJC11,12,-1.1860,33,0.37070,28,0.19792,25,-0.0929,26,-0.0069
ENSG00000171735,CAMTA1,90,-1.0236,233,0.46996,165,-0.1637,123,-0.5446,238,0.58242
ENSG00000049245,VAMP3,150,2.77764,86,1.57759,13,-2.1076,16,-1.1190,14,-1.4939
ENSG00000049246,PER3,27,0.38624,6,-1.8242,21,-0.0233,18,-0.2423,28,0.49808
ENSG00000116288,PARK7,288,-0.4555,488,0.38776,388,0.03213,379,-0.0213,372,-0.0557
ENSG00000116285,ERRFI1,14,-0.3131,23,0.38422,19,0.20001,14,-0.4133,16,-0.1910
ENSG00000162426,SLC45A1,15,-0.9081,14,-1.0283,35,0.90616,17,-0.6936,23,-0.2260
ENSG00000142599,RERE,81,-0.2971,107,0.14202,104,0.19588,73,-0.4582,97,-0.0077
ENSG00000074800,ENO1,447,-0.4553,895,0.66621,586,-0.0499,673,0.19397,510,-0.2769
ENSG00000171612,SLC25A33,19,-0.8984,17,-1.0061,32,-0.1017,63,1.05449,37,0.18613
ENSG00000188807,TMEM201,13,0.29990,6,-0.8007,13,0.55763,5,-1.1121,9,-0.2332
ENSG00000171608,PIK3CD,2,-2.1167,10,0.06006,8,-0.4514,2,-2.1438,20,1.55967
ENSG00000171603,CLSTN1,161,-2.0715,628,0.00676,812,0.88953,426,-0.6021,488,-0.4337
ENSG00000178585,CTNNBIP1,51,0.46704,36,-0.0628,34,-0.3264,36,-0.0839,44,0.27431
ENSG00000162441,LZIC,70,1.27291,45,0.52508,25,-0.6540,26,-0.3540,30,-0.1686
ENSG00000130939,UBE4B,26,-0.4877,55,0.72574,35,-0.0342,34,-0.0837,32,-0.1644
ENSG00000054523,KIF1B,274,0.18369,380,0.72662,204,-0.4814,189,-0.4033,290,0.31950
ENSG00000142657,PGD,34,-0.4510,86,1.05729,46,0.03077,31,-0.5918,37,-0.3599
ENSG00000175279,CENPS,6,-0.6178,2,-2.0738,12,0.71438,7,-0.4237,10,0.07942
ENSG00000241563,CORT,7,-4.1108,76,-0.6856,179,1.59857,41,-1.6291,84,-0.5885
ENSG00000160049,DFFA,61,1.02549,45,0.50461,26,-0.6186,34,0.03214,30,-0.1591
ENSG00000142655,PEX14,25,0.15643,13,-0.8602,27,0.66363,15,-0.5826,17,-0.5019
ENSG00000120948,TARDBP,62,0.29420,58,0.18614,54,0.10614,30,-0.8496,49,-0.0788
ENSG00000116649,SRM,48,-0.9428,90,0.03548,94,0.18607,92,0.06738,91,0.05916
ENSG00000171824,EXOSC10,23,0.22847,27,0.44728,18,-0.2660,19,-0.0587,20,0.02534
ENSG00000198793,MTOR,15,-1.3226,51,0.60654,39,0.28643,37,0.07176,28,-0.4060
ENSG00000120942,UBIAD1,29,1.78876,7,-0.5512,8,-0.4188,9,-0.2210,7,-0.6533
ENSG00000116661,FBXO2,189,-0.0059,91,-1.1262,210,0.31804,278,0.63020,142,-0.4990
ENSG00000132879,FBXO44,37,-1.7273,60,-1.0183,155,1.01917,83,-0.5186,100,-0.2476
ENSG00000116670,MAD2L2,43,1.22627,17,-0.2743,20,-0.0111,26,0.38057,8,-1.4265
ENSG00000177000,MTHFR,10,-0.4592,13,0.01514,13,-0.0118,9,-0.6047,17,0.47781
ENSG00000011021,CLCN6,27,-0.8426,35,-0.4636,50,0.18191,37,-0.3805,60,0.46822
