Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to12,Feature log2 fold change topic 2to12
ENSG00000228794,LINC01128,2,-3.5466,26,3.54661
ENSG00000188976,NOC2L,60,0.17610,53,-0.1761
ENSG00000188290,HES4,46,-0.7848,79,0.78484
ENSG00000187608,ISG15,62,-0.4462,84,0.44623
ENSG00000188157,AGRN,17,-1.3875,44,1.38758
ENSG00000131591,C1orf159,5,-1.3667,14,1.36678
ENSG00000078808,SDF4,10,-3.0108,84,3.01082
ENSG00000176022,B3GALT6,0,-5.5172,39,5.51726
ENSG00000160087,UBE2J2,29,-0.7943,50,0.79430
ENSG00000162572,SCNN1D,5,-1.3571,14,1.35718
ENSG00000131584,ACAP3,186,0.76665,109,-0.7666
ENSG00000169972,PUSL1,0,-4.0553,14,4.05534
ENSG00000127054,INTS11,61,-0.0378,62,0.03784
ENSG00000224051,CPTP,19,-0.9498,37,0.94988
ENSG00000107404,DVL1,21,-1.6458,68,1.64589
ENSG00000175756,AURKAIP1,143,-0.3115,178,0.31156
ENSG00000221978,CCNL2,56,-0.0609,58,0.06099
ENSG00000242485,MRPL20,244,0.46530,177,-0.4653
ENSG00000235098,ANKRD65,0,-4.6615,23,4.66158
ENSG00000179403,VWA1,0,-5.2382,32,5.23824
ENSG00000160072,ATAD3B,28,0.89850,15,-0.8985
ENSG00000197785,ATAD3A,16,-0.2288,19,0.22884
ENSG00000205090,TMEM240,124,1.48133,44,-1.4813
ENSG00000160075,SSU72,44,-1.8487,158,1.84870
ENSG00000228594,FNDC10,95,1.13588,43,-1.1358
ENSG00000272106,AL691432.2,0,-4.6790,23,4.67904
ENSG00000197530,MIB2,123,1.47133,44,-1.4713
ENSG00000215790,SLC35E2A,15,-1.7181,51,1.71818
ENSG00000008130,NADK,0,-5.3654,35,5.36541
ENSG00000078369,GNB1,422,-0.1429,466,0.14293
ENSG00000187730,GABRD,46,-1.8535,167,1.85357
ENSG00000067606,PRKCZ,99,-1.2611,237,1.26111
ENSG00000162585,FAAP20,33,-0.7911,58,0.79118
ENSG00000157933,SKI,7,-2.3550,39,2.35502
ENSG00000157916,RER1,92,0.28616,75,-0.2861
ENSG00000157911,PEX10,56,0.63950,36,-0.6395
ENSG00000149527,PLCH2,2,-4.0145,37,4.01454
ENSG00000157881,PANK4,1,-4.1917,19,4.19172
ENSG00000197921,HES5,10,-1.2657,25,1.26573
ENSG00000157873,TNFRSF14,0,-4.2466,16,4.24663
ENSG00000157870,PRXL2B,97,0.24495,81,-0.2449
ENSG00000177133,PRDM16-DT,41,0.68404,26,-0.6840
ENSG00000158109,TPRG1L,79,-1.3443,203,1.34435
ENSG00000116213,WRAP73,28,0.97141,14,-0.9714
ENSG00000130764,LRRC47,6,-3.7679,90,3.76797
ENSG00000116198,CEP104,2,-2.7036,16,2.70363
ENSG00000196581,AJAP1,42,-0.1152,45,0.11520
ENSG00000069424,KCNAB2,83,-1.6327,258,1.63270
ENSG00000116254,CHD5,76,-0.9334,145,0.93346
ENSG00000116251,RPL22,966,0.76382,569,-0.7638
ENSG00000116237,ICMT,23,-0.9257,45,0.92572
ENSG00000158292,GPR153,0,-4.3903,18,4.39038
ENSG00000097021,ACOT7,129,-1.2089,298,1.20892
ENSG00000215788,TNFRSF25,15,-0.6937,24,0.69373
ENSG00000171680,PLEKHG5,16,-0.9978,33,0.99783
ENSG00000162408,NOL9,0,-5.4204,37,5.42043
ENSG00000162413,KLHL21,3,-3.4482,34,3.44821
ENSG00000116273,PHF13,19,-0.0605,20,0.06051
ENSG00000041988,THAP3,0,-4.7897,24,4.78973
ENSG00000007923,DNAJC11,22,-0.5384,32,0.53841
ENSG00000171735,CAMTA1,155,-0.2584,186,0.25849
ENSG00000049245,VAMP3,0,-5.1554,32,5.15543
ENSG00000049246,PER3,69,1.06883,33,-1.0688
ENSG00000116288,PARK7,425,0.13005,388,-0.1300
ENSG00000116285,ERRFI1,0,-4.7653,23,4.76533
ENSG00000162426,SLC45A1,3,-3.5239,38,3.52396
ENSG00000142599,RERE,46,-1.2538,110,1.25387
ENSG00000074800,ENO1,462,-0.5540,678,0.55404
ENSG00000171612,SLC25A33,1,-4.9057,37,4.90576
ENSG00000188807,TMEM201,7,-1.1720,16,1.17206
ENSG00000171603,CLSTN1,588,-0.2787,714,0.27877
ENSG00000178585,CTNNBIP1,43,0.16820,38,-0.1682
ENSG00000162441,LZIC,25,-0.4762,35,0.47623
ENSG00000130939,UBE4B,5,-2.7768,38,2.77681
ENSG00000054523,KIF1B,159,-0.7525,269,0.75256
ENSG00000142657,PGD,26,-0.9237,49,0.92375
ENSG00000241563,CORT,8,-3.2929,85,3.29293
ENSG00000160049,DFFA,66,1.35601,25,-1.3560
ENSG00000142655,PEX14,0,-4.7314,23,4.73142
ENSG00000120948,TARDBP,52,-0.4886,73,0.48865
ENSG00000116649,SRM,88,-0.4130,117,0.41307
ENSG00000171824,EXOSC10,44,0.70112,27,-0.7011
ENSG00000198793,MTOR,0,-5.6260,43,5.62605
ENSG00000204624,DISP3,5,-1.4163,15,1.41635
ENSG00000116661,FBXO2,141,-1.2794,343,1.27943
ENSG00000132879,FBXO44,128,-0.4002,169,0.40027
ENSG00000116670,MAD2L2,0,-5.3169,34,5.31691
ENSG00000177674,AGTRAP,16,0.11040,14,-0.1104
ENSG00000177000,MTHFR,11,-0.7457,19,0.74575
ENSG00000011021,CLCN6,21,-1.7113,71,1.71135
ENSG00000116685,KIAA2013,51,0.25746,43,-0.2574
ENSG00000083444,PLOD1,0,-4.6508,21,4.65084
ENSG00000116688,MFN2,23,-1.8820,87,1.88201
ENSG00000116691,MIIP,0,-4.6532,21,4.65327
ENSG00000048707,VPS13D,146,1.66733,46,-1.6673
ENSG00000162496,DHRS3,1,-4.4097,27,4.40976
ENSG00000116731,PRDM2,117,0.82635,66,-0.8263
ENSG00000189337,KAZN,19,-1.0367,40,1.03676
ENSG00000142634,EFHD2,4,-4.3824,93,4.38245
ENSG00000116138,DNAJC16,58,1.19495,25,-1.1949
ENSG00000197312,DDI2,29,0.19422,26,-0.1942
ENSG00000116786,PLEKHM2,26,-1.6964,87,1.69649
ENSG00000065526,SPEN,15,-0.9391,29,0.93919
ENSG00000116809,ZBTB17,45,1.46550,16,-1.4655
ENSG00000185519,FAM131C,0,-4.2084,16,4.20844
ENSG00000037637,FBXO42,2,-2.8624,16,2.86240
ENSG00000055070,SZRD1,12,-1.0857,27,1.08577
ENSG00000157191,NECAP2,0,-4.1411,15,4.14118
ENSG00000058453,CROCC,0,-4.2320,16,4.23209
ENSG00000159363,ATP13A2,182,0.27752,150,-0.2775
ENSG00000117118,SDHB,92,-0.0196,93,0.01962
ENSG00000117115,PADI2,12,-1.8123,43,1.81233
ENSG00000179051,RCC2,0,-4.3856,18,4.38560
ENSG00000074964,ARHGEF10L,40,1.33292,16,-1.3329
ENSG00000117154,IGSF21,72,0.25252,60,-0.2525
ENSG00000159423,ALDH4A1,0,-5.3425,35,5.34258
ENSG00000127463,EMC1,54,0.60513,35,-0.6051
ENSG00000053372,MRTO4,0,-5.3534,40,5.35344
ENSG00000053371,AKR7A2,2,-4.5091,48,4.50919
ENSG00000077549,CAPZB,160,-0.3834,209,0.38340
ENSG00000173436,MICOS10,192,-0.8670,350,0.86705
ENSG00000158747,NBL1,157,-0.1583,175,0.15834
ENSG00000169914,OTUD3,1,-3.3852,17,3.38524
ENSG00000162545,CAMK2N1,1090,-0.4556,1495,0.45569
ENSG00000090432,MUL1,0,-5.0880,29,5.08803
ENSG00000158828,PINK1,273,-0.5210,393,0.52108
ENSG00000244038,DDOST,74,1.29804,30,-1.2980
ENSG00000117245,KIF17,2,-3.2823,21,3.28230
ENSG00000189410,SH2D5,25,-0.5653,38,0.56534
ENSG00000127483,HP1BP3,106,-0.5966,160,0.59667
ENSG00000075151,EIF4G3,115,-0.0090,116,0.00902
ENSG00000117298,ECE1,3,-2.2269,17,2.22691
ENSG00000076864,RAP1GAP,114,-0.5226,165,0.52266
ENSG00000090686,USP48,93,1.13943,42,-1.1394
ENSG00000070831,CDC42,70,-1.6855,226,1.68554
ENSG00000173372,C1QA,26,-0.6057,40,0.60579
ENSG00000159189,C1QC,22,-0.6104,34,0.61042
ENSG00000173369,C1QB,86,0.40066,65,-0.4006
ENSG00000004487,KDM1A,15,-1.7761,54,1.77610
ENSG00000169641,LUZP1,10,-1.9196,39,1.91961
ENSG00000125944,HNRNPR,24,-2.2303,114,2.23037
ENSG00000125945,ZNF436,18,-0.4239,24,0.42395
ENSG00000117318,ID3,37,-0.8603,67,0.86037
ENSG00000142676,RPL11,1169,1.09531,547,-1.0953
ENSG00000011007,ELOA,0,-4.3987,18,4.39873
ENSG00000057757,PITHD1,103,-1.0719,217,1.07198
ENSG00000011009,LYPLA2,32,-0.7360,54,0.73607
ENSG00000117308,GALE,16,-0.0986,17,0.09868
ENSG00000117305,HMGCL,2,-3.5566,23,3.55664
ENSG00000179163,FUCA1,0,-4.2191,16,4.21910
ENSG00000189266,PNRC2,169,1.68831,52,-1.6883
ENSG00000188529,SRSF10,16,-1.9150,60,1.91506
ENSG00000001461,NIPAL3,66,0.21074,57,-0.2107
ENSG00000133226,SRRM1,28,-0.6498,44,0.64985
ENSG00000169504,CLIC4,12,-1.2557,29,1.25572
ENSG00000117614,SYF2,112,0.83204,62,-0.8320
ENSG00000117616,RSRP1,84,0.35260,66,-0.3526
ENSG00000183726,TMEM50A,145,0.74912,86,-0.7491
ENSG00000204178,MACO1,30,0.01995,29,-0.0199
ENSG00000117643,MAN1C1,19,-1.3356,48,1.33560
ENSG00000162430,SELENON,99,1.16407,44,-1.1640
ENSG00000117640,MTFR1L,60,-0.2479,71,0.24792
ENSG00000117632,STMN1,558,-1.0506,1157,1.05066
ENSG00000158008,EXTL1,38,-0.4826,54,0.48264
ENSG00000142684,ZNF593,82,1.42814,30,-1.4281
ENSG00000142669,SH3BGRL3,366,0.41953,274,-0.4195
ENSG00000158062,UBXN11,15,-0.8573,27,0.85738
ENSG00000117682,DHDDS,1,-3.9336,18,3.93369
ENSG00000198830,HMGN2,167,0.28783,137,-0.2878
ENSG00000117713,ARID1A,42,-0.4560,58,0.45604
ENSG00000204160,ZDHHC18,7,-2.0185,31,2.01855
ENSG00000142751,GPN2,0,-4.3222,17,4.32228
ENSG00000090273,NUDC,198,0.29630,161,-0.2963
ENSG00000253368,TRNP1,36,-0.8457,66,0.84572
ENSG00000090020,SLC9A1,0,-5.2462,32,5.24628
ENSG00000142784,WDTC1,23,-0.4806,32,0.48067
ENSG00000186501,TMEM222,50,-0.6109,77,0.61092
ENSG00000158195,WASF2,0,-4.8573,25,4.85733
ENSG00000126705,AHDC1,0,-6.0275,57,6.02757
ENSG00000126709,IFI6,175,0.44541,129,-0.4454
ENSG00000009780,FAM76A,3,-2.1164,16,2.11645
ENSG00000117758,STX12,69,-0.4499,95,0.44992
ENSG00000117751,PPP1R8,27,-0.0511,28,0.05112
ENSG00000117748,RPA2,44,-0.4063,58,0.40635
ENSG00000126698,DNAJC8,140,0.19567,122,-0.1956
ENSG00000130770,ATP5IF1,376,-0.4933,529,0.49334
ENSG00000180098,TRNAU1AP,18,0.00406,18,-0.0040
ENSG00000120656,TAF12,48,1.58338,16,-1.5833
ENSG00000198492,YTHDF2,49,-0.8082,87,0.80825
ENSG00000116350,SRSF4,11,-2.0955,48,2.09557
ENSG00000116353,MECR,27,-0.4052,36,0.40527
ENSG00000162511,LAPTM5,76,0.63169,49,-0.6316
