"X","cluster","type","scores","ncells","confident","cell_type_broad","cell_type_class","type_rank","cell_type_fine","ct_fine"
21,"k10c21","Astrocytes",72529.4974299691,11902,TRUE,"Astro","glia",1,"Astro.01","Astro.01"
11,"k10c11","Astrocytes",54252.7805478985,8170,TRUE,"Astro","glia",2,"Astro.02","Astro.02"
25,"k10c25","Astrocytes",11946.1073501897,2413,TRUE,"Astro","glia",3,"Astro.03","Astro.03"
13,"k10c13","Astrocytes",688.817009520686,627,TRUE,"Astro","glia",4,"Astro.04","Astro.04"
39,"k10c39","Astrocytes",293.635288527993,420,TRUE,"Astro","glia",5,"Astro.05","Astro.05"
32,"k10c32","Astrocytes",2084.83752466195,397,TRUE,"Astro","glia",6,"Astro.06","Astro.06"
53,"k10c53","Astrocytes",872.499894227404,392,TRUE,"Astro","glia",7,"Astro.07","Astro.07"
42,"k10c42","Astrocytes",221.734979495277,288,TRUE,"Astro","glia",8,"Astro.08","Astro.08"
41,"k10c41","Astrocytes",1154.22137023973,209,TRUE,"Astro","glia",9,"Astro.09","Astro.09"
55,"k10c55","Astrocytes",301.388323562055,81,TRUE,"Astro","glia",10,"Astro.10","Astro.10"
59,"k10c59","Astrocytes",58.9929869671132,14,TRUE,"Astro","glia",11,"Astro.11","Astro.11"
4,"k10c04","Endothelial cells",4746.77295628638,1693,TRUE,"Endo","glia",1,"Endo.1","Endo.1"
20,"k10c20","Microglial cells",39031.6748591172,8555,TRUE,"Micro","glia",1,"Micro.1","Micro.1"
22,"k10c22","Microglial cells",14714.0922948703,3041,TRUE,"Micro","glia",2,"Micro.2","Micro.2"
8,"k10c08","Microglial cells",8960.38984614536,2608,TRUE,"Micro","glia",3,"Micro.3","Micro.3"
28,"k10c28","Microglial cells",2661.17045435207,650,TRUE,"Micro","glia",4,"Micro.4","Micro.4"
49,"k10c49","Microglial cells",736.662293956578,211,TRUE,"Micro","glia",5,"Micro.5","Micro.5"
38,"k10c38","Microglial cells",262.140558351843,158,TRUE,"Micro","glia",6,"Micro.6","Micro.6"
19,"k10c19","Oligodendrocytes",105471.424624468,15354,TRUE,"Oligo","glia",1,"Oligo.1","Oligo.1"
54,"k10c54","Oligodendrocytes",97088.0479086023,15150,TRUE,"Oligo","glia",2,"Oligo.2","Oligo.2"
16,"k10c16","Oligodendrocytes",59439.0916330044,12833,TRUE,"Oligo","glia",3,"Oligo.3","Oligo.3"
2,"k10c02","Oligodendrocytes",10751.0923333459,5717,TRUE,"Oligo","glia",4,"Oligo.4","Oligo.4"
10,"k10c10","Oligodendrocytes",3935.50320306999,2395,TRUE,"Oligo","glia",5,"Oligo.5","Oligo.5"
34,"k10c34","Oligodendrocytes",4916.36824524788,707,TRUE,"Oligo","glia",6,"Oligo.6","Oligo.6"
30,"k10c30","Oligodendrocytes",1282.91885527818,257,TRUE,"Oligo","glia",7,"Oligo.7","Oligo.7"
46,"k10c46","Oligodendrocytes",402.929171550016,76,TRUE,"Oligo","glia",8,"Oligo.8","Oligo.8"
62,"k10c62","Oligodendrocytes",146.915755193017,29,TRUE,"Oligo","glia",9,"Oligo.9","Oligo.9"
18,"k10c18","Oligodendrocyte precursor cells",103808.789538413,13345,TRUE,"OPC","glia",1,"OPC.1","OPC.1"
45,"k10c45","Oligodendrocyte precursor cells",11785.6898759286,1693,TRUE,"OPC","glia",2,"OPC.2","OPC.2"
48,"k10c48","Oligodendrocyte precursor cells",1307.45537241566,202,TRUE,"OPC","glia",3,"OPC.3","OPC.3"
52,"k10c52","Oligodendrocyte precursor cells",504.589805536044,77,TRUE,"OPC","glia",4,"OPC.4","OPC.4"
50,"k10c50","Oligodendrocyte precursor cells",349.883434376624,56,TRUE,"OPC","glia",5,"OPC.5","OPC.5"
15,"k10c15","Glutamatergic neurons",43423.0069926875,8250,TRUE,"Excit","neuron",1,"Excit.01","Excit.01"
12,"k10c12","Glutamatergic neurons",7257.11435156389,2184,TRUE,"Excit","neuron",2,"Excit.02","Excit.02"
14,"k10c14","Glutamatergic neurons",9172.3547209852,1607,TRUE,"Excit","neuron",3,"Excit.03","Excit.03"
56,"k10c56","Glutamatergic neurons",6738.57800776998,1390,TRUE,"Excit","neuron",4,"Excit.04","Excit.04"
27,"k10c27","Glutamatergic neurons",5152.89912397233,994,TRUE,"Excit","neuron",5,"Excit.05","Excit.05"
23,"k10c23","Glutamatergic neurons",3696.43300836096,740,TRUE,"Excit","neuron",6,"Excit.06","Excit.06"
1,"k10c01","Glutamatergic neurons",3715.56580040724,707,TRUE,"Excit","neuron",7,"Excit.07","Excit.07"
24,"k10c24","Glutamatergic neurons",3584.19667668271,686,TRUE,"Excit","neuron",8,"Excit.08","Excit.08"
35,"k10c35","Glutamatergic neurons",3372.00841945818,639,TRUE,"Excit","neuron",9,"Excit.09","Excit.09"
36,"k10c36","Glutamatergic neurons",3190.64684775565,639,TRUE,"Excit","neuron",10,"Excit.10","Excit.10"
26,"k10c26","Glutamatergic neurons",1344.15806034478,258,TRUE,"Excit","neuron",11,"Excit.11","Excit.11"
31,"k10c31","Glutamatergic neurons",1121.35848589142,218,TRUE,"Excit","neuron",12,"Excit.12","Excit.12"
51,"k10c51","Glutamatergic neurons",1066.70525704716,198,TRUE,"Excit","neuron",13,"Excit.13","Excit.13"
29,"k10c29","Glutamatergic neurons",1040.6320565626,193,TRUE,"Excit","neuron",14,"Excit.14","Excit.14"
5,"k10c05","Glutamatergic neurons",758.649166806606,157,TRUE,"Excit","neuron",15,"Excit.15","Excit.15"
33,"k10c33","Glutamatergic neurons",654.941658087821,127,TRUE,"Excit","neuron",16,"Excit.16","Excit.16"
40,"k10c40","Glutamatergic neurons",482.731673397982,115,TRUE,"Excit","neuron",17,"Excit.17","Excit.17"
6,"k10c06","Glutamatergic neurons",97.8744108811911,89,TRUE,"Excit","neuron",18,"Excit.18","Excit.18"
57,"k10c57","Glutamatergic neurons",189.888819601181,37,TRUE,"Excit","neuron",19,"Excit.19","Excit.19"
60,"k10c60","Glutamatergic neurons",136.73336344901,31,TRUE,"Excit","neuron",20,"Excit.20","Excit.20"
37,"k10c37","Glutamatergic neurons",155.773941215418,29,TRUE,"Excit","neuron",21,"Excit.21","Excit.21"
58,"k10c58","Glutamatergic neurons",133.547627666499,24,TRUE,"Excit","neuron",22,"Excit.22","Excit.22"
61,"k10c61","Glutamatergic neurons",27.032237277975,15,TRUE,"Excit","neuron",23,"Excit.23","Excit.23"
9,"k10c09","GABAergic neurons",27384.6476453014,6317,TRUE,"Inhib","neuron",1,"Inhib.1","Inhib.1"
3,"k10c03","GABAergic neurons",10044.5862352756,2427,TRUE,"Inhib","neuron",2,"Inhib.2","Inhib.2"
43,"k10c43","GABAergic neurons",3845.096126238,602,TRUE,"Inhib","neuron",3,"Inhib.3","Inhib.3"
17,"k10c17","GABAergic neurons",3301.82177238943,588,TRUE,"Inhib","neuron",4,"Inhib.4","Inhib.4"
47,"k10c47","GABAergic neurons",2514.18954841316,527,TRUE,"Inhib","neuron",5,"Inhib.5","Inhib.5"
44,"k10c44","GABAergic neurons",961.220794553744,207,TRUE,"Inhib","neuron",6,"Inhib.6","Inhib.6"
7,"k10c07","Mature neurons",1602.5328149532,404,TRUE,"Neu","neuron",1,"Neu.1","Neu.1"
