"","top","model_type","test","gene","stat","pval","fdr","gene_index","logFC","ensembl"
"1",1,"enrichment","Astro","ENSG00000271776",53.4038602707603,1.20213681217458e-131,2.51679362996871e-127,13728,5.22649278562668,"ENSG00000271776"
"2",2,"enrichment","Astro","ENSG00000286798",47.0953535611114,3.91009703451205e-120,4.09308957572721e-116,8863,4.82808783214788,"ENSG00000286798"
"3",3,"enrichment","Astro","ENSG00000288048",39.9576271407016,1.6970164096669e-105,1.18429118509287e-101,3045,4.58472598539094,"ENSG00000288048"
"4",4,"enrichment","Astro","ENSG00000288172",37.4417046045064,7.34403100035653e-100,3.84386582558661e-96,11114,5.13244974008527,"ENSG00000288172"
"5",5,"enrichment","Astro","OTX1",36.5630012869276,7.92836082435043e-98,3.31976324437201e-94,2427,5.43163429285744,"ENSG00000115507"
"6",6,"enrichment","Astro","ENSG00000286117",33.8944407682277,1.95576760626743e-91,6.82432510080249e-88,19149,5.21765441560574,"ENSG00000286117"
"7",7,"enrichment","Astro","GLUD1",33.5138403938579,1.70044613664371e-90,5.08579147382467e-87,10877,3.4202798064788,"ENSG00000148672"
"8",8,"enrichment","Astro","TMPRSS3",32.4770267826186,6.68861701676289e-88,1.75041107328685e-84,19680,4.84740304630111,"ENSG00000160183"
"9",9,"enrichment","Astro","RYR3-DT",28.8781929084309,1.80908000725419e-78,4.20832211465264e-75,14646,5.61814258273647,"ENSG00000259446"
"10",10,"enrichment","Astro","CCDC190",28.3053538630462,6.63415964018018e-77,1.38892766226812e-73,1432,6.17625189914357,"ENSG00000185860"
"11",11,"enrichment","Astro","AHCYL1",27.7343710543612,2.50417760208353e-75,4.76613293429279e-72,993,2.98274467726332,"ENSG00000168710"
"12",12,"enrichment","Astro","ENSG00000287544",27.0048721744271,2.74833574290672e-73,4.79492975945793e-70,5540,8.27487663850211,"ENSG00000287544"
"13",13,"enrichment","Astro","ENSG00000287893",26.742057189768,1.51798870571975e-72,2.44466242638067e-69,8005,5.70766026833842,"ENSG00000287893"
"14",14,"enrichment","Astro","FEZF1-AS1",26.644743651649,2.86445624822191e-72,4.28358971519813e-69,8534,5.19526892117156,"ENSG00000230316"
"15",15,"enrichment","Astro","GDPD2",26.5316169510326,6.00175934765462e-72,8.37685558016648e-69,20518,5.53388817731248,"ENSG00000130055"
"16",16,"enrichment","Astro","LINC01354",26.4915922086622,7.8001142834773e-72,1.020644953993e-68,1920,5.24062182429503,"ENSG00000231768"
"17",17,"enrichment","Astro","ETNPPL",26.1478150671998,7.47035045620256e-71,9.19995630300334e-68,5265,8.23541713715035,"ENSG00000164089"
"18",18,"enrichment","Astro","ENSG00000287021",25.6167889919569,2.52198528948217e-69,2.77896231687362e-66,5342,5.83800758781722,"ENSG00000287021"
"19",19,"enrichment","Astro","ENSG00000287939",25.5584577402728,3.72024194900938e-69,3.89434927222301e-66,7255,4.98962881653028,"ENSG00000287939"
"20",20,"enrichment","Astro","LINC02123",25.3539839934944,1.4583049914954e-68,1.45386063342608e-65,5641,3.78954785134404,"ENSG00000250668"
"21",21,"enrichment","Astro","ENSG00000286387",25.2347458938639,3.24241688384926e-68,3.08560181273945e-65,17127,6.19033397551559,"ENSG00000286387"
"22",22,"enrichment","Astro","HKDC1",24.9158796621299,2.77125491859923e-67,2.52256491199102e-64,10751,5.82371297232907,"ENSG00000156510"
"23",23,"enrichment","Astro","ENSG00000254645",24.8133295216786,5.54025442438084e-67,4.83294860953489e-64,11406,3.78363153072597,"ENSG00000254645"
"24",24,"enrichment","Astro","OBI1-AS1",24.7845248286617,6.73189559266058e-67,5.63755864511768e-64,13727,8.68881088575555,"ENSG00000234377"
