Feature ID,Feature Name,Feature count topic 1to4,Feature log2 fold change topic 1to4,Feature count topic 5to11,Feature log2 fold change topic 5to11
ENSG00000228794,LINC01128,19,-0.2241,22,0.22417
ENSG00000188976,NOC2L,58,0.61806,37,-0.6180
ENSG00000188290,HES4,92,0.14285,83,-0.1428
ENSG00000187608,ISG15,114,0.49137,81,-0.4913
ENSG00000188157,AGRN,49,0.25335,41,-0.2533
ENSG00000078808,SDF4,74,0.31728,59,-0.3172
ENSG00000176022,B3GALT6,38,0.33323,30,-0.3332
ENSG00000160087,UBE2J2,56,1.00275,28,-1.0027
ENSG00000131584,ACAP3,87,0.08616,82,-0.0861
ENSG00000169972,PUSL1,16,0.53266,11,-0.5326
ENSG00000127054,INTS11,64,0.79104,37,-0.7910
ENSG00000224051,CPTP,41,0.56683,27,-0.5668
ENSG00000107404,DVL1,61,-0.2156,70,0.21569
ENSG00000175756,AURKAIP1,215,0.29229,175,-0.2922
ENSG00000221978,CCNL2,43,0.39888,32,-0.3988
ENSG00000242485,MRPL20,188,0.02005,185,-0.0200
ENSG00000235098,ANKRD65,9,-0.5188,13,0.51889
ENSG00000179403,VWA1,21,-0.5249,30,0.52492
ENSG00000197785,ATAD3A,23,0.66422,14,-0.6642
ENSG00000205090,TMEM240,48,0.47527,34,-0.4752
ENSG00000160075,SSU72,154,0.27537,127,-0.2753
ENSG00000228594,FNDC10,33,0.28323,27,-0.2832
ENSG00000272106,AL691432.2,19,0.06975,18,-0.0697
ENSG00000197530,MIB2,37,-0.0567,39,0.05677
ENSG00000189339,SLC35E2B,17,-0.1536,18,0.15361
ENSG00000215790,SLC35E2A,24,-0.1818,27,0.18182
ENSG00000008130,NADK,27,0.05251,26,-0.0525
ENSG00000078369,GNB1,417,0.02002,411,-0.0200
ENSG00000187730,GABRD,131,0.34177,103,-0.3417
ENSG00000067606,PRKCZ,220,0.17454,195,-0.1745
ENSG00000162585,FAAP20,53,-0.0817,56,0.08175
ENSG00000157933,SKI,16,-0.7854,27,0.78542
ENSG00000157916,RER1,78,0.40049,59,-0.4004
ENSG00000157911,PEX10,34,0.04399,33,-0.0439
ENSG00000149527,PLCH2,28,0.78800,16,-0.7880
ENSG00000197921,HES5,6,-1.4423,18,1.44231
ENSG00000157870,PRXL2B,56,0.26417,46,-0.2641
ENSG00000177133,PRDM16-DT,6,-1.3608,17,1.36086
ENSG00000158109,TPRG1L,164,0.32655,131,-0.3265
ENSG00000116213,WRAP73,20,1.16081,9,-1.1608
ENSG00000130764,LRRC47,79,0.34334,62,-0.3433
ENSG00000116198,CEP104,10,-0.1159,11,0.11597
ENSG00000196581,AJAP1,36,0.38075,27,-0.3807
ENSG00000069424,KCNAB2,169,-0.0465,175,0.04652
ENSG00000116254,CHD5,115,0.16121,103,-0.1612
ENSG00000116251,RPL22,382,-0.4309,515,0.43097
ENSG00000116237,ICMT,37,0.15135,33,-0.1513
ENSG00000097021,ACOT7,378,0.71378,230,-0.7137
ENSG00000215788,TNFRSF25,12,0.11041,11,-0.1104
ENSG00000171680,PLEKHG5,24,0.08568,23,-0.0856
ENSG00000162408,NOL9,22,0.17601,20,-0.1760
ENSG00000162413,KLHL21,21,0.40277,16,-0.4027
ENSG00000116273,PHF13,14,0.18555,13,-0.1855
ENSG00000041988,THAP3,18,-0.0253,18,0.02534
ENSG00000007923,DNAJC11,19,-0.6722,31,0.67227
ENSG00000171735,CAMTA1,160,0.25435,134,-0.2543
ENSG00000049245,VAMP3,15,-0.5603,22,0.56039
ENSG00000049246,PER3,12,-0.3342,16,0.33429
ENSG00000116288,PARK7,386,0.17392,342,-0.1739
ENSG00000116285,ERRFI1,19,0.32399,15,-0.3239
ENSG00000162426,SLC45A1,59,1.03151,29,-1.0315
ENSG00000142599,RERE,73,0.34413,57,-0.3441
ENSG00000074800,ENO1,706,0.37494,544,-0.3749
ENSG00000171612,SLC25A33,40,0.25421,33,-0.2542
ENSG00000171608,PIK3CD,17,0.47866,12,-0.4786
ENSG00000171603,CLSTN1,696,0.49955,492,-0.4995
ENSG00000178585,CTNNBIP1,34,-0.2527,40,0.25275
ENSG00000162441,LZIC,28,-0.0854,30,0.08546
ENSG00000130939,UBE4B,37,0.45296,27,-0.4529
ENSG00000054523,KIF1B,195,0.00761,194,-0.0076
ENSG00000142657,PGD,68,1.22004,29,-1.2200
ENSG00000241563,CORT,618,3.73543,46,-3.7354
ENSG00000160049,DFFA,32,-0.0835,34,0.08350
ENSG00000142655,PEX14,34,0.98296,17,-0.9829
ENSG00000120948,TARDBP,71,0.60001,46,-0.6000
ENSG00000116649,SRM,153,0.64271,98,-0.6427
ENSG00000171824,EXOSC10,27,0.59789,18,-0.5978
ENSG00000198793,MTOR,43,0.27563,36,-0.2756
ENSG00000116661,FBXO2,201,-0.3072,248,0.30725
ENSG00000132879,FBXO44,171,0.35864,134,-0.3586
ENSG00000116670,MAD2L2,21,-0.0822,22,0.08223
ENSG00000011021,CLCN6,51,0.41858,38,-0.4185
ENSG00000116685,KIAA2013,43,0.61309,28,-0.6130
ENSG00000083444,PLOD1,25,0.29168,20,-0.2916
ENSG00000116688,MFN2,80,0.32257,64,-0.3225
ENSG00000116691,MIIP,17,0.59225,11,-0.5922
ENSG00000048707,VPS13D,33,-0.0201,34,0.02013
ENSG00000162496,DHRS3,19,-0.1775,22,0.17754
ENSG00000116731,PRDM2,50,-0.1752,57,0.17523
ENSG00000189337,KAZN,89,1.47247,32,-1.4724
ENSG00000142634,EFHD2,162,0.75302,96,-0.7530
ENSG00000116138,DNAJC16,27,0.45043,20,-0.4504
ENSG00000197312,DDI2,15,-0.1354,17,0.13542
ENSG00000116786,PLEKHM2,67,-0.1561,75,0.15613
ENSG00000065526,SPEN,25,0.24267,21,-0.2426
ENSG00000116809,ZBTB17,11,-0.1441,13,0.14410
ENSG00000185519,FAM131C,27,0.87046,15,-0.8704
ENSG00000037637,FBXO42,19,0.61324,13,-0.6132
ENSG00000055070,SZRD1,13,-0.7547,23,0.75475
ENSG00000157191,NECAP2,9,-0.2909,11,0.29094
ENSG00000219481,NBPF1,12,0.30809,9,-0.3080
ENSG00000238142,BX284668.5,13,-0.4343,17,0.43430
ENSG00000159363,ATP13A2,201,0.51311,141,-0.5131
ENSG00000117118,SDHB,113,0.29920,92,-0.2992
ENSG00000117115,PADI2,9,-1.5125,27,1.51253
ENSG00000179051,RCC2,17,0.72635,10,-0.7263
ENSG00000074964,ARHGEF10L,13,-0.1545,14,0.15458
ENSG00000117154,IGSF21,113,0.92032,59,-0.9203
ENSG00000159423,ALDH4A1,11,-1.2988,29,1.29884
