Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11
ENSG00000188976,NOC2L,3,-3.4214,142,2.42588,24,-0.6353,33,-0.1874,54,0.61421,39,0.07774,0,-6.1241,4,-3.2869,34,-0.1269,38,0.04934
ENSG00000188290,HES4,3,-4.4404,80,0.11729,213,1.80062,37,-1.1403,159,1.26163,0,-8.0451,22,-1.8034,22,-1.8145,244,2.07297,1,-5.5019
ENSG00000187608,ISG15,3,-5.3346,59,-1.2957,192,0.52950,31,-2.3694,195,0.54967,0,-8.9324,237,0.88064,21,-2.8026,751,3.27031,3,-5.3454
ENSG00000078808,SDF4,209,0.72437,123,-0.1290,100,-0.4554,49,-1.6342,303,1.36962,94,-0.5393,308,1.40318,39,-1.8511,160,0.28272,37,-1.9435
ENSG00000160087,UBE2J2,3,-3.5173,136,2.17918,44,0.17182,28,-0.5851,1,-4.5363,43,0.13620,120,1.93085,3,-3.4647,9,-2.1593,17,-1.2952
ENSG00000131584,ACAP3,3,-4.7926,283,1.88158,88,-0.1183,49,-1.0938,105,0.15924,190,1.14932,97,0.02561,22,-2.1684,36,-1.4827,123,0.41724
ENSG00000127054,INTS11,536,3.52998,79,-0.2080,65,-0.5034,18,-2.5417,16,-2.5881,154,0.86600,50,-0.9058,15,-2.7074,24,-2.0022,21,-2.2164
ENSG00000107404,DVL1,3,-4.1050,107,0.97775,51,-0.2124,33,-0.9840,49,-0.3036,119,1.15677,77,0.42841,66,0.17203,85,0.58018,27,-1.1879
ENSG00000175756,AURKAIP1,255,1.47922,127,0.28893,108,0.02847,54,-1.1099,11,-3.3205,127,0.29165,245,1.40398,42,-1.4197,41,-1.4508,102,-0.0574
ENSG00000221978,CCNL2,120,1.31487,130,1.46160,42,-0.3918,13,-2.2021,1,-5.0045,59,0.12043,71,0.42780,13,-2.0802,94,0.89984,40,-0.4573
ENSG00000242485,MRPL20,267,1.42469,179,0.72631,168,0.62668,43,-1.6021,70,-0.7562,113,-0.0193,91,-0.3482,75,-0.6500,124,0.13666,84,-0.4786
ENSG00000179403,VWA1,4,-6.0140,24,-3.5410,111,-1.3120,32,-3.2744,166,-0.7012,1476,3.39775,495,1.05524,62,-2.1828,84,-1.7213,387,0.63797
ENSG00000205090,TMEM240,3,-3.6053,213,3.09782,50,0.29538,34,-0.3619,58,0.52434,0,-7.2150,8,-2.4021,12,-1.8735,27,-0.6561,19,-1.1660
ENSG00000160075,SSU72,3,-4.8645,232,1.41199,130,0.42634,76,-0.4606,118,0.27048,76,-0.4294,128,0.39139,25,-2.1084,129,0.40490,106,0.09689
ENSG00000078369,GNB1,238,0.09044,377,0.84675,289,0.40143,142,-0.7710,217,-0.0540,152,-0.6066,417,1.01608,142,-0.7097,217,-0.0581,140,-0.7398
ENSG00000067606,PRKCZ,3,-4.3837,239,2.11043,52,-0.4829,42,-0.8903,21,-1.8759,122,0.86873,93,0.41301,91,0.38330,19,-2.0214,64,-0.1636
ENSG00000162585,FAAP20,285,1.96237,49,-0.9533,104,0.19890,53,-0.9072,4,-4.5330,70,-0.4197,253,1.72913,27,-1.8628,50,-0.9481,63,-0.5799
ENSG00000157933,SKI,220,2.34114,100,0.84948,65,0.16015,24,-1.4309,1,-5.1267,120,1.17094,37,-0.7208,13,-2.2877,15,-2.0467,30,-1.0251
ENSG00000157916,RER1,3,-4.4179,95,0.40692,89,0.31641,32,-1.3466,148,1.15959,60,-0.3070,227,1.96014,6,-3.6320,44,-0.7730,70,-0.0803
ENSG00000157870,PRXL2B,3,-3.7542,239,3.12379,50,0.12313,28,-0.8555,64,0.53380,0,-7.3626,45,-0.0519,11,-2.1902,32,-0.5472,9,-2.3841
ENSG00000158109,TPRG1L,244,2.06694,228,1.92470,24,-1.7386,50,-0.6821,5,-3.8220,49,-0.6624,105,0.54945,47,-0.7210,2,-4.8633,19,-2.0198
ENSG00000069424,KCNAB2,3,-4.4233,389,3.19632,64,-0.2242,92,0.39861,98,0.46258,0,-8.0283,44,-0.7946,4,-4.2465,7,-3.3551,16,-2.2373
ENSG00000116254,CHD5,3,-4.8524,601,3.60239,73,-0.4761,138,0.60985,94,-0.0783,4,-4.6296,0,-7.5481,20,-2.3993,16,-2.7096,3,-5.0291
ENSG00000116251,RPL22,1837,0.90587,276,-2.0403,501,-1.1530,232,-2.4198,1029,-0.0438,1162,0.14977,1089,0.04615,1293,0.32136,1902,0.96535,2087,1.12698
ENSG00000097021,ACOT7,3,-4.2643,407,3.66112,22,-1.6575,39,-0.8792,66,0.01292,39,-0.8197,35,-0.9622,12,-2.5460,28,-1.2953,34,-0.9964
ENSG00000171735,CAMTA1,320,1.33849,259,0.96431,210,0.61038,112,-0.4246,6,-4.6728,77,-0.9714,135,-0.0960,75,-1.0067,216,0.66092,61,-1.3208
ENSG00000049245,VAMP3,262,1.17251,0,-9.7540,78,-0.7845,28,-2.3971,80,-0.7501,271,1.23286,307,1.45970,39,-1.7949,92,-0.5222,235,0.98622
ENSG00000116288,PARK7,777,1.93702,173,-0.5990,385,0.66938,117,-1.2780,52,-2.3965,216,-0.2613,395,0.71253,118,-1.1865,257,0.01293,196,-0.4133
ENSG00000142599,RERE,165,1.19219,207,1.60754,126,0.72950,36,-1.3138,42,-1.0042,78,-0.0475,8,-3.4261,34,-1.2958,78,-0.0412,74,-0.1338
ENSG00000074800,ENO1,2575,2.89496,711,0.41866,1224,1.34727,312,-0.9471,6,-6.4710,87,-2.7696,495,-0.1601,47,-3.6471,158,-1.8936,105,-2.4871
ENSG00000171603,CLSTN1,830,1.75292,1087,2.30120,335,0.18029,150,-1.1471,39,-3.0347,160,-0.9609,163,-0.9416,106,-1.5861,171,-0.8670,99,-1.6833
ENSG00000054523,KIF1B,866,1.82838,328,0.14293,195,-0.6656,154,-1.1034,58,-2.4821,503,0.84532,291,-0.0502,277,-0.1269,186,-0.7374,287,-0.0691
ENSG00000120948,TARDBP,283,2.35222,59,-0.3914,41,-0.9447,28,-1.6038,53,-0.5629,53,-0.5567,100,0.45289,22,-1.8360,117,0.70786,49,-0.6858
ENSG00000116649,SRM,211,1.58506,226,1.72079,89,0.11550,50,-0.8461,43,-1.0154,78,-0.0911,28,-1.6279,26,-1.7484,49,-0.8169,60,-0.4860
ENSG00000116661,FBXO2,725,2.09326,340,0.70913,520,1.45095,193,-0.2310,1,-6.9850,3,-6.1536,226,0.04357,102,-1.1800,61,-1.9494,56,-2.0628
ENSG00000132879,FBXO44,3,-4.4263,318,2.67578,74,0.00285,72,-0.0462,153,1.21038,0,-8.0312,1,-5.5843,33,-1.2335,50,-0.6033,36,-1.1057
ENSG00000011021,CLCN6,3,-3.4602,196,3.14376,18,-1.1070,35,-0.1247,1,-4.4794,83,1.31789,5,-2.9896,7,-2.4811,12,-1.6801,18,-1.1245
ENSG00000116688,MFN2,3,-3.9970,96,0.91459,48,-0.2089,30,-0.9950,2,-4.5744,81,0.63436,63,0.21857,79,0.59202,65,0.27947,105,1.06708
ENSG00000116731,PRDM2,3,-3.6363,119,1.75307,15,-1.5553,24,-0.9184,72,0.86174,78,0.99661,28,-0.6705,27,-0.7242,41,-0.0640,37,-0.2373
ENSG00000116786,PLEKHM2,3,-3.9901,119,1.30412,54,-0.0232,67,0.37422,72,0.44196,22,-1.3731,63,0.22195,68,0.35708,13,-2.1644,51,-0.0891
ENSG00000065526,SPEN,3,-3.4907,63,0.79929,40,0.06843,29,-0.4754,1,-4.5096,22,-0.8426,13,-1.5946,19,-1.0793,138,2.25606,65,0.84809
ENSG00000055070,SZRD1,318,2.39314,27,-1.7292,62,-0.4547,33,-1.5043,1,-5.5980,96,0.22474,157,1.04102,17,-2.3838,110,0.43366,65,-0.3976
ENSG00000159363,ATP13A2,3,-4.0399,183,2.05072,30,-0.9654,70,0.38262,29,-1.0204,3,-4.2367,165,1.84072,12,-2.3258,22,-1.4172,35,-0.7524
ENSG00000117118,SDHB,159,1.62871,97,0.75016,71,0.23175,24,-1.5261,29,-1.1161,79,0.40333,150,1.51208,8,-2.8964,14,-2.2136,17,-1.9099
ENSG00000117115,PADI2,3,-5.1693,14,-3.1986,73,-0.8204,23,-2.6308,44,-1.5518,414,2.12704,409,2.09831,89,-0.5073,64,-1.0087,202,0.80050
ENSG00000077549,CAPZB,459,1.63438,397,1.36700,157,-0.1741,61,-1.7040,166,-0.0942,152,-0.2246,156,-0.1936,60,-1.6387,191,0.13522,73,-1.3475
ENSG00000173436,MICOS10,476,0.85228,243,-0.2364,226,-0.3494,97,-1.7369,129,-1.2082,296,0.07625,233,-0.3030,330,0.25001,389,0.51695,592,1.23244
ENSG00000158747,NBL1,3,-5.5790,394,1.47837,183,0.17270,109,-0.6853,561,2.16949,14,-3.6225,0,-8.1153,77,-1.1645,331,1.16481,23,-2.9536
