Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000188976,NOC2L,37,-0.3802,29,-0.7537,51,0.14126,128,1.78253,52,0.15008,23,-1.1118,40,-0.2627,43,-0.1485,21,-1.2692
ENSG00000188290,HES4,4,-4.5579,52,-0.8324,68,-0.4264,54,-0.7695,73,-0.3059,151,0.89020,362,2.71482,3,-4.7932,32,-1.5641
ENSG00000187608,ISG15,74,0.61131,35,-0.6068,66,0.42130,1,-5.0514,73,0.59909,31,-0.7759,129,1.63514,20,-1.4038,29,-0.8550
ENSG00000188157,AGRN,97,1.56091,18,-1.1812,27,-0.5738,30,-0.4236,42,0.09115,37,-0.0876,55,0.54988,46,0.23630,3,-3.6578
ENSG00000078808,SDF4,370,1.95692,54,-1.3181,106,-0.2620,150,0.29238,113,-0.1641,93,-0.4762,103,-0.3173,93,-0.4808,47,-1.5049
ENSG00000176022,B3GALT6,13,-1.2794,20,-0.6842,31,0.02343,45,0.62199,76,1.55765,15,-1.1060,31,0.02070,26,-0.2620,20,-0.6458
ENSG00000160087,UBE2J2,51,0.03017,32,-0.6839,118,1.49765,100,1.18176,38,-0.4511,33,-0.6726,24,-1.1343,32,-0.7003,23,-1.2176
ENSG00000131584,ACAP3,3,-5.3593,85,-0.4421,195,0.93021,261,1.47285,111,-0.0181,67,-0.8024,113,0.01584,70,-0.7445,105,-0.1012
ENSG00000127054,INTS11,3,-4.5354,39,-0.7786,132,1.25551,73,0.23707,113,0.97487,35,-0.9058,74,0.24713,74,0.26035,28,-1.2698
ENSG00000224051,CPTP,3,-3.7133,24,-0.7714,58,0.65188,55,0.57549,120,2.04953,23,-0.8384,33,-0.2384,24,-0.7523,10,-2.0194
ENSG00000107404,DVL1,3,-4.1943,49,-0.0421,71,0.57990,101,1.20078,32,-0.6942,24,-1.1598,76,0.68556,53,0.07858,43,-0.2411
ENSG00000175756,AURKAIP1,246,1.16863,66,-0.9978,126,0.02769,86,-0.5854,119,-0.0671,200,0.79852,69,-0.9267,113,-0.1517,94,-0.4507
ENSG00000221978,CCNL2,82,0.54099,39,-0.6650,84,0.59184,45,-0.4260,51,-0.2320,34,-0.8722,74,0.36551,100,0.88472,23,-1.4742
ENSG00000242485,MRPL20,88,-0.5173,56,-1.2211,119,-0.0457,164,0.49129,172,0.56981,140,0.22725,133,0.13883,142,0.24421,85,-0.5787
ENSG00000235098,ANKRD65,3,-3.2885,12,-1.2096,15,-0.8970,0,-7.8406,6,-2.2982,37,0.54349,44,0.84996,89,2.21786,34,0.40712
