Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000228794,LINC01128,14,-0.7877,24,0.08861,9,-1.3858,11,-1.1200,16,-0.5864,20,-0.2343,26,0.20415,46,1.12339,32,0.58722
ENSG00000188976,NOC2L,19,-1.1846,33,-0.4168,34,-0.2994,20,-1.0959,37,-0.1923,96,1.39201,66,0.72763,47,0.19443,37,-0.1987
ENSG00000188290,HES4,156,1.21756,76,0.02988,72,-0.0633,52,-0.5594,49,-0.6421,66,-0.1888,68,-0.1533,73,-0.0514,68,-0.1783
ENSG00000187608,ISG15,195,1.13768,97,-0.0237,97,-0.0205,56,-0.8617,58,-0.8187,82,-0.2850,125,0.38909,105,0.10899,84,-0.2686
ENSG00000188157,AGRN,35,0.33500,24,-0.3003,17,-0.8066,15,-0.9933,29,0.03870,31,0.11247,36,0.37878,17,-0.8100,43,0.76037
ENSG00000078808,SDF4,89,0.34076,44,-0.8126,42,-0.8210,72,-0.0084,84,0.24573,76,0.08619,82,0.20208,100,0.51576,80,0.17941
ENSG00000176022,B3GALT6,17,-1.1871,37,-0.0007,21,-0.8454,17,-1.2113,41,0.15712,53,0.55010,53,0.56335,37,-0.0134,48,0.46825
ENSG00000160087,UBE2J2,34,-0.3576,34,-0.3881,32,-0.4467,37,-0.2464,47,0.11254,57,0.45072,51,0.25353,35,-0.3383,57,0.49698
ENSG00000131584,ACAP3,12,-2.5290,65,-0.0337,60,-0.1664,53,-0.3697,81,0.31006,80,0.29806,87,0.42644,66,-0.0119,82,0.36466
ENSG00000169972,PUSL1,16,0.28727,15,0.25427,9,-0.5348,10,-0.4285,13,0.04688,6,-1.0516,20,0.70910,14,0.08884,12,-0.1002
ENSG00000127054,INTS11,56,0.29563,28,-0.8704,28,-0.7690,37,-0.3608,32,-0.5674,65,0.51960,64,0.49540,51,0.13912,63,0.53274
ENSG00000224051,CPTP,19,-0.8352,35,0.12073,23,-0.5107,21,-0.6881,25,-0.3798,50,0.71590,46,0.58299,40,0.34126,31,-0.0858
ENSG00000107404,DVL1,63,-0.0961,73,0.15332,82,0.32723,89,0.45365,57,-0.2610,66,-0.0256,37,-0.9111,59,-0.2110,69,0.05798
ENSG00000175756,AURKAIP1,209,0.29689,186,0.12928,209,0.30016,133,-0.4071,144,-0.2914,121,-0.5562,178,0.04117,242,0.54203,148,-0.2690
ENSG00000221978,CCNL2,41,0.06610,33,-0.2863,42,0.09510,27,-0.5658,41,0.06120,39,-0.0166,60,0.66634,42,0.09438,38,-0.0826
ENSG00000242485,MRPL20,218,0.46215,159,-0.0470,157,-0.0609,148,-0.1513,226,0.52256,131,-0.3427,161,-0.0185,171,0.07530,133,-0.3558
ENSG00000235098,ANKRD65,3,-1.7303,12,0.15981,11,0.00625,21,0.99940,21,0.96821,8,-0.4385,11,-0.0379,10,-0.2007,7,-0.8050
ENSG00000179403,VWA1,40,0.50655,11,-1.5668,44,0.66655,61,1.20436,84,1.80124,12,-1.3339,11,-1.5123,23,-0.3489,12,-1.3873
ENSG00000197785,ATAD3A,8,-1.2398,11,-0.7788,12,-0.5813,15,-0.2353,25,0.52545,27,0.65819,25,0.55884,17,-0.0305,22,0.37797
ENSG00000205090,TMEM240,20,-1.0105,35,-0.1968,14,-1.5214,16,-1.3863,40,0.05218,57,0.61543,37,-0.0829,40,0.03637,68,1.04073
ENSG00000160075,SSU72,127,-0.3865,177,0.15469,160,-0.0235,110,-0.6007,110,-0.6083,145,-0.1828,188,0.23334,168,0.05715,212,0.48507
ENSG00000228594,FNDC10,24,-0.5862,41,0.24025,27,-0.4132,18,-1.0595,47,0.44447,55,0.68849,29,-0.3228,54,0.67572,28,-0.4054
ENSG00000272106,AL691432.2,23,-0.2737,30,0.15224,29,0.08002,15,-0.9075,22,-0.3624,37,0.46616,24,-0.2505,20,-0.4983,37,0.52393
ENSG00000197530,MIB2,34,0.05184,35,0.07949,24,-0.4929,30,-0.1529,35,0.08298,48,0.60785,28,-0.2795,36,0.14090,30,-0.1839
ENSG00000189339,SLC35E2B,14,-0.2448,17,0.06440,6,-1.5210,15,-0.1270,22,0.42031,13,-0.3953,14,-0.2541,26,0.70873,19,0.25442
ENSG00000215790,SLC35E2A,18,-0.1833,22,0.14784,8,-1.3248,10,-1.0038,15,-0.4785,12,-0.7784,29,0.57703,18,-0.1803,34,0.96574
ENSG00000008130,NADK,64,1.30283,26,-0.2001,25,-0.2071,23,-0.3439,20,-0.5401,31,0.10413,24,-0.2766,27,-0.1241,26,-0.1633
ENSG00000078369,GNB1,327,-0.3679,387,-0.1159,347,-0.2741,332,-0.3437,354,-0.2421,398,-0.0596,471,0.21055,440,0.10127,551,0.52594
ENSG00000187730,GABRD,115,-0.4403,126,-0.3264,87,-0.8706,42,-1.9338,33,-2.3069,91,-0.7926,176,0.23440,252,0.82637,313,1.42185
ENSG00000067606,PRKCZ,97,-1.1545,243,0.30426,195,-0.0812,151,-0.4759,200,-0.0434,300,0.61463,214,0.06566,189,-0.1308,213,0.06476
ENSG00000162585,FAAP20,78,0.40209,60,-0.0009,54,-0.1748,85,0.54688,73,0.29911,64,0.09347,18,-1.8053,104,0.88375,34,-0.9501
ENSG00000157933,SKI,50,0.66246,25,-0.4566,34,0.04634,41,0.31622,39,0.23429,26,-0.4104,27,-0.3127,24,-0.5180,38,0.21149
ENSG00000157916,RER1,73,0.16152,37,-0.9352,53,-0.3396,56,-0.2562,63,-0.0713,82,0.35118,99,0.65119,103,0.72483,61,-0.1464
ENSG00000157911,PEX10,32,0.17042,27,-0.1033,21,-0.4612,41,0.56887,27,-0.0816,24,-0.2958,32,0.15270,27,-0.1264,29,0.02985
ENSG00000149527,PLCH2,10,-1.0070,26,0.45321,28,0.54777,17,-0.2541,5,-1.8920,11,-0.8261,33,0.81859,26,0.41841,18,-0.1486
ENSG00000157870,PRXL2B,49,-0.4726,74,0.17778,33,-1.0562,33,-1.0771,39,-0.8186,130,1.09761,104,0.72254,48,-0.5010,75,0.19866
ENSG00000177133,PRDM16-DT,14,-0.5060,24,0.44718,50,1.62957,34,0.92865,18,-0.0567,15,-0.3526,7,-1.5452,7,-1.4867,8,-1.4020
ENSG00000158109,TPRG1L,137,-0.4210,185,0.05011,105,-0.8235,90,-1.0680,162,-0.1620,237,0.44844,267,0.64685,189,0.08670,208,0.26680
ENSG00000130764,LRRC47,41,-0.6529,58,-0.1358,45,-0.5239,44,-0.5462,56,-0.1855,79,0.36521,98,0.71916,90,0.58251,61,-0.0538
ENSG00000116198,CEP104,34,0.90269,12,-0.7710,24,0.29316,17,-0.2088,30,0.69369,36,0.98923,7,-1.4643,15,-0.3564,13,-0.6215
