Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to9,Feature log2 fold change topic 7to9
ENSG00000188976,NOC2L,79,0.59509,44,-0.3501,67,0.44091,20,-1.5226,50,-0.1823
ENSG00000188290,HES4,389,2.49126,62,-0.8280,68,-0.8516,66,-0.7189,73,-0.7113
ENSG00000187608,ISG15,197,1.50697,79,-0.0754,74,-0.2391,62,-0.4681,63,-0.5744
ENSG00000078808,SDF4,175,1.26224,156,1.05033,80,-0.1096,34,-1.3811,51,-0.9889
ENSG00000160087,UBE2J2,60,0.34143,2,-4.6912,66,0.70980,39,-0.3537,46,-0.0909
ENSG00000131584,ACAP3,56,-0.9321,66,-0.6568,116,0.30930,36,-1.6032,134,0.66960
ENSG00000127054,INTS11,67,0.30998,66,0.28396,61,0.20106,33,-0.8034,50,-0.2092
ENSG00000224051,CPTP,99,1.49130,34,-0.3400,40,-0.1289,27,-0.7018,33,-0.4721
ENSG00000107404,DVL1,26,-1.7387,69,-0.2329,98,0.46726,103,0.42097,76,-0.1162
ENSG00000175756,AURKAIP1,46,-1.4935,71,-0.8490,130,0.14851,171,0.56695,139,0.29232
ENSG00000221978,CCNL2,225,1.98302,41,-0.9398,80,0.11711,41,-0.9519,44,-1.0382
ENSG00000242485,MRPL20,126,-0.5113,139,-0.3642,174,-0.0071,152,-0.2213,210,0.42580
ENSG00000205090,TMEM240,8,-3.1265,17,-1.9906,80,0.51391,41,-0.6761,89,0.80513
ENSG00000160075,SSU72,195,0.35561,91,-0.8555,187,0.38619,122,-0.4037,149,-0.1143
ENSG00000228594,FNDC10,19,-1.1747,58,0.58732,33,-0.4128,29,-0.5154,53,0.62851
ENSG00000197530,MIB2,55,0.78303,0,-5.9295,41,0.38602,29,-0.2631,34,-0.0124
ENSG00000189339,SLC35E2B,0,-5.3289,2,-3.7594,36,0.30784,40,0.38196,44,0.79986
ENSG00000078369,GNB1,289,-0.6216,239,-0.9171,485,0.27695,380,-0.1910,497,0.33535
ENSG00000187730,GABRD,44,-2.0856,93,-0.9647,282,1.27087,89,-1.0225,158,-0.1784
ENSG00000067606,PRKCZ,23,-3.1522,56,-1.8663,221,0.37538,177,-0.0937,256,0.73795
ENSG00000162585,FAAP20,87,0.86695,81,0.73880,34,-0.8272,32,-0.7648,55,0.12828
ENSG00000157933,SKI,100,0.87700,42,-0.5231,57,-0.0682,53,-0.1617,55,-0.1553
ENSG00000157916,RER1,83,0.60006,24,-1.3810,75,0.60265,56,-0.0648,44,-0.5346
ENSG00000157870,PRXL2B,84,0.25064,64,-0.1831,85,0.36565,60,-0.2891,62,-0.3146
ENSG00000158109,TPRG1L,177,-0.2100,95,-1.1766,274,0.72346,99,-1.1111,208,0.06328
ENSG00000130764,LRRC47,60,-0.1263,32,-1.0880,86,0.63501,61,-0.1093,59,-0.2170
ENSG00000196581,AJAP1,0,-5.9887,44,-0.2055,68,0.71367,33,-0.6282,56,0.26225
ENSG00000069424,KCNAB2,53,-2.4061,96,-1.5151,331,0.59375,251,-0.0346,305,0.39237
ENSG00000116254,CHD5,23,-3.2257,81,-1.4120,293,0.91940,94,-1.1768,243,0.43617
ENSG00000116251,RPL22,1452,1.68335,733,0.43565,325,-1.0680,642,0.21394,422,-0.5869
ENSG00000116237,ICMT,106,1.29823,9,-2.4798,64,0.58752,31,-0.7419,36,-0.6283
ENSG00000097021,ACOT7,82,-1.7184,83,-1.7053,398,1.17589,159,-0.7113,244,-0.0536
ENSG00000162408,NOL9,43,-0.0690,18,-1.4074,61,0.70077,46,0.01600,39,-0.3059
ENSG00000007923,DNAJC11,51,0.35282,42,0.02656,41,0.02003,22,-0.9864,44,0.12987
ENSG00000171735,CAMTA1,228,0.14743,188,-0.1663,219,0.11737,149,-0.5303,216,0.08695
ENSG00000116288,PARK7,163,-0.7995,164,-0.7847,299,0.22648,282,0.07035,308,0.29525
ENSG00000142599,RERE,163,0.72175,70,-0.6637,101,-0.1103,83,-0.3816,112,0.11861
ENSG00000074800,ENO1,352,-0.6513,515,-0.0494,622,0.36011,502,-0.0884,513,-0.0714
ENSG00000171603,CLSTN1,242,-1.2930,207,-1.5349,919,1.29666,494,-0.1889,434,-0.5085
ENSG00000178585,CTNNBIP1,55,0.38093,33,-0.4334,40,-0.1943,37,-0.2868,50,0.28306
ENSG00000162441,LZIC,56,0.32291,77,0.86925,42,-0.1818,42,-0.1352,37,-0.4292
ENSG00000130939,UBE4B,39,-0.2208,25,-0.9209,57,0.55054,37,-0.3198,44,-0.0384
ENSG00000054523,KIF1B,286,-0.3680,210,-0.8493,453,0.52711,293,-0.3306,365,0.02780
ENSG00000142657,PGD,37,-0.2293,20,-1.1353,65,1.01411,38,-0.1834,32,-0.5988
ENSG00000241563,CORT,0,-7.2140,18,-2.8118,304,3.65916,32,-1.9835,30,-2.3787
ENSG00000120948,TARDBP,66,-0.1672,93,0.38233,87,0.37832,45,-0.7761,66,-0.2375
ENSG00000116649,SRM,60,-0.6805,50,-0.9697,128,0.77724,67,-0.5188,90,-0.0482
ENSG00000198793,MTOR,25,-0.6409,25,-0.5930,31,-0.3315,26,-0.5658,54,0.92520
ENSG00000116661,FBXO2,89,-1.3685,243,0.20778,193,-0.2152,464,1.34269,183,-0.3205
ENSG00000132879,FBXO44,66,-1.2486,82,-0.9051,222,1.03441,70,-1.1587,144,-0.0316
ENSG00000011021,CLCN6,11,-2.3128,1,-5.7317,91,1.41328,62,0.23611,44,-0.4083
ENSG00000116688,MFN2,51,-1.2697,78,-0.6119,182,1.16910,85,-0.4647,90,-0.4881
ENSG00000048707,VPS13D,46,-0.4929,50,-0.3648,82,0.62644,58,-0.1130,55,-0.2867
ENSG00000162496,DHRS3,165,2.14404,53,0.06657,27,-1.2169,57,0.17166,35,-0.7600
ENSG00000116731,PRDM2,106,0.28156,118,0.46401,94,0.12333,53,-0.8140,81,-0.2082
ENSG00000189337,KAZN,81,0.96420,35,-0.4276,45,-0.0448,20,-1.2629,47,0.06199
