Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to12,Feature log2 fold change topic 6to12
ENSG00000228794,LINC01128,27,0.66058,7,-1.4568,24,0.52316,18,-0.0008
ENSG00000188976,NOC2L,27,-0.5226,26,-0.6199,55,0.65818,38,0.01247
ENSG00000188290,HES4,27,-1.4044,34,-1.1051,74,0.14166,82,0.74372
ENSG00000187608,ISG15,27,-1.4745,38,-1.0208,95,0.49949,81,0.45982
ENSG00000188157,AGRN,27,-0.2268,35,0.20468,35,0.20729,29,-0.1783
ENSG00000131591,C1orf159,27,1.21315,10,-0.3903,13,0.11408,11,-0.3953
ENSG00000078808,SDF4,27,-1.4014,87,0.42433,71,0.04781,69,0.00283
ENSG00000176022,B3GALT6,27,0.09292,15,-0.8892,35,0.55536,25,0.02182
ENSG00000160087,UBE2J2,27,-0.3972,29,-0.3305,53,0.75791,32,-0.2222
ENSG00000162572,SCNN1D,27,1.13072,12,-0.1904,11,-0.3509,12,-0.2000
ENSG00000131584,ACAP3,324,2.36622,53,-0.7579,83,-0.0187,59,-1.0091
ENSG00000127054,INTS11,27,-0.8855,61,0.43083,61,0.41121,44,-0.3082
ENSG00000224051,CPTP,27,0.13892,21,-0.2237,35,0.61823,22,-0.3242
ENSG00000107404,DVL1,27,-1.0873,49,-0.2025,43,-0.4299,64,0.61287
ENSG00000175756,AURKAIP1,27,-2.6831,190,0.27499,176,0.13367,170,0.16756
ENSG00000221978,CCNL2,27,-0.8491,52,0.17249,56,0.30835,46,-0.0816
ENSG00000224870,MRPL20-AS1,27,1.40893,14,0.35270,10,-0.1684,9,-0.7689
ENSG00000242485,MRPL20,27,-2.8085,187,0.09782,195,0.16980,191,0.26529
ENSG00000235098,ANKRD65,355,3.57425,45,-0.3762,23,-1.4496,27,-1.8596
ENSG00000179403,VWA1,52,-0.6882,247,2.36855,26,-1.8156,53,-1.1626
ENSG00000197785,ATAD3A,27,0.83409,11,-0.5256,24,0.77144,13,-0.5775
ENSG00000205090,TMEM240,27,0.00485,12,-1.2338,36,0.53650,28,0.17919
ENSG00000160075,SSU72,27,-2.3246,92,-0.5477,172,0.53552,139,0.32639
ENSG00000228594,FNDC10,27,0.14980,6,-2.1634,23,-0.0603,30,0.76944
ENSG00000272106,AL691432.2,27,0.39607,21,-0.0138,24,0.26368,19,-0.2877
ENSG00000197530,MIB2,27,-0.4020,26,-0.5070,34,-0.0476,39,0.40851
ENSG00000189339,SLC35E2B,27,-0.1021,23,-0.3532,29,0.03216,30,0.20101
ENSG00000215790,SLC35E2A,27,0.24151,16,-0.5663,25,0.15291,24,0.11187
ENSG00000008130,NADK,27,0.14471,28,0.23312,28,0.25944,22,-0.3399
ENSG00000078369,GNB1,28,-3.7388,248,-0.5569,462,0.52112,385,0.41115
ENSG00000187730,GABRD,27,-1.4710,3,-4.4175,137,1.23421,78,0.33848
ENSG00000067606,PRKCZ,27,-2.5349,70,-1.2047,223,0.75396,164,0.42351
ENSG00000162585,FAAP20,27,-1.1214,70,0.37567,44,-0.3995,60,0.23437
ENSG00000157933,SKI,56,0.98467,34,0.17854,17,-0.9880,30,-0.0707
ENSG00000157916,RER1,27,-1.3639,85,0.44280,82,0.36827,62,-0.2136
ENSG00000157911,PEX10,27,-0.1963,47,0.80001,29,-0.1115,27,-0.4161
ENSG00000149527,PLCH2,27,0.63386,21,0.23360,16,-0.2128,17,-0.2609
ENSG00000157881,PANK4,27,0.76528,8,-1.1564,31,1.14952,13,-0.6211
ENSG00000157870,PRXL2B,27,-0.5637,20,-1.0657,57,0.68219,41,0.17143
ENSG00000177133,PRDM16-DT,27,0.58335,11,-0.8665,4,-2.2945,24,1.03935
ENSG00000158109,TPRG1L,27,-2.3676,50,-1.5577,222,0.97576,143,0.32451
ENSG00000116213,WRAP73,27,1.09404,16,0.31423,12,-0.2330,11,-0.5263
ENSG00000130764,LRRC47,27,-1.3292,52,-0.3723,103,0.84622,63,-0.0977
