Feature ID,Feature Name,Feature count topic 1to4,Feature log2 fold change topic 1to4,Feature count topic 5to8,Feature log2 fold change topic 5to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,47,0.63393,37,0.01959,17,-1.1453,15,-1.3991
ENSG00000188976,NOC2L,72,0.51758,54,-0.2117,46,-0.3959,40,-0.5962
ENSG00000188290,HES4,130,0.10758,99,-0.5090,102,-0.3216,226,0.99516
ENSG00000187608,ISG15,124,0.41353,84,-0.4890,73,-0.5764,145,0.53041
ENSG00000188157,AGRN,80,0.28666,61,-0.3650,53,-0.4527,96,0.49438
ENSG00000078808,SDF4,104,0.17233,84,-0.3378,104,0.11383,115,0.27288
ENSG00000176022,B3GALT6,36,0.07348,37,0.12313,34,-0.0421,24,-0.5693
ENSG00000160087,UBE2J2,51,-0.2192,66,0.44497,48,-0.2281,41,-0.4867
ENSG00000131584,ACAP3,134,0.19189,116,-0.1606,109,-0.2009,131,0.09297
ENSG00000127054,INTS11,67,-0.1070,78,0.26077,52,-0.4658,70,-0.0135
ENSG00000224051,CPTP,35,0.09545,38,0.31858,26,-0.3999,17,-1.0072
ENSG00000107404,DVL1,74,-0.1696,76,-0.1263,89,0.17090,110,0.52101
ENSG00000175756,AURKAIP1,173,-0.1794,191,0.05373,206,0.15627,207,0.15790
ENSG00000221978,CCNL2,82,0.43578,61,-0.2822,33,-1.1079,84,0.33215
ENSG00000242485,MRPL20,193,-0.0056,204,0.13687,178,-0.1292,166,-0.2443
ENSG00000179403,VWA1,12,-2.7328,34,-1.0664,71,0.38196,305,3.40652
ENSG00000197785,ATAD3A,26,0.49675,17,-0.5294,26,0.33252,16,-0.4217
ENSG00000205090,TMEM240,59,0.69251,40,-0.3118,31,-0.6090,29,-0.6989
ENSG00000160075,SSU72,197,0.22398,183,0.03052,181,0.01088,102,-0.8928
ENSG00000228594,FNDC10,50,-0.2866,72,0.67383,52,-0.1277,22,-1.4566
ENSG00000272106,AL691432.2,14,-0.9301,26,0.47800,23,0.10675,33,0.69535
ENSG00000197530,MIB2,43,-0.3231,62,0.61160,31,-0.7020,41,-0.2802
ENSG00000189339,SLC35E2B,13,-0.8398,26,0.73761,22,0.18376,17,-0.1657
ENSG00000215790,SLC35E2A,28,0.14944,28,0.12931,31,0.25877,9,-1.5784
ENSG00000008130,NADK,36,-0.0615,40,0.23126,21,-0.8476,41,0.19766
ENSG00000078369,GNB1,592,0.22489,555,0.06623,493,-0.1468,323,-0.8047
ENSG00000187730,GABRD,135,0.00981,178,0.74123,46,-1.6312,49,-1.5447
ENSG00000067606,PRKCZ,242,-0.0512,286,0.37290,216,-0.2145,142,-0.8572
ENSG00000162585,FAAP20,62,-0.4354,73,-0.0748,88,0.24536,125,0.83905
ENSG00000157933,SKI,23,-0.5108,35,0.52336,31,0.11181,24,-0.2633
ENSG00000157916,RER1,98,0.45488,71,-0.3251,67,-0.3156,77,-0.1117
ENSG00000157911,PEX10,29,-0.3393,37,0.20043,45,0.44312,30,-0.1695
ENSG00000149527,PLCH2,42,0.89315,19,-0.9720,35,0.26465,23,-0.4467
ENSG00000197921,HES5,9,-1.2666,18,0.23567,40,1.54471,16,-0.0248
ENSG00000157870,PRXL2B,57,-0.0801,73,0.53048,39,-0.6611,34,-0.8770
ENSG00000158109,TPRG1L,253,0.28081,241,0.16137,163,-0.5077,119,-0.9919
ENSG00000116213,WRAP73,14,-0.1514,15,0.01898,18,0.23694,16,0.09317
ENSG00000130764,LRRC47,102,0.36672,84,-0.1163,60,-0.5938,78,-0.1969
ENSG00000196581,AJAP1,37,0.38437,32,0.04212,18,-0.8716,22,-0.5523
ENSG00000069424,KCNAB2,272,0.09595,307,0.41553,183,-0.5566,112,-1.3052
ENSG00000116254,CHD5,134,-0.1081,172,0.53772,101,-0.5141,75,-0.9653
