Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,17,-0.0785,14,-0.4153,17,-0.0531,22,0.33360,26,0.70709,15,-0.2210,19,0.05842,12,-0.6017,10,-0.8115
ENSG00000188976,NOC2L,13,-1.5164,27,-0.3999,17,-1.0529,61,0.93214,47,0.58562,32,-0.1321,28,-0.3440,24,-0.5855,50,0.60877
ENSG00000188290,HES4,246,1.91310,64,-0.4151,65,-0.3923,67,-0.3277,71,-0.2743,44,-0.9893,78,-0.0944,79,-0.0774,45,-0.9366
ENSG00000187608,ISG15,188,1.08828,67,-0.6007,77,-0.3874,67,-0.5917,83,-0.3046,79,-0.3360,92,-0.1066,117,0.27450,130,0.45806
ENSG00000188157,AGRN,17,0.11859,10,-0.6796,11,-0.5368,15,-0.1102,20,0.42266,17,0.10246,20,0.35141,9,-0.8436,20,0.33579
ENSG00000078808,SDF4,78,0.39944,43,-0.5463,49,-0.3559,71,0.23731,68,0.18500,73,0.28451,58,-0.0750,50,-0.3165,54,-0.2045
ENSG00000176022,B3GALT6,51,0.63540,23,-0.6629,18,-1.0392,35,0.03705,41,0.31817,27,-0.3887,51,0.64108,20,-0.8230,39,0.16789
ENSG00000160087,UBE2J2,30,-0.3929,26,-0.6329,21,-0.9107,46,0.29247,46,0.31683,42,0.11148,45,0.24267,33,-0.2364,51,0.45946
ENSG00000131584,ACAP3,64,0.18342,36,-0.7072,50,-0.2073,63,0.16096,79,0.60632,73,0.39760,33,-0.8552,43,-0.4389,51,-0.1859
ENSG00000127054,INTS11,36,-0.3448,14,-1.7706,26,-0.8196,40,-0.1872,58,0.49027,54,0.30519,67,0.66049,46,0.05325,48,0.10125
ENSG00000224051,CPTP,34,0.21498,16,-0.9492,19,-0.7116,30,-0.0038,45,0.77625,18,-0.7650,29,-0.0677,36,0.28650,27,-0.1384
ENSG00000107404,DVL1,48,-0.0679,45,-0.1874,57,0.19141,36,-0.5147,46,-0.1556,62,0.31901,45,-0.1705,73,0.60878,46,-0.1550
ENSG00000175756,AURKAIP1,139,-0.4124,138,-0.4275,206,0.21409,123,-0.6039,177,-0.0313,203,0.18898,207,0.21813,198,0.14375,238,0.44752
ENSG00000221978,CCNL2,57,0.55176,23,-0.8633,23,-0.8859,44,0.12185,54,0.54014,25,-0.7451,44,0.11657,38,-0.1197,44,0.13492
ENSG00000242485,MRPL20,171,-0.2874,205,0.00111,219,0.11090,189,-0.1241,212,0.06246,196,-0.0672,218,0.10080,261,0.39522,163,-0.3541
ENSG00000235098,ANKRD65,19,-0.1963,18,-0.2934,18,-0.3215,19,-0.1705,17,-0.4162,31,0.59734,23,0.09033,22,0.00122,33,0.66079
ENSG00000179403,VWA1,52,1.27453,44,0.95875,24,-0.0253,37,0.67642,15,-0.8187,6,-2.0827,34,0.52083,5,-2.2838,12,-1.0239
