Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000188976,NOC2L,90,0.40964,100,0.60227,112,0.80004,44,-0.7253,57,-0.3471,61,-0.2327,36,-1.0636,62,-0.2056
ENSG00000188290,HES4,94,-0.1676,57,-0.9577,106,0.01992,207,1.20348,128,0.33819,59,-0.9059,90,-0.2375,94,-0.1695
ENSG00000187608,ISG15,125,0.41115,85,-0.2342,69,-0.5490,165,0.89926,74,-0.4473,103,0.08467,75,-0.4168,86,-0.2138
ENSG00000188157,AGRN,45,-0.0409,27,-0.8352,69,0.66702,64,0.53471,49,0.09787,35,-0.4665,51,0.16750,31,-0.6581
ENSG00000078808,SDF4,121,0.30920,119,0.26984,90,-0.1788,83,-0.3146,146,0.63135,83,-0.3096,103,0.03602,61,-0.8110
ENSG00000176022,B3GALT6,40,-0.0379,48,0.27947,49,0.32179,30,-0.4595,36,-0.2129,52,0.40000,52,0.42407,18,-1.2874
ENSG00000160087,UBE2J2,97,0.86176,98,0.86978,80,0.51860,32,-0.9670,64,0.13578,41,-0.5782,30,-1.0389,28,-1.1394
ENSG00000131584,ACAP3,230,0.60472,173,0.12284,179,0.17570,118,-0.4941,119,-0.4825,151,-0.1001,200,0.35870,117,-0.5181
ENSG00000127054,INTS11,91,0.32042,65,-0.2477,110,0.63861,92,0.33945,63,-0.2921,78,0.06322,77,0.03196,26,-1.6201
ENSG00000224051,CPTP,71,0.38902,70,0.37170,56,-0.0134,48,-0.2627,58,0.05625,77,0.52388,28,-1.1173,42,-0.4529
ENSG00000107404,DVL1,75,-0.5850,89,-0.3191,95,-0.2055,97,-0.1725,97,-0.1739,178,0.85545,111,0.04277,123,0.20664
