Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000228794,LINC01128,17,-0.8235,27,-0.1090,30,0.05351,34,0.39879,27,-0.0827
ENSG00000188976,NOC2L,44,-0.6733,42,-0.8188,89,0.47737,80,0.39636,73,0.16643
ENSG00000188290,HES4,201,1.40180,93,0.07318,62,-0.5803,78,-0.2973,62,-0.6476
ENSG00000187608,ISG15,123,0.66781,65,-0.4140,43,-1.0091,85,0.08269,94,0.24605
ENSG00000188157,AGRN,64,0.61677,28,-0.7907,34,-0.3874,51,0.33930,44,0.00412
ENSG00000131591,C1orf159,7,-0.9929,13,-0.0083,16,0.33507,16,0.50495,10,-0.4963
ENSG00000078808,SDF4,88,-0.0550,95,0.06422,98,0.10989,93,0.04056,84,-0.1557
ENSG00000176022,B3GALT6,44,-0.1458,36,-0.4856,61,0.39264,49,0.05561,53,0.19220
ENSG00000160087,UBE2J2,45,-0.5266,55,-0.2279,72,0.22681,75,0.39108,57,-0.1889
ENSG00000162572,SCNN1D,4,-1.6242,13,0.07272,16,0.34137,13,0.00699,15,0.28967
ENSG00000131584,ACAP3,127,-0.0557,94,-0.5940,166,0.38627,153,0.34474,121,-0.1507
ENSG00000169972,PUSL1,16,0.33774,9,-0.5793,9,-0.5717,15,0.36029,14,0.10094
ENSG00000127054,INTS11,51,-0.3547,48,-0.4961,52,-0.3333,93,0.88548,50,-0.4589
ENSG00000224051,CPTP,40,-0.1337,40,-0.1621,22,-1.0367,53,0.42703,46,0.10372
ENSG00000107404,DVL1,104,0.34120,95,0.21672,95,0.19249,75,-0.2466,73,-0.2606
ENSG00000175756,AURKAIP1,175,0.11454,189,0.27157,150,-0.1343,142,-0.2900,170,0.07931
ENSG00000221978,CCNL2,80,0.49975,53,-0.2194,50,-0.2568,65,0.19247,52,-0.2432
ENSG00000224870,MRPL20-AS1,12,-0.2174,11,-0.4133,12,-0.1839,19,0.69888,11,-0.3886
ENSG00000242485,MRPL20,138,-0.0883,150,0.05335,165,0.19622,134,-0.1765,154,0.09756
ENSG00000235098,ANKRD65,9,-1.0338,20,0.33475,24,0.56129,16,-0.0596,15,-0.2140
ENSG00000179403,VWA1,117,1.59571,75,0.92187,47,-0.0104,19,-1.6813,27,-0.9438
ENSG00000160072,ATAD3B,1,-3.4862,16,0.50109,5,-1.3227,18,0.82330,10,-0.3413
ENSG00000197785,ATAD3A,10,-1.1340,15,-0.5893,32,0.75469,22,0.18028,23,0.22774
ENSG00000205090,TMEM240,45,-0.7469,53,-0.5629,90,0.36007,88,0.45198,73,0.01645
ENSG00000160075,SSU72,160,-0.0749,160,-0.0855,177,0.09065,156,-0.1556,192,0.25676
ENSG00000228594,FNDC10,35,-0.5244,40,-0.3720,58,0.26788,44,-0.1983,67,0.61825
ENSG00000272106,AL691432.2,26,-0.5204,36,-0.0547,50,0.50354,38,0.08274,34,-0.1270
ENSG00000197530,MIB2,60,0.59307,35,-0.3140,37,-0.1896,51,0.43935,28,-0.6764
ENSG00000189339,SLC35E2B,29,-0.7870,46,-0.0666,46,-0.0289,54,0.29228,49,0.05761
ENSG00000215790,SLC35E2A,18,-0.6372,28,-0.0126,30,0.11654,31,0.24589,27,-0.0752
ENSG00000008130,NADK,35,-0.1359,37,-0.0327,29,-0.4011,37,-0.0180,45,0.31710
ENSG00000078369,GNB1,394,-0.2460,419,-0.1689,546,0.28270,485,0.11776,451,-0.0329
ENSG00000187730,GABRD,66,-1.5714,124,-0.6936,76,-1.3733,295,1.20596,188,0.04650
ENSG00000067606,PRKCZ,114,-1.0233,197,-0.1974,291,0.47055,262,0.40516,194,-0.2234
ENSG00000162585,FAAP20,90,0.70996,70,0.31690,61,0.04242,35,-1.0301,68,0.27601
ENSG00000157933,SKI,58,0.32341,54,0.23615,74,0.72934,41,-0.3173,33,-0.6401
ENSG00000157916,RER1,65,-0.3395,80,-0.0048,73,-0.1534,96,0.39790,69,-0.2820
ENSG00000157911,PEX10,28,-0.5874,45,0.17501,25,-0.7831,42,0.03217,51,0.39631
ENSG00000149527,PLCH2,17,-1.2275,33,-0.2208,23,-0.7094,44,0.41193,47,0.45862
ENSG00000157881,PANK4,13,-0.4259,17,-0.0464,14,-0.3224,23,0.62765,13,-0.4653
ENSG00000197921,HES5,26,-1.1120,91,1.04295,55,0.02344,21,-1.6971,80,0.77554
ENSG00000272449,AL139246.5,4,-1.8620,15,0.20363,7,-1.0068,9,-0.8823,28,1.50182
ENSG00000157873,TNFRSF14,35,1.44013,14,-0.1426,6,-1.2989,17,0.29973,7,-1.1826
ENSG00000157870,PRXL2B,74,-0.4746,79,-0.4080,132,0.47471,114,0.31143,94,-0.1093
ENSG00000177133,PRDM16-DT,9,-1.3984,46,1.55868,19,-0.2561,10,-1.4901,25,0.23673
ENSG00000158109,TPRG1L,117,-0.7308,157,-0.2934,238,0.41120,215,0.33769,176,-0.0940
ENSG00000116213,WRAP73,18,0.51656,14,0.17191,18,0.55658,13,0.06410,6,-1.2653
ENSG00000130764,LRRC47,62,-0.3308,71,-0.1186,94,0.35132,79,0.08969,74,-0.0487
ENSG00000116198,CEP104,32,0.68870,15,-0.6234,16,-0.4885,22,0.09464,24,0.19131
ENSG00000198912,C1orf174,2,-2.4100,14,0.23158,13,0.04594,21,1.17788,4,-1.7016
ENSG00000196581,AJAP1,27,-0.9120,37,-0.4514,27,-0.9087,69,0.88209,48,0.00545
ENSG00000069424,KCNAB2,203,-0.6105,293,-0.0373,278,-0.1146,338,0.27523,304,0.03187
ENSG00000116254,CHD5,105,-1.2049,204,-0.2013,285,0.36633,236,0.07798,272,0.33784
ENSG00000116251,RPL22,662,0.64696,581,0.49778,366,-0.3291,343,-0.5476,411,-0.1615
ENSG00000116237,ICMT,54,-0.1243,45,-0.4433,21,-1.5283,81,0.78788,57,-0.0301
ENSG00000158292,GPR153,23,-0.0533,33,0.63182,5,-2.2491,23,-0.0472,25,0.09570
ENSG00000097021,ACOT7,84,-1.4483,152,-0.5996,214,0.00101,315,0.95015,187,-0.2379
ENSG00000215788,TNFRSF25,15,-0.7658,17,-0.6174,25,0.04238,31,0.54390,26,0.13539
ENSG00000171680,PLEKHG5,23,-1.5361,47,-0.5050,40,-0.7034,81,0.58305,83,0.52645
ENSG00000162408,NOL9,34,-0.5949,43,-0.2559,53,0.10091,54,0.18497,56,0.22149
