Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to13,Feature log2 fold change topic 7to13
ENSG00000228794,LINC01128,2,-3.1271,7,-1.3481,4,-2.1317,18,0.03658,15,-0.2305,24,1.19269
ENSG00000188976,NOC2L,27,-0.5752,36,-0.1775,28,-0.5545,15,-1.4630,33,-0.3181,50,0.78687
ENSG00000188290,HES4,157,1.13309,12,-2.7628,96,0.33061,45,-0.8354,61,-0.4176,83,0.20815
ENSG00000187608,ISG15,53,-0.6743,34,-1.3505,30,-1.5234,58,-0.5262,64,-0.4152,110,1.11080
ENSG00000188157,AGRN,2,-3.8530,24,-0.2654,65,1.30780,5,-2.5121,21,-0.4999,34,0.54599
ENSG00000131591,C1orf159,2,-2.5900,14,0.23723,12,0.00688,19,0.76985,10,-0.2094,12,0.12173
ENSG00000078808,SDF4,60,-0.3358,86,0.23855,104,0.52972,89,0.28413,62,-0.3040,72,-0.1030
ENSG00000176022,B3GALT6,2,-3.8158,15,-0.9383,20,-0.4943,52,0.96580,24,-0.2973,33,0.53138
ENSG00000160087,UBE2J2,2,-4.3525,29,-0.5359,54,0.42655,33,-0.3198,27,-0.6533,51,0.82981
ENSG00000131584,ACAP3,69,0.07100,56,-0.2464,35,-0.9635,33,-1.0220,58,-0.2198,78,0.59791
ENSG00000127054,INTS11,7,-2.7960,58,0.29191,60,0.35082,30,-0.6830,40,-0.3052,55,0.49541
ENSG00000224051,CPTP,41,0.55543,14,-1.0379,25,-0.2141,30,0.10005,20,-0.5556,31,0.31938
ENSG00000107404,DVL1,101,0.98664,50,-0.1254,57,0.06037,10,-2.5492,62,0.21796,53,-0.1140
ENSG00000175756,AURKAIP1,2,-6.2899,180,0.18873,207,0.40395,81,-1.0267,179,0.19056,179,0.37311
