Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to5,Feature log2 fold change topic 2to5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,15,-0.4922,18,-0.2709,18,-0.2726,32,0.83923
ENSG00000188976,NOC2L,27,-1.1156,52,-0.1482,59,0.15959,69,0.42950
ENSG00000188290,HES4,89,0.59016,59,-0.1188,61,-0.0528,57,-0.1493
ENSG00000187608,ISG15,69,0.18748,62,0.01980,56,-0.1821,65,0.09030
ENSG00000188157,AGRN,30,-0.3225,40,0.25907,34,-0.1068,35,-0.0924
ENSG00000078808,SDF4,86,0.08427,65,-0.5033,83,0.02481,111,0.57321
ENSG00000176022,B3GALT6,27,-0.0790,25,-0.3304,32,0.24150,32,0.19123
ENSG00000160087,UBE2J2,26,-0.7556,44,0.14184,37,-0.2595,52,0.42128
ENSG00000131584,ACAP3,92,-0.5469,132,0.02634,110,-0.3430,179,0.58248
ENSG00000127054,INTS11,57,-0.2471,43,-0.9246,78,0.33316,101,0.80410
ENSG00000224051,CPTP,35,0.43953,14,-1.3009,31,0.36482,40,0.78088
ENSG00000107404,DVL1,95,0.40326,62,-0.4085,69,-0.1557,97,0.48891
ENSG00000175756,AURKAIP1,97,-0.3022,133,0.30316,108,-0.1735,112,-0.0857
ENSG00000221978,CCNL2,47,-0.1862,41,-0.5850,79,0.88211,43,-0.3704
ENSG00000242485,MRPL20,145,-0.2268,163,-0.0686,171,0.04390,183,0.15911
ENSG00000179403,VWA1,47,1.09670,22,-0.2448,16,-0.8023,30,0.42036
ENSG00000197785,ATAD3A,15,-0.1842,17,0.02619,18,0.06493,17,-0.0270
ENSG00000205090,TMEM240,22,-0.8972,42,0.18641,43,0.21188,35,-0.1816
ENSG00000160075,SSU72,131,-0.5707,176,-0.1687,221,0.33547,196,0.06351
ENSG00000228594,FNDC10,42,-0.1207,46,0.02651,40,-0.2876,56,0.36065
ENSG00000272106,AL691432.2,20,-0.4304,23,-0.3605,24,-0.2149,42,0.86178
ENSG00000197530,MIB2,38,-0.3661,54,0.33119,38,-0.4381,53,0.20904
ENSG00000189339,SLC35E2B,17,-0.4075,25,0.32481,23,0.08411,17,-0.4436
ENSG00000215790,SLC35E2A,18,-0.7335,28,-0.1227,33,0.26156,32,0.15883
ENSG00000008130,NADK,24,-0.0564,19,-0.5537,20,-0.4758,45,1.14216
ENSG00000078369,GNB1,405,-0.3327,496,-0.0182,548,0.19390,483,-0.0639
ENSG00000187730,GABRD,90,-1.0157,148,-0.3646,219,0.51241,197,0.23530
ENSG00000067606,PRKCZ,139,-0.7033,246,0.30601,224,0.06228,190,-0.2353
ENSG00000162585,FAAP20,64,0.64811,44,0.09209,37,-0.2835,37,-0.2283
ENSG00000157933,SKI,41,0.38870,24,-0.6691,32,-0.0200,46,0.64100
ENSG00000157916,RER1,33,-0.8781,54,-0.1541,65,0.24873,67,0.26444
ENSG00000157911,PEX10,37,0.38357,26,-0.2372,20,-0.7306,44,0.82467
ENSG00000149527,PLCH2,32,0.03973,32,0.08600,36,0.33957,20,-0.7236
ENSG00000157881,PANK4,10,-0.9475,18,-0.0927,17,-0.1793,27,0.68219
ENSG00000157870,PRXL2B,64,0.10292,49,-0.4691,57,-0.0875,84,0.64408
ENSG00000177133,PRDM16-DT,43,0.82949,20,-0.5276,18,-0.6906,40,0.83935
ENSG00000158109,TPRG1L,108,-1.0110,199,-0.1007,252,0.42099,207,-0.0018
ENSG00000116213,WRAP73,11,-0.3439,10,-0.6744,17,0.58807,16,0.28147
ENSG00000130764,LRRC47,46,-0.6331,50,-0.6843,101,0.86404,69,0.01540
ENSG00000196581,AJAP1,18,-1.2487,39,-0.0732,42,0.09284,51,0.44388
ENSG00000069424,KCNAB2,259,-0.1186,302,0.19860,241,-0.2907,299,0.12538
ENSG00000116254,CHD5,88,-0.8030,150,0.04393,156,0.12194,158,0.12956
ENSG00000116251,RPL22,639,0.42243,603,0.52366,375,-0.5325,376,-0.4750
ENSG00000116237,ICMT,24,-0.3889,25,-0.5247,34,0.19183,44,0.61216
ENSG00000158292,GPR153,13,-0.2653,15,-0.0725,15,-0.0754,19,0.32315
ENSG00000097021,ACOT7,147,-1.0832,254,-0.3479,425,0.82413,258,-0.2370
ENSG00000215788,TNFRSF25,13,-0.9073,14,-1.1497,27,0.17877,48,1.33269
ENSG00000171680,PLEKHG5,18,-1.1365,35,-0.1654,37,-0.0208,53,0.65241
ENSG00000162408,NOL9,30,0.00812,28,-0.1861,35,0.30804,28,-0.1548
ENSG00000162413,KLHL21,22,-0.5636,27,-0.3800,31,-0.0418,48,0.75956
ENSG00000116273,PHF13,14,-0.1982,10,-0.9716,19,0.45956,23,0.68855
ENSG00000041988,THAP3,16,-0.3152,22,0.21191,22,0.27382,14,-0.6069
ENSG00000007923,DNAJC11,29,-0.3348,37,0.09593,34,-0.1018,39,0.15363
ENSG00000171735,CAMTA1,180,-0.1138,173,-0.2574,230,0.37704,185,-0.0799
ENSG00000049245,VAMP3,42,1.22683,17,-0.4328,17,-0.3697,22,0.12262
ENSG00000049246,PER3,25,-0.3639,18,-1.1427,42,0.67162,44,0.65821
ENSG00000116288,PARK7,372,-0.1570,373,-0.2203,406,-0.0184,509,0.40033
ENSG00000116285,ERRFI1,8,-1.0159,17,0.05502,21,0.49891,13,-0.3759
ENSG00000162426,SLC45A1,15,-1.3955,37,0.01340,47,0.52606,32,-0.2308
ENSG00000142599,RERE,73,-0.5525,76,-0.6876,137,0.60623,126,0.35293
ENSG00000074800,ENO1,399,0.25387,269,-0.5334,365,0.14063,421,0.39030
ENSG00000171612,SLC25A33,67,1.36408,18,-1.0738,35,0.30479,28,-0.0832
ENSG00000171603,CLSTN1,433,-0.8873,622,-0.4646,1061,0.73675,768,0.00876
ENSG00000178585,CTNNBIP1,23,-0.1700,28,0.13200,34,0.55349,13,-1.1405
ENSG00000162441,LZIC,28,-0.1538,26,-0.3738,39,0.53813,28,-0.1307
ENSG00000130939,UBE4B,20,-0.7567,33,-0.0279,46,0.69651,22,-0.7036
ENSG00000054523,KIF1B,195,-0.3287,230,-0.1059,278,0.30477,229,-0.0912
ENSG00000142657,PGD,46,-0.1142,40,-0.4265,67,0.68247,41,-0.3099
ENSG00000241563,CORT,18,-1.3240,52,0.43056,61,0.74493,14,-1.8176
ENSG00000160049,DFFA,28,-0.1517,34,0.22666,31,0.04487,25,-0.3469
ENSG00000142655,PEX14,18,-0.5164,18,-0.7151,29,0.23435,39,0.80453
ENSG00000120948,TARDBP,57,-0.2635,41,-1.0350,93,0.69597,88,0.49116
ENSG00000116649,SRM,103,-0.0122,95,-0.2134,103,-0.0214,125,0.32751
ENSG00000171824,EXOSC10,12,-0.9888,26,0.32913,25,0.19774,18,-0.3746
ENSG00000198793,MTOR,27,-0.6286,41,0.01608,52,0.50947,31,-0.4871
ENSG00000116661,FBXO2,414,0.82817,247,-0.0417,215,-0.3104,233,-0.1362
ENSG00000132879,FBXO44,111,-0.7545,155,-0.3532,214,0.35922,217,0.34140
ENSG00000116670,MAD2L2,26,0.01316,24,-0.1702,21,-0.3837,37,0.63662
ENSG00000177000,MTHFR,16,-0.2902,17,-0.3074,21,0.16293,24,0.35564
ENSG00000011021,CLCN6,48,-0.0274,35,-0.6787,69,0.79498,44,-0.1758
ENSG00000116685,KIAA2013,15,-1.1512,22,-0.7995,45,0.74367,41,0.47310
ENSG00000083444,PLOD1,33,0.23684,17,-1.0842,39,0.68792,33,0.30986
ENSG00000116688,MFN2,56,-0.5688,70,-0.3201,101,0.50356,82,0.03806
ENSG00000116691,MIIP,14,-0.4199,13,-0.7659,24,0.55037,23,0.46137
ENSG00000048707,VPS13D,32,-0.5064,40,-0.2049,54,0.44724,42,-0.0713
ENSG00000162496,DHRS3,36,1.02997,15,-0.5367,13,-0.7511,29,0.75872
ENSG00000116731,PRDM2,52,-0.4429,64,-0.1899,81,0.32882,71,0.05049
ENSG00000189337,KAZN,21,-0.7222,33,-0.0170,44,0.60787,24,-0.5640
ENSG00000142634,EFHD2,37,-1.2023,91,0.26831,127,1.00687,18,-2.3785
ENSG00000116138,DNAJC16,15,-0.6573,12,-1.2583,32,0.74580,34,0.76439
ENSG00000197312,DDI2,16,-0.3061,15,-0.5390,26,0.64455,19,0.01662
ENSG00000116786,PLEKHM2,91,-0.1892,119,0.37592,89,-0.2958,97,-0.1052
ENSG00000065526,SPEN,27,-0.1135,30,0.00612,28,-0.0908,32,0.16483
