Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to8,Feature log2 fold change topic 7to8
ENSG00000188976,NOC2L,36,-0.2378,11,-2.1432,29,-0.5469,81,1.49639,41,-0.0150
ENSG00000188290,HES4,69,0.85058,32,-0.5160,50,0.28003,39,-0.1322,38,-0.1985
ENSG00000187608,ISG15,275,1.43373,110,-0.2105,31,-2.1286,162,0.55610,67,-1.0658
ENSG00000078808,SDF4,80,0.23596,37,-1.0881,98,0.57883,83,0.35891,68,-0.0377
ENSG00000176022,B3GALT6,18,-0.8402,20,-0.8002,32,0.03580,54,1.15364,27,-0.3101
ENSG00000160087,UBE2J2,17,-1.3212,23,-0.9586,45,0.20431,45,0.25487,60,0.83955
ENSG00000131584,ACAP3,76,-0.0384,48,-0.8724,137,0.98801,83,0.12162,73,-0.1023
ENSG00000127054,INTS11,59,0.15815,28,-1.1463,79,0.65694,74,0.63730,44,-0.3585
ENSG00000224051,CPTP,21,-0.4149,19,-0.6375,14,-1.0047,34,0.46544,37,0.66081
ENSG00000107404,DVL1,46,-0.1286,36,-0.5554,60,0.32845,77,0.94179,31,-0.8388
ENSG00000175756,AURKAIP1,95,-0.5465,118,-0.2265,90,-0.6244,139,0.07970,183,0.65284
ENSG00000221978,CCNL2,68,0.46424,24,-1.3293,73,0.56989,65,0.44222,48,-0.1455
ENSG00000242485,MRPL20,156,-0.0857,164,-0.0062,136,-0.3051,156,-0.0979,191,0.30055
ENSG00000179403,VWA1,156,2.85806,31,-0.3688,29,-0.4093,15,-1.5631,13,-1.7966
ENSG00000205090,TMEM240,3,-3.5558,27,-0.3054,24,-0.4131,47,0.81330,39,0.42592
ENSG00000160075,SSU72,124,0.03400,76,-0.8469,129,0.09433,138,0.24933,146,0.36219
ENSG00000228594,FNDC10,19,-0.8752,24,-0.6510,24,-0.5342,45,0.57404,45,0.57113
ENSG00000197530,MIB2,40,0.13615,19,-1.1370,37,-0.0126,33,-0.1972,57,0.89944
ENSG00000215790,SLC35E2A,36,0.22930,8,-2.2567,38,0.33811,47,0.83328,33,0.11898
ENSG00000078369,GNB1,251,-0.5643,285,-0.4139,404,0.21024,474,0.58272,337,-0.1021
ENSG00000187730,GABRD,17,-1.8618,27,-1.3244,57,-0.0343,55,-0.1320,115,1.52186
ENSG00000067606,PRKCZ,55,-1.5310,103,-0.6486,121,-0.3246,188,0.48420,211,0.73708
ENSG00000162585,FAAP20,87,1.05293,42,-0.2386,60,0.39726,38,-0.3893,36,-0.5081
ENSG00000157933,SKI,66,1.14678,37,0.14046,57,0.87391,17,-1.2008,21,-0.8411
ENSG00000157916,RER1,92,0.59454,47,-0.5887,60,-0.1286,91,0.67714,46,-0.6234
ENSG00000157870,PRXL2B,41,-0.5535,41,-0.6088,64,0.18344,85,0.82044,51,-0.2257
ENSG00000158109,TPRG1L,92,-1.0273,82,-1.3408,147,-0.2903,294,1.10143,209,0.33934
ENSG00000130764,LRRC47,68,-0.2002,33,-1.4415,50,-0.6806,105,0.62536,111,0.74662
ENSG00000069424,KCNAB2,15,-3.9874,129,-0.9636,197,-0.1924,319,0.75578,331,0.84081
