Feature ID,Feature Name,Feature count topic 1to3,Feature log2 fold change topic 1to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to9,Feature log2 fold change topic 5to9
ENSG00000228794,LINC01128,26,0.11364,28,0.21792,23,-0.1948
ENSG00000188976,NOC2L,90,0.61634,73,0.09196,56,-0.6200
ENSG00000188290,HES4,88,0.20733,90,0.18107,74,-0.2649
ENSG00000187608,ISG15,115,0.15782,96,-0.1755,105,-0.0773
ENSG00000188157,AGRN,59,0.73102,27,-0.7215,37,-0.4604
ENSG00000078808,SDF4,81,0.64623,58,-0.1061,50,-0.5710
ENSG00000176022,B3GALT6,44,0.52882,47,0.48967,27,-0.7190
ENSG00000160087,UBE2J2,77,0.91243,33,-0.7189,42,-0.6430
ENSG00000131584,ACAP3,149,0.32016,185,0.59319,106,-0.5705
ENSG00000127054,INTS11,85,0.63190,85,0.44109,49,-0.7973
ENSG00000224051,CPTP,56,0.70143,21,-1.0411,37,-0.3548
ENSG00000107404,DVL1,70,-0.1947,104,0.49857,76,-0.0564
ENSG00000175756,AURKAIP1,169,-0.2182,257,0.51838,185,-0.0467
ENSG00000221978,CCNL2,72,0.74404,79,0.67535,36,-1.0414
ENSG00000242485,MRPL20,161,-0.2651,263,0.60457,180,-0.0529
ENSG00000235098,ANKRD65,22,-0.0900,20,-0.1956,24,0.15548
ENSG00000179403,VWA1,14,-1.6261,110,2.19702,30,-0.3435
ENSG00000197785,ATAD3A,24,0.21418,27,0.38541,19,-0.3649
ENSG00000205090,TMEM240,63,0.19019,80,0.53719,50,-0.4188
ENSG00000160075,SSU72,171,0.17516,151,-0.0771,152,-0.1299
ENSG00000228594,FNDC10,55,0.10512,53,-0.0043,51,-0.0937
ENSG00000272106,AL691432.2,22,0.04821,30,0.50334,20,-0.2718
ENSG00000197530,MIB2,48,0.47203,44,0.21244,32,-0.5301
ENSG00000215790,SLC35E2A,68,0.96529,40,-0.1958,33,-0.8612
ENSG00000008130,NADK,39,0.15315,34,-0.0973,35,-0.1019
ENSG00000078369,GNB1,577,0.38897,385,-0.3743,452,-0.2273
ENSG00000187730,GABRD,237,0.99810,98,-0.7538,123,-0.7207
ENSG00000067606,PRKCZ,309,0.10761,349,0.28065,274,-0.2176
ENSG00000162585,FAAP20,58,-0.3342,107,0.74463,67,-0.0740
ENSG00000157933,SKI,40,0.15813,49,0.48398,33,-0.3619
ENSG00000157916,RER1,83,0.85936,42,-0.5111,46,-0.6481
ENSG00000157911,PEX10,40,0.10533,37,-0.0457,37,-0.0776
ENSG00000149527,PLCH2,54,1.39602,14,-1.2160,21,-1.0236
ENSG00000157870,PRXL2B,121,0.68601,79,-0.2261,74,-0.5669
ENSG00000177133,PRDM16-DT,14,-0.9236,13,-0.7675,29,1.06210
ENSG00000158109,TPRG1L,245,0.35155,180,-0.2416,194,-0.2359
ENSG00000130764,LRRC47,100,0.79691,63,-0.2019,56,-0.6867
ENSG00000196581,AJAP1,43,0.76020,15,-1.1217,27,-0.3961
ENSG00000069424,KCNAB2,291,0.24953,225,-0.2356,249,-0.1415
ENSG00000116254,CHD5,201,0.04102,253,0.41148,184,-0.2193
ENSG00000116251,RPL22,306,-0.6867,714,0.85553,448,0.13510
ENSG00000116237,ICMT,65,1.21407,11,-1.8971,31,-0.7255
ENSG00000097021,ACOT7,468,0.87938,233,-0.5323,258,-0.6620
ENSG00000171680,PLEKHG5,33,0.06450,29,-0.1561,32,0.00139
ENSG00000162408,NOL9,41,0.49871,41,0.37995,26,-0.6342
ENSG00000162413,KLHL21,36,0.46488,30,0.02242,26,-0.4430
ENSG00000116273,PHF13,21,0.84579,10,-0.5251,12,-0.6302
ENSG00000041988,THAP3,28,-0.1095,31,0.11110,30,0.05161
ENSG00000007923,DNAJC11,40,-0.1878,42,-0.0536,46,0.18800
ENSG00000171735,CAMTA1,130,-0.0620,180,0.49478,126,-0.1694
ENSG00000049245,VAMP3,11,-1.5141,83,2.21992,21,-0.4200
ENSG00000049246,PER3,29,0.40249,33,0.51478,20,-0.6082
ENSG00000116288,PARK7,326,-0.0291,344,0.06274,331,0.00062
ENSG00000116285,ERRFI1,27,0.89368,14,-0.4088,14,-0.7146
ENSG00000162426,SLC45A1,66,1.22864,22,-0.9656,29,-0.9050
ENSG00000142599,RERE,102,0.25298,82,-0.1563,86,-0.1730
ENSG00000074800,ENO1,765,0.48065,654,0.08503,527,-0.4838
ENSG00000171612,SLC25A33,21,-0.2199,22,-0.0771,25,0.22534
ENSG00000188807,TMEM201,21,0.01391,18,-0.1863,21,0.05847
ENSG00000171603,CLSTN1,898,0.96247,441,-0.5078,465,-0.7539
ENSG00000178585,CTNNBIP1,25,-0.6618,57,0.79775,37,0.15174
ENSG00000162441,LZIC,17,-0.5930,27,0.26603,25,0.38667
ENSG00000130939,UBE4B,42,0.43251,27,-0.4019,32,-0.2603
ENSG00000054523,KIF1B,274,0.15134,341,0.47500,228,-0.3511
ENSG00000142657,PGD,70,0.38796,64,0.14169,51,-0.4182
ENSG00000241563,CORT,51,-1.8247,188,0.50982,180,1.07822
ENSG00000160049,DFFA,30,0.31469,30,0.22336,23,-0.3841
ENSG00000142655,PEX14,39,0.95305,17,-0.6771,20,-0.6954
ENSG00000120948,TARDBP,87,0.48352,69,-0.0166,60,-0.4456
ENSG00000116649,SRM,118,0.08744,98,-0.2256,113,0.00544
ENSG00000171824,EXOSC10,24,0.50393,27,0.54359,15,-0.7226
ENSG00000198793,MTOR,29,-0.1385,40,0.41344,30,-0.0619
ENSG00000116661,FBXO2,200,-0.2750,274,0.29893,236,0.11019
ENSG00000132879,FBXO44,214,0.24338,198,0.04625,178,-0.2418
ENSG00000116670,MAD2L2,24,0.39971,26,0.42964,17,-0.5622
ENSG00000011021,CLCN6,97,0.90058,58,-0.2204,51,-0.7856
ENSG00000116685,KIAA2013,48,0.67279,52,0.59057,26,-0.9186
ENSG00000083444,PLOD1,28,0.26478,24,-0.0286,23,-0.2321
ENSG00000116688,MFN2,106,0.66188,75,-0.1028,65,-0.5877
ENSG00000116691,MIIP,22,-0.1470,51,1.28407,19,-0.5791
ENSG00000048707,VPS13D,58,0.35247,70,0.58135,40,-0.5951
ENSG00000162496,DHRS3,21,-0.8697,61,1.07178,34,0.12649
ENSG00000116731,PRDM2,66,0.25549,60,0.01946,55,-0.2424
ENSG00000189337,KAZN,40,-0.0870,41,-0.0328,43,0.09094
ENSG00000142634,EFHD2,76,-1.4721,404,1.56892,172,0.12462
ENSG00000116138,DNAJC16,29,0.98333,20,0.08817,13,-0.9940
ENSG00000197312,DDI2,23,0.01608,24,0.10263,22,-0.0565
ENSG00000116786,PLEKHM2,88,0.17008,77,-0.1012,79,-0.1161
