gene_name,cell_type,n_studies,studies,cell_type_broad
ALDH1L1,Astro,1, Li et al. 2025,Astro
APOE,Astro,1,Grant-Peters Notes,Astro
AQP4,Astro,3,"Grubman et al.,Davila-Velderrain et al., Li et al. 2025",Astro
AQP5,Astro,1,Leng et al.,Astro
GFAP,Astro,1, Li et al. 2025,Astro
GJA1,Astro,1, Li et al. 2025,Astro
SLC1A2,Astro,2,"Grubman et al.,Leng et al.",Astro
CLDN5,Endo,2,"Grubman et al.,Leng et al.",Endo
FLT1,Endo,2,"Grubman et al.,Leng et al.",Endo
VWF,Endo,1,Davila-Velderrain et al.,Endo
CEMP,Fibroblast,1,Davila-Velderrain et al.,Endo
LAMA2,Fibroblast,1,Davila-Velderrain et al.,Endo
PDGFRB,Pericytes,1,Davila-Velderrain et al.,Endo
TTR,choroid plexis,1,Davila-Velderrain et al.,Endo
CAMK2A,Excit,1,Leng et al.,Excit
NRGN,Excit,1,Davila-Velderrain et al.,Excit
SATB2,Excit,1, Li et al. 2025,Excit
SLC17A7,Excit,2,"Leng et al., Li et al. 2025",Excit
GR1A1,Glutamate receptor,1,Grubman et al.,Excit
GRIK2,Glutamate receptor,1,Grubman et al.,Excit
GRIN2B,Glutamate receptor,1,Grubman et al.,Excit
SYT1,Glutamate receptor,1,Grubman et al.,Excit
GAD1,Inhib,3,"Leng et al.,Davila-Velderrain et al., Li et al. 2025",Inhib
GAD2,Inhib,2,"Leng et al., Li et al. 2025",Inhib
CHODL,Inhib-subtype,1,Keri,Inhib
CORT,Inhib-subtype,1,Keri,Inhib
KIT,Inhib-subtype,1,Keri,Inhib
LAMP5,Inhib-subtype,1,Davila-Velderrain et al.,Inhib
PVALB,Inhib-subtype,1,Davila-Velderrain et al.,Inhib
SST,Inhib-subtype,1,Davila-Velderrain et al.,Inhib
VIP,Inhib-subtype,1,Davila-Velderrain et al.,Inhib
CCR2,Macro,1,Wei et al. 2023,Macro
CD169,Macro,1,Wei et al. 2023,Macro
CD68,Macro,1,Wei et al. 2023,Macro
CD9,Macro,1,Wei et al. 2023,Macro
HLA,Macro,1,Wei et al. 2023,Macro
TREM2,Macro,1,Wei et al. 2023,Macro
C1QB,Micro,1,Grubman et al.,Micro
C3,Micro,1, Li et al. 2025,Micro
CD74,Micro,2,"Leng et al., Li et al. 2025",Micro
CSF1R,Micro,3,"Grubman et al.,Davila-Velderrain et al., Li et al. 2025",Micro
CX3CR1,Micro,2,"Grubman et al.,Leng et al.",Micro
HLA-DRA,Micro,1,Grubman et al.,Micro
PTPRC,Micro,1,Grant-Peters Notes,Micro
GABRB2,Neuron,1, Li et al. 2025,Neuron
RBFOX1,Neuron,1,Grubman et al.,Neuron
RBFOX2,Neuron,1, Li et al. 2025,Neuron
SYT1,Neuron,1,Davila-Velderrain et al.,Neuron
BCAN,OPC,1, Li et al. 2025,OPC
BCAS1,OPC,1,Grant-Peters Notes,OPC
CSPG4,OPC,1, Li et al. 2025,OPC
MEGF11,OPC,1,Grubman et al.,OPC
PDCH15,OPC,1,Grubman et al.,OPC
PDGFRA,OPC,2,"Leng et al., Li et al. 2025",OPC
SOX10,OPC,1,Leng et al.,OPC
VCAN,OPC,2,"Davila-Velderrain et al., Li et al. 2025",OPC
MAG,Oligo,1, Li et al. 2025,Oligo
MBP,Oligo,3,"Grubman et al.,Leng et al.,Davila-Velderrain et al.",Oligo
MOBP,Oligo,2,"Grubman et al., Li et al. 2025",Oligo
MOG,Oligo,2,"Leng et al., Li et al. 2025",Oligo
PLP1,Oligo,1,Grubman et al.,Oligo
SKAP1,T-cells,1,Davila-Velderrain et al.,T-cells
CLDN5,Vascu,1, Li et al. 2025,Vasc
FLT1,Vascu,1, Li et al. 2025,Vasc
PDGFRB,Vascu,1, Li et al. 2025,Vasc
