"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Oligo.5",-0.946660613751781,1.16152659271076,-3.29523642345954,0.00335285308412237,0.0735075183817624,-1.70524343780937
"Oligo.3",-1.19927384813651,1.73901613515564,-3.22491808357262,0.00395597601217006,0.0735075183817624,-1.84900859392544
"Micro.3",1.09017876911075,0.0770763716671226,2.98973855322365,0.00683660622899743,0.0735075183817624,-2.41993531631923
"Micro.4",0.854643946186082,0.0943269749018704,2.93586040360972,0.00773763351386973,0.0735075183817624,-2.53825935285828
"Astro.5",-0.895317424873324,-0.493344779151803,-2.76536537309285,0.0113988145328116,0.0866309904493682,-2.73423510069007
"Astro.3",-0.516248964113644,0.888541967150228,-2.3475081146627,0.0284770750922938,0.18035480891786,-3.53464025245143
"Micro.1",0.790679748290942,0.934724178739588,2.22869437182898,0.036557945298818,0.198457417336441,-3.91019509212258
"Macro",0.841381454621566,-1.23557998393085,2.0957966909247,0.0480328637196078,0.228156102668137,-4.09231501548374
"Oligo.4",-0.725063433148086,1.65924744031707,-1.97793111986007,0.0608176322633457,0.256785558445238,-4.12998708082193
"Micro.5",0.666305153708538,-0.827475129724172,1.89225664988656,0.0719216330613245,0.267193035586414,-4.36397412503293
"Astro.2",-0.611415907398702,1.34967164713848,-1.85456719422817,0.0773453524065934,0.267193035586414,-4.26520820644823
"Excit.L5.2",0.773113444091475,-2.4451204804861,1.03934680614339,0.310125241163017,0.857576985837431,-5.43561004981804
"Astro.4",-0.494349538413873,-0.376110928542918,-1.0375953559615,0.31092181691885,0.857576985837431,-5.61286607126836
"Excit.L2_5.1",-0.389795615369611,1.72804430418496,-1.01931300531442,0.319323080032737,0.857576985837431,-5.45553422759871
"Inhib.Pax6",0.376967218309122,-2.3702315756755,0.97876951378484,0.338517231251618,0.857576985837431,-5.66084521231635
"Inhib.Chandelier",-0.476909378495601,-1.6335809509698,-0.921209022005006,0.367104636150634,0.871873510857755,-5.61783445007406
"OPC.2",-0.196736720987302,1.12356745044488,-0.689511812502368,0.497833930619152,0.904749488059604,-5.56435880598334
"OPC.4",-0.323035034250144,0.414452294766183,-0.686116943482767,0.499930081921203,0.904749488059604,-5.62710963950915
"OPC.3",-0.288587132281719,1.14374899857282,-0.668606808802582,0.510820885011729,0.904749488059604,-5.64830879130944
"OPC.1",-0.219729989170058,1.36897615626633,-0.6338269553763,0.532841163046178,0.904749488059604,-5.61203777925567
"Vasc.PC",0.259529061703787,-2.04439167728813,0.629030331412714,0.535917975326927,0.904749488059604,-5.75486294955243
"Inhib.Sst",0.196849937269222,-0.581767224958039,0.544291628685294,0.591809353142989,0.904749488059604,-5.7822312033308
"Excit.L2_5.2",0.415623347788687,-1.70821486816377,0.461757963858237,0.648866296960087,0.904749488059604,-5.93051387915515
"Astro.1",-0.153221982972002,2.05129454319733,-0.450324191254136,0.656958848451759,0.904749488059604,-5.79988880784054
"Oligo.2",0.186209434194634,1.90335045983429,0.419740415766772,0.678815792202001,0.904749488059604,-5.80776109410126
"OPC.5",-0.30007406980457,-1.80267586096295,-0.407157472035647,0.687894377007832,0.904749488059604,-6.07351510302635
"Excit.L5_6_NP",-0.328927353748075,-2.87877116072462,-0.385009945567112,0.703990662757598,0.904749488059604,-5.84352566072899
"Inhib.Pvalb",-0.150801955604563,-0.233559385549963,-0.381659750113663,0.706438146147517,0.904749488059604,-6.04529230146127
"Vasc.Endo",-0.12573422085323,-0.722262218336507,-0.378413780653541,0.708812591638885,0.904749488059604,-5.83968500767496
"Excit.L6_CT",-0.15592701657831,-1.17637604081755,-0.299875374425947,0.7671356823606,0.904749488059604,-5.88840306344554
"Micro.2",0.0596632915596867,1.02262348998248,0.251849746027174,0.803535213880305,0.904749488059604,-5.99464511319644
"Oligo.1",0.0822199512853693,2.12294821867713,0.2072893698579,0.837723399450353,0.904749488059604,-5.7752270445285
"Inhib.Lamp5_Lhx6",0.0635827515133376,-0.189853512263826,0.196610609912636,0.845968256067251,0.904749488059604,-5.96183370713146
"Inhib.Vip",-0.0542354769823469,1.74252202651676,-0.187702571788142,0.852859859246105,0.904749488059604,-5.80302194349094
"Excit.L2",0.0666897014976706,0.0611520627247391,0.153219619783814,0.879645802210764,0.904749488059604,-6.05193024287422
"Excit.L6b",-0.0856668692856249,-0.886920984083411,-0.153131087028712,0.87971477815241,0.904749488059604,-6.04449329277691
"Vasc.VLMC",0.0859159835138499,-0.768209991135719,0.151558311790001,0.880940291005403,0.904749488059604,-6.11257624393946
"Excit.L5.1",0.0510906531590964,-0.212364560183052,0.0768965324649921,0.939412866528124,0.939412866528124,-6.11765415116652
