Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to5,Feature log2 fold change topic 2to5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,15,-0.4922,18,-0.2709,18,-0.2726,15,-0.4668,48,1.46418
ENSG00000188976,NOC2L,27,-1.1156,52,-0.1482,59,0.15959,62,0.19597,77,0.53873
ENSG00000188290,HES4,89,0.59016,59,-0.1188,61,-0.0528,45,-0.5003,69,0.17001
ENSG00000187608,ISG15,69,0.18748,62,0.01980,56,-0.1821,49,-0.3620,80,0.43544
ENSG00000188157,AGRN,30,-0.3225,40,0.25907,34,-0.1068,30,-0.2828,39,0.09766
ENSG00000078808,SDF4,86,0.08427,65,-0.5033,83,0.02481,117,0.57895,106,0.41163
ENSG00000176022,B3GALT6,27,-0.0790,25,-0.3304,32,0.24150,28,-0.0312,36,0.34913
ENSG00000160087,UBE2J2,26,-0.7556,44,0.14184,37,-0.2595,43,0.06327,62,0.63083
ENSG00000131584,ACAP3,92,-0.5469,132,0.02634,110,-0.3430,146,0.17980,211,0.78401
ENSG00000127054,INTS11,57,-0.2471,43,-0.9246,78,0.33316,83,0.35901,120,0.97387
ENSG00000224051,CPTP,35,0.43953,14,-1.3009,31,0.36482,23,-0.2394,57,1.29688
ENSG00000107404,DVL1,95,0.40326,62,-0.4085,69,-0.1557,86,0.22850,108,0.60468
ENSG00000175756,AURKAIP1,97,-0.3022,133,0.30316,108,-0.1735,99,-0.2791,126,0.10541
ENSG00000221978,CCNL2,47,-0.1862,41,-0.5850,79,0.88211,57,0.11419,29,-0.9414
ENSG00000242485,MRPL20,145,-0.2268,163,-0.0686,171,0.04390,164,-0.0381,202,0.30345
ENSG00000179403,VWA1,47,1.09670,22,-0.2448,16,-0.8023,44,0.99390,17,-0.5729
ENSG00000197785,ATAD3A,15,-0.1842,17,0.02619,18,0.06493,15,-0.1769,19,0.11682
ENSG00000205090,TMEM240,22,-0.8972,42,0.18641,43,0.21188,32,-0.3096,38,-0.0268
ENSG00000160075,SSU72,131,-0.5707,176,-0.1687,221,0.33547,215,0.20690,176,-0.1078
ENSG00000228594,FNDC10,42,-0.1207,46,0.02651,40,-0.2876,44,-0.0733,68,0.63874
ENSG00000272106,AL691432.2,20,-0.4304,23,-0.3605,24,-0.2149,24,-0.1782,60,1.36886
