neighbor_cell_type,median_APOE,n
Astro.1,4.086487032452832,4201
Astro.2,4.228140549910878,5381
Astro.3,4.188218629550946,380
Astro.4,3.8528678875747557,2652
Astro.5,3.761176922663889,12352
