Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to7,Feature log2 fold change topic 3to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000228794,LINC01128,24,0.02894,21,-0.1674,34,1.11598,14,-0.8587,9,-1.4999
ENSG00000188976,NOC2L,68,0.76866,52,0.33996,46,0.23669,34,-0.3612,23,-1.0135
ENSG00000188290,HES4,51,-0.4469,54,-0.3638,71,0.09913,80,0.27065,66,-0.0520
ENSG00000187608,ISG15,124,0.43452,65,-0.5708,102,0.21518,89,-0.0994,80,-0.2837
ENSG00000188157,AGRN,24,-0.1062,19,-0.4552,30,0.45965,17,-0.7373,28,0.12786
ENSG00000078808,SDF4,80,0.11799,57,-0.4256,78,0.14305,56,-0.4835,89,0.31391
ENSG00000176022,B3GALT6,19,-0.9031,38,0.12503,44,0.65497,25,-0.5443,29,-0.3192
ENSG00000160087,UBE2J2,44,0.07079,45,0.09018,44,0.09133,39,-0.1131,39,-0.1379
ENSG00000131584,ACAP3,20,-1.7602,85,0.45500,73,0.36557,62,-0.0554,55,-0.2565
ENSG00000169972,PUSL1,0,-4.5860,12,-0.0166,15,0.40930,13,0.00612,14,0.15289
ENSG00000127054,INTS11,59,0.48456,43,-0.0203,50,0.39155,31,-0.5570,32,-0.5218
ENSG00000224051,CPTP,25,-0.2553,47,0.72119,35,0.39567,28,-0.1430,15,-1.1560
ENSG00000107404,DVL1,61,-0.1848,50,-0.4820,63,-0.2214,87,0.42439,78,0.22154
ENSG00000175756,AURKAIP1,201,0.19105,125,-0.5515,189,0.16348,190,0.11054,154,-0.2503
ENSG00000221978,CCNL2,53,0.48669,42,0.13347,40,0.09191,35,-0.1806,31,-0.4023
ENSG00000242485,MRPL20,198,0.22773,206,0.29221,159,-0.1935,172,0.00555,172,0.00321
ENSG00000179403,VWA1,20,-0.8548,34,-0.0256,17,-1.5286,39,0.18379,83,1.77804
ENSG00000197785,ATAD3A,23,0.36832,22,0.34213,19,0.07242,14,-0.3865,16,-0.2131
ENSG00000205090,TMEM240,14,-1.4180,47,0.45114,48,0.92375,23,-0.7033,21,-0.8312
ENSG00000160075,SSU72,85,-0.9358,139,-0.1851,193,0.62129,152,-0.0499,112,-0.5599
ENSG00000228594,FNDC10,65,0.84780,54,0.52462,41,0.18052,25,-0.7152,25,-0.7489
ENSG00000272106,AL691432.2,48,0.87883,31,0.13756,30,0.14825,26,-0.1460,15,-1.0289
ENSG00000197530,MIB2,40,0.24173,39,0.21703,37,0.16549,24,-0.6342,34,-0.0002
ENSG00000189339,SLC35E2B,6,-1.3701,18,0.12836,19,0.44044,14,-0.2640,16,-0.0436
ENSG00000215790,SLC35E2A,17,-0.1940,23,0.24019,24,0.56413,18,-0.1182,10,-1.1322
ENSG00000008130,NADK,47,0.84221,21,-0.4409,28,-0.0245,23,-0.3327,28,-0.0270
ENSG00000078369,GNB1,292,-0.5059,342,-0.2596,478,0.48310,371,-0.1481,338,-0.3097
ENSG00000187730,GABRD,104,-0.4812,65,-1.1988,222,1.58807,109,-0.4439,28,-2.5622
ENSG00000067606,PRKCZ,152,-0.3761,298,0.70080,201,0.09822,196,0.02610,141,-0.5390
ENSG00000162585,FAAP20,79,0.31403,69,0.10763,55,-0.3976,63,-0.0435,81,0.40482
ENSG00000157933,SKI,15,-1.1610,36,0.22535,31,-0.0633,26,-0.3194,45,0.64346
ENSG00000157916,RER1,119,0.86596,53,-0.4408,73,0.11781,57,-0.3478,59,-0.2910
ENSG00000157911,PEX10,32,0.10054,29,-0.0624,30,-0.0291,28,-0.1091,32,0.12809
ENSG00000149527,PLCH2,8,-1.4495,12,-0.7218,24,0.52601,31,0.78271,9,-1.2490
ENSG00000157870,PRXL2B,65,0.08181,74,0.28742,74,0.52148,54,-0.2262,31,-1.1466
ENSG00000177133,PRDM16-DT,5,-1.9233,25,0.43612,9,-1.4830,44,1.64672,23,0.30304
ENSG00000158109,TPRG1L,151,-0.1868,185,0.13245,206,0.54944,143,-0.3010,111,-0.7295
ENSG00000130764,LRRC47,42,-0.5974,72,0.25981,71,0.43653,56,-0.1469,45,-0.5236
ENSG00000116198,CEP104,50,1.42929,32,0.68371,14,-0.8698,17,-0.3810,22,0.08244
ENSG00000196581,AJAP1,9,-2.0836,34,-0.0456,51,1.24236,31,-0.2092,12,-1.7022
