cluster,n_donor,datatype,contrast,group
Vasc~Sp09D08,30,Visium,NA,All
L1~Sp09D05,30,Visium,NA,All
L2.3~Sp09D01,30,Visium,NA,All
LD~Sp09D02,30,Visium,NA,All
Inhib~Sp09D09,30,Visium,NA,All
L5~Sp09D03,30,Visium,NA,All
L6~Sp09D04,30,Visium,NA,All
WM.uf~Sp09D07,30,Visium,NA,All
WM~Sp09D06,30,Visium,NA,All
Vasc~Sp09D08,16,Visium,carrier_AA,AA
Vasc~Sp09D08,14,Visium,carrier_EA,EA
L1~Sp09D05,16,Visium,carrier_AA,AA
L1~Sp09D05,14,Visium,carrier_EA,EA
L2.3~Sp09D01,16,Visium,carrier_AA,AA
L2.3~Sp09D01,14,Visium,carrier_EA,EA
LD~Sp09D02,16,Visium,carrier_AA,AA
LD~Sp09D02,14,Visium,carrier_EA,EA
Inhib~Sp09D09,16,Visium,carrier_AA,AA
Inhib~Sp09D09,14,Visium,carrier_EA,EA
L5~Sp09D03,16,Visium,carrier_AA,AA
L5~Sp09D03,14,Visium,carrier_EA,EA
L6~Sp09D04,16,Visium,carrier_AA,AA
L6~Sp09D04,14,Visium,carrier_EA,EA
WM.uf~Sp09D07,16,Visium,carrier_AA,AA
WM.uf~Sp09D07,14,Visium,carrier_EA,EA
WM~Sp09D06,16,Visium,carrier_AA,AA
WM~Sp09D06,14,Visium,carrier_EA,EA
Astro,30,sn_broad,NA,All
Macro,18,sn_broad,NA,All
Micro,30,sn_broad,NA,All
OPC,30,sn_broad,NA,All
Oligo,30,sn_broad,NA,All
Vasc,29,sn_broad,NA,All
Excit,30,sn_broad,NA,All
Inhib,30,sn_broad,NA,All
Astro,16,sn_broad,carrier_AA,AA
Astro,14,sn_broad,carrier_EA,EA
Macro,8,sn_broad,carrier_AA,AA
Macro,10,sn_broad,carrier_EA,EA
Micro,16,sn_broad,carrier_AA,AA
Micro,14,sn_broad,carrier_EA,EA
OPC,16,sn_broad,carrier_AA,AA
OPC,14,sn_broad,carrier_EA,EA
Oligo,16,sn_broad,carrier_AA,AA
Oligo,14,sn_broad,carrier_EA,EA
Vasc,15,sn_broad,carrier_AA,AA
Vasc,14,sn_broad,carrier_EA,EA
Excit,16,sn_broad,carrier_AA,AA
Excit,14,sn_broad,carrier_EA,EA
Inhib,16,sn_broad,carrier_AA,AA
Inhib,14,sn_broad,carrier_EA,EA
Astro.1,29,sn_fine,NA,All
Astro.2,30,sn_fine,NA,All
Astro.3,30,sn_fine,NA,All
Astro.4,25,sn_fine,NA,All
Astro.5,27,sn_fine,NA,All
Macro,18,sn_fine,NA,All
Micro.1,28,sn_fine,NA,All
Micro.2,30,sn_fine,NA,All
Micro.3,26,sn_fine,NA,All
Micro.4,27,sn_fine,NA,All
Micro.5,25,sn_fine,NA,All
OPC.1,30,sn_fine,NA,All
OPC.2,30,sn_fine,NA,All
OPC.3,30,sn_fine,NA,All
OPC.4,30,sn_fine,NA,All
OPC.5,13,sn_fine,NA,All
Oligo.1,30,sn_fine,NA,All
Oligo.2,29,sn_fine,NA,All
Oligo.3,30,sn_fine,NA,All
Oligo.4,30,sn_fine,NA,All
Oligo.5,30,sn_fine,NA,All
Vasc.Endo,27,sn_fine,NA,All
Vasc.VLMC,22,sn_fine,NA,All
