cluster,mod,n_gene,n_FDR05,nUP,nDown,model,file,datatype,cell_type_broad,contrast,n_donor
Vasc~Sp09D08,carrier,9014,30,8,22,carrier,vlmf_model_summary_Visium.csv,Visium,NA,NA,30
L1~Sp09D05,carrier,12076,1,0,1,carrier,vlmf_model_summary_Visium.csv,Visium,NA,NA,30
L2.3~Sp09D01,carrier,14006,0,0,0,carrier,vlmf_model_summary_Visium.csv,Visium,NA,NA,30
LD~Sp09D02,carrier,15529,0,0,0,carrier,vlmf_model_summary_Visium.csv,Visium,NA,NA,30
Inhib~Sp09D09,carrier,12722,2,0,2,carrier,vlmf_model_summary_Visium.csv,Visium,NA,NA,30
L5~Sp09D03,carrier,14322,3,3,0,carrier,vlmf_model_summary_Visium.csv,Visium,NA,NA,30
L6~Sp09D04,carrier,14466,16,10,6,carrier,vlmf_model_summary_Visium.csv,Visium,NA,NA,30
WM.uf~Sp09D07,carrier,3588,21,2,19,carrier,vlmf_model_summary_Visium.csv,Visium,NA,NA,30
WM~Sp09D06,carrier,9998,0,0,0,carrier,vlmf_model_summary_Visium.csv,Visium,NA,NA,30
Astro,carrier,18320,75,62,13,carrier,vlmf_model_summary_sn_broad.csv,sn_broad,NA,NA,30
Macro,carrier,2931,15,10,5,carrier,vlmf_model_summary_sn_broad.csv,sn_broad,NA,NA,18
Micro,carrier,14350,2,0,2,carrier,vlmf_model_summary_sn_broad.csv,sn_broad,NA,NA,30
Oligo,carrier,21175,178,163,15,carrier,vlmf_model_summary_sn_broad.csv,sn_broad,NA,NA,30
OPC,carrier,17884,0,0,0,carrier,vlmf_model_summary_sn_broad.csv,sn_broad,NA,NA,30
Vasc,carrier,9533,0,0,0,carrier,vlmf_model_summary_sn_broad.csv,sn_broad,NA,NA,29
Excit,carrier,26791,72,31,41,carrier,vlmf_model_summary_sn_broad.csv,sn_broad,NA,NA,30
Inhib,carrier,21835,22,3,19,carrier,vlmf_model_summary_sn_broad.csv,sn_broad,NA,NA,30
Astro.1,carrier,16867,7,5,2,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Astro,NA,29
Astro.2,carrier,9994,58,10,48,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Astro,NA,30
Astro.3,carrier,11282,23,5,18,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Astro,NA,30
Astro.4,carrier,8135,0,0,0,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Astro,NA,25
Astro.5,carrier,1793,0,0,0,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Astro,NA,27
Oligo.1,carrier,13881,0,0,0,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Oligo,NA,30
Oligo.2,carrier,13983,0,0,0,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Oligo,NA,29
Oligo.3,carrier,11496,1022,679,343,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Oligo,NA,30
Oligo.4,carrier,12055,0,0,0,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Oligo,NA,30
Oligo.5,carrier,9670,54,47,7,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Oligo,NA,30
OPC.1,carrier,13679,0,0,0,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,OPC,NA,30
OPC.2,carrier,11203,0,0,0,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,OPC,NA,30
OPC.3,carrier,14268,0,0,0,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,OPC,NA,30
OPC.4,carrier,11598,0,0,0,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,OPC,NA,30
OPC.5,carrier,1380,0,0,0,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,OPC,NA,13
Macro,carrier,2931,15,10,5,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Macro,NA,18
Micro.1,carrier,10158,1,1,0,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Micro,NA,28
Micro.2,carrier,8763,1,0,1,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Micro,NA,30
Micro.3,carrier,7923,1,1,0,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Micro,NA,26
Micro.4,carrier,7227,15,13,2,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Micro,NA,27
Micro.5,carrier,2327,0,0,0,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Micro,NA,25
Vasc.Endo,carrier,5058,2,1,1,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Vasc,NA,27
Vasc.VLMC,carrier,6644,4,1,3,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Vasc,NA,22
Excit.L2,carrier,20080,0,0,0,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Excit,NA,24
Excit.L2_5.1,carrier,22201,6,0,6,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Excit,NA,30
Excit.L2_5.2,carrier,14797,1,1,0,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Excit,NA,14
Excit.L5.1,carrier,18607,0,0,0,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Excit,NA,24
Excit.L5.2,carrier,13343,19,3,16,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Excit,NA,9
Excit.L6_CT,carrier,15211,0,0,0,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Excit,NA,16
Excit.L6b,carrier,15739,0,0,0,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Excit,NA,18
Inhib.Lamp5_Lhx6,carrier,14063,0,0,0,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Inhib,NA,26
Inhib.Pvalb,carrier,15219,0,0,0,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Inhib,NA,26
Inhib.Vip,carrier,19549,14,0,14,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Inhib,NA,30
Inhib.Chandelier,carrier,8999,0,0,0,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Inhib,NA,14
Inhib.Sst,carrier,12194,2,0,2,carrier,vlmf_model_summary_sn_fine.csv,sn_fine,Inhib,NA,26
Vasc~Sp09D08,NA,9014,0,0,0,carrier_anc,vlmf_ancestry_model_summary_Visium.csv,Visium,NA,carrier_AA,16
Vasc~Sp09D08,NA,9014,0,0,0,carrier_anc,vlmf_ancestry_model_summary_Visium.csv,Visium,NA,carrier_EA,14
L1~Sp09D05,NA,11594,0,0,0,carrier_anc,vlmf_ancestry_model_summary_Visium.csv,Visium,NA,carrier_AA,16
L1~Sp09D05,NA,11594,0,0,0,carrier_anc,vlmf_ancestry_model_summary_Visium.csv,Visium,NA,carrier_EA,14
L2.3~Sp09D01,NA,14006,0,0,0,carrier_anc,vlmf_ancestry_model_summary_Visium.csv,Visium,NA,carrier_AA,16
L2.3~Sp09D01,NA,14006,0,0,0,carrier_anc,vlmf_ancestry_model_summary_Visium.csv,Visium,NA,carrier_EA,14
LD~Sp09D02,NA,15053,0,0,0,carrier_anc,vlmf_ancestry_model_summary_Visium.csv,Visium,NA,carrier_AA,16
LD~Sp09D02,NA,15053,0,0,0,carrier_anc,vlmf_ancestry_model_summary_Visium.csv,Visium,NA,carrier_EA,14
Inhib~Sp09D09,NA,12207,0,0,0,carrier_anc,vlmf_ancestry_model_summary_Visium.csv,Visium,NA,carrier_AA,16
Inhib~Sp09D09,NA,12207,0,0,0,carrier_anc,vlmf_ancestry_model_summary_Visium.csv,Visium,NA,carrier_EA,14
L5~Sp09D03,NA,14322,0,0,0,carrier_anc,vlmf_ancestry_model_summary_Visium.csv,Visium,NA,carrier_AA,16
L5~Sp09D03,NA,14322,0,0,0,carrier_anc,vlmf_ancestry_model_summary_Visium.csv,Visium,NA,carrier_EA,14
L6~Sp09D04,NA,13930,0,0,0,carrier_anc,vlmf_ancestry_model_summary_Visium.csv,Visium,NA,carrier_AA,16
L6~Sp09D04,NA,13930,0,0,0,carrier_anc,vlmf_ancestry_model_summary_Visium.csv,Visium,NA,carrier_EA,14
WM.uf~Sp09D07,NA,3172,15,7,8,carrier_anc,vlmf_ancestry_model_summary_Visium.csv,Visium,NA,carrier_AA,16
WM.uf~Sp09D07,NA,3172,1,0,1,carrier_anc,vlmf_ancestry_model_summary_Visium.csv,Visium,NA,carrier_EA,14
WM~Sp09D06,NA,9409,0,0,0,carrier_anc,vlmf_ancestry_model_summary_Visium.csv,Visium,NA,carrier_AA,16
WM~Sp09D06,NA,9409,1,0,1,carrier_anc,vlmf_ancestry_model_summary_Visium.csv,Visium,NA,carrier_EA,14
Astro,NA,18320,98,91,7,carrier_anc,vlmf_ancestry_model_summary_sn_broad.csv,sn_broad,NA,carrier_AA,16
Astro,NA,18320,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_broad.csv,sn_broad,NA,carrier_EA,14
Macro,NA,2931,2,2,0,carrier_anc,vlmf_ancestry_model_summary_sn_broad.csv,sn_broad,NA,carrier_AA,8
Macro,NA,2931,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_broad.csv,sn_broad,NA,carrier_EA,10
Micro,NA,14350,3,1,2,carrier_anc,vlmf_ancestry_model_summary_sn_broad.csv,sn_broad,NA,carrier_AA,16
Micro,NA,14350,1,1,0,carrier_anc,vlmf_ancestry_model_summary_sn_broad.csv,sn_broad,NA,carrier_EA,14
Oligo,NA,21175,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_broad.csv,sn_broad,NA,carrier_AA,16
Oligo,NA,21175,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_broad.csv,sn_broad,NA,carrier_EA,14
OPC,NA,17290,0,0,0,carrier_anc,vlmf_ancestry_model_summary_sn_broad.csv,sn_broad,NA,carrier_AA,16
