"cluster","pval01","FDR05"
"nnA_far_APOE_high_Inhib",10,0
"nnA_far_APOE_high_L1a",10,0
"nnA_far_APOE_high_L1b",11,0
"nnA_far_APOE_high_L2.3",11,0
"nnA_far_APOE_high_L5",28,0
"nnA_far_APOE_high_L6",39,0
"nnA_far_APOE_high_Vasc",16,0
"nnA_far_APOE_high_WM",53,0
"nnA_far_APOE_high_WMtz",35,0
"nnA_far_APOE_low_Inhib",19,0
"nnA_far_APOE_low_L1a",5,0
"nnA_far_APOE_low_L1b",14,0
"nnA_far_APOE_low_L2.3",13,0
"nnA_far_APOE_low_L5",22,0
"nnA_far_APOE_low_L6",36,0
"nnA_far_APOE_low_Vasc",19,0
"nnA_far_APOE_low_WM",36,0
"nnA_far_APOE_low_WMtz",21,0
"nnA_near_APOE_high_Inhib",7,0
"nnA_near_APOE_high_L1a",7,0
"nnA_near_APOE_high_L1b",20,0
"nnA_near_APOE_high_L5",37,0
"nnA_near_APOE_high_L6",33,0
"nnA_near_APOE_high_Vasc",5,0
"nnA_near_APOE_high_WM",60,0
"nnA_near_APOE_high_WMtz",44,0
"nnA_near_APOE_low_Inhib",4,0
"nnA_near_APOE_low_L1a",8,0
"nnA_near_APOE_low_L1b",18,0
"nnA_near_APOE_low_L2.3",5,1
"nnA_near_APOE_low_L5",25,0
"nnA_near_APOE_low_L6",27,0
"nnA_near_APOE_low_Vasc",3,0
"nnA_near_APOE_low_WM",40,0
"nnA_near_APOE_low_WMtz",36,0
