Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to11,Feature log2 fold change topic 6to11
ENSG00000228794,LINC01128,13,-0.6942,21,-0.0177,9,-1.2288,24,0.50841
ENSG00000188976,NOC2L,81,0.96877,50,0.21704,34,-0.4479,38,-0.4685
ENSG00000188290,HES4,58,-0.6130,103,0.36371,79,-0.1307,84,-0.0928
ENSG00000187608,ISG15,12,-2.9674,148,1.02510,76,-0.3246,82,-0.3750
ENSG00000188157,AGRN,57,0.41486,46,0.10589,31,-0.5459,42,-0.0854
ENSG00000078808,SDF4,83,0.39385,71,0.19094,57,-0.1898,60,-0.2427
ENSG00000176022,B3GALT6,44,0.45614,36,0.17843,18,-0.9503,32,-0.0768
ENSG00000160087,UBE2J2,87,1.38773,45,0.36985,27,-0.5289,28,-0.8397
ENSG00000131584,ACAP3,99,0.26400,83,-0.0172,53,-0.7099,87,0.11315
ENSG00000169972,PUSL1,7,-0.8421,19,0.82833,8,-0.6460,12,-0.3358
ENSG00000127054,INTS11,46,-0.0173,70,0.87354,42,-0.1510,36,-0.7274
ENSG00000224051,CPTP,38,0.28323,41,0.52149,15,-1.1654,29,-0.2693
ENSG00000107404,DVL1,59,-0.1862,61,-0.1775,68,0.02694,71,0.18927
ENSG00000175756,AURKAIP1,183,-0.0530,225,0.35247,211,0.17281,169,-0.3380
ENSG00000221978,CCNL2,47,0.41158,41,0.27610,37,0.03850,31,-0.3948
ENSG00000242485,MRPL20,181,-0.0429,190,0.04086,201,0.12058,182,-0.0602
ENSG00000235098,ANKRD65,10,-0.1763,8,-0.5508,26,1.39875,10,-0.2270
ENSG00000179403,VWA1,53,1.10010,10,-1.6351,121,2.75346,15,-1.3971
ENSG00000197785,ATAD3A,31,0.91739,20,0.30331,16,-0.1031,14,-0.6132
ENSG00000205090,TMEM240,24,-0.7322,56,0.74497,26,-0.6166,36,-0.2857
ENSG00000160075,SSU72,134,-0.0398,161,0.32884,102,-0.4579,132,-0.1285
