Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000228794,LINC01128,2,-3.5466,18,-0.3798,18,-0.4009,35,0.64733,38,0.75902,28,0.30694,36,0.66151,16,-0.6068,18,-0.4132
ENSG00000188976,NOC2L,60,0.17610,15,-1.9204,24,-1.2324,48,-0.1579,64,0.29934,74,0.67493,65,0.30352,54,0.01807,44,-0.3248
ENSG00000188290,HES4,46,-0.7848,164,1.25750,66,-0.2142,60,-0.3628,62,-0.3304,77,0.00670,75,-0.0256,63,-0.3070,75,-0.0287
ENSG00000187608,ISG15,62,-0.4462,144,0.91218,62,-0.4450,70,-0.2522,81,-0.0268,79,-0.0671,62,-0.4439,38,-1.1602,115,0.60166
ENSG00000188157,AGRN,17,-1.3875,33,-0.3655,31,-0.4512,46,0.13707,81,1.06045,47,0.21400,44,0.05739,30,-0.5061,41,-0.0438
ENSG00000131591,C1orf159,5,-1.3667,7,-0.8706,22,0.79787,20,0.66084,12,-0.0684,13,0.02035,17,0.39436,7,-0.9686,13,0.06362
ENSG00000078808,SDF4,10,-3.0108,104,0.45506,56,-0.5164,108,0.51452,57,-0.4859,85,0.16005,83,0.09776,85,0.13690,90,0.24383
ENSG00000176022,B3GALT6,0,-5.5172,14,-1.4508,36,-0.0104,53,0.61431,42,0.23883,43,0.34291,30,-0.2935,41,0.18589,44,0.35849
ENSG00000160087,UBE2J2,29,-0.7943,27,-0.8641,35,-0.4911,68,0.55086,60,0.34823,48,0.01147,56,0.24101,42,-0.2222,58,0.32030
ENSG00000162572,SCNN1D,5,-1.3571,23,0.80551,8,-0.7076,6,-1.2286,18,0.40265,14,0.08665,16,0.23075,23,0.79882,11,-0.3346
ENSG00000131584,ACAP3,186,0.76665,61,-0.9816,95,-0.3074,143,0.33605,135,0.24501,99,-0.2821,92,-0.3500,157,0.48507,110,-0.0832
ENSG00000169972,PUSL1,0,-4.0553,14,0.11849,13,0.05064,7,-0.8626,9,-0.5731,13,0.05092,14,0.08873,16,0.36505,21,0.84155
ENSG00000127054,INTS11,61,-0.0378,68,0.15466,47,-0.4181,64,0.04429,68,0.15456,56,-0.1886,70,0.20062,49,-0.3530,74,0.30497
ENSG00000224051,CPTP,19,-0.9498,27,-0.4427,29,-0.3403,34,-0.0695,45,0.37786,38,0.13247,42,0.26419,37,0.07418,40,0.19795
ENSG00000107404,DVL1,21,-1.6458,73,0.20581,112,0.88870,62,-0.0647,60,-0.1009,66,0.03459,74,0.20918,71,0.14756,52,-0.3754
ENSG00000175756,AURKAIP1,143,-0.3115,234,0.46171,200,0.21552,153,-0.2055,175,-0.0002,157,-0.2050,190,0.12914,211,0.29557,161,-0.1414
ENSG00000221978,CCNL2,56,-0.0609,67,0.21767,33,-0.8787,57,-0.0132,64,0.15469,70,0.35978,60,0.05151,46,-0.3486,52,-0.1776
ENSG00000242485,MRPL20,244,0.46530,188,0.04641,181,-0.0127,149,-0.3169,159,-0.2156,180,-0.0227,205,0.18541,171,-0.0958,175,-0.0678
ENSG00000235098,ANKRD65,0,-4.6615,31,0.61886,21,-0.0423,13,-0.7034,9,-1.2671,26,0.38056,17,-0.3236,41,1.04399,22,0.08806
ENSG00000179403,VWA1,0,-5.2382,102,2.12230,24,-0.3151,8,-1.9399,13,-1.2170,41,0.62490,36,0.29896,12,-1.3965,20,-0.6699
ENSG00000160072,ATAD3B,28,0.89850,7,-1.0911,13,-0.2598,13,-0.3251,17,0.16291,12,-0.4658,20,0.39302,19,0.30649,17,0.14829
ENSG00000197785,ATAD3A,16,-0.2288,19,0.01681,12,-0.7131,22,0.25340,29,0.65385,20,0.11827,19,-0.0473,21,0.17114,15,-0.4341
ENSG00000205090,TMEM240,124,1.48133,11,-2.2140,39,-0.3990,43,-0.2549,48,-0.0973,42,-0.3590,44,-0.2371,56,0.14948,59,0.27871
ENSG00000160075,SSU72,44,-1.8487,117,-0.3759,158,0.09499,195,0.42976,155,0.06475,141,-0.0931,148,-5.0153,160,0.11479,191,0.44883
ENSG00000228594,FNDC10,95,1.13588,21,-1.2134,33,-0.5625,48,0.00489,33,-0.5625,60,0.47399,69,0.58842,28,-0.7861,31,-0.7032
ENSG00000272106,AL691432.2,0,-4.6790,14,-0.6176,20,-0.0388,14,-0.5889,24,0.20029,16,-0.5335,22,0.09363,36,0.87983,37,1.02134
ENSG00000197530,MIB2,123,1.47133,72,0.56694,40,-0.3634,49,-0.0347,48,-0.0880,45,-0.1941,32,-0.7075,42,-0.2916,32,-0.7513
ENSG00000215790,SLC35E2A,15,-1.7181,32,-0.6328,45,-0.1092,59,0.32792,23,-1.1444,55,0.25330,57,0.24809,41,-0.2666,72,0.70633
ENSG00000008130,NADK,0,-5.3654,27,-0.2783,40,0.33942,36,0.17385,47,0.59796,38,0.28954,28,-0.2294,48,0.62276,24,-0.4630
ENSG00000078369,GNB1,422,-0.1429,247,-0.9631,431,-0.1115,506,0.14132,373,-0.3335,525,0.24825,533,0.22363,511,0.15787,476,0.05137
ENSG00000187730,GABRD,46,-1.8535,23,-2.8286,110,-0.5481,273,0.90283,146,-0.1079,123,-0.4466,165,0.08419,209,0.45780,269,1.00066
ENSG00000067606,PRKCZ,99,-1.2611,57,-2.0759,173,-0.4137,269,0.27804,230,0.02722,288,0.48754,244,0.12025,211,-0.1059,282,0.39363
ENSG00000162585,FAAP20,33,-0.7911,108,1.08560,61,0.14184,27,-1.0894,30,-0.9376,60,0.14605,98,0.91180,40,-0.5009,45,-0.3573
ENSG00000157933,SKI,7,-2.3550,42,0.25684,31,-0.2057,33,-0.1535,69,1.05088,41,0.27084,29,-0.3120,48,0.45020,24,-0.6663
ENSG00000157916,RER1,92,0.28616,70,-0.1280,63,-0.2989,84,0.14534,52,-0.5836,64,-0.3348,84,0.14010,71,-0.1244,105,0.57031
ENSG00000157911,PEX10,56,0.63950,44,0.23089,48,0.38736,30,-0.3700,31,-0.3069,36,-0.1097,42,0.15155,41,0.14639,27,-0.5531
ENSG00000149527,PLCH2,2,-4.0145,8,-2.1726,25,-0.4619,51,0.65546,46,0.47902,49,0.74804,51,0.66024,10,-1.8243,33,-0.0126
ENSG00000157881,PANK4,1,-4.1917,8,-1.1694,13,-0.4411,12,-0.5985,9,-0.9584,18,0.03366,38,1.20809,30,0.82870,24,0.53868
ENSG00000197921,HES5,10,-1.2657,39,0.79683,50,1.20248,10,-1.2631,17,-0.5226,37,0.93066,21,-0.1975,11,-1.1414,8,-1.7372
ENSG00000157873,TNFRSF14,0,-4.2466,21,0.52279,12,-0.2526,17,0.18110,22,0.62927,9,-0.8170,5,-1.4358,16,0.08651,28,1.18410
ENSG00000157870,PRXL2B,97,0.24495,32,-1.4350,86,0.05917,103,0.35164,88,0.09531,109,0.54704,63,-0.4309,46,-0.9123,77,-0.1306
ENSG00000177133,PRDM16-DT,41,0.68404,17,-0.7287,57,1.21438,4,-2.6027,15,-0.8927,35,0.50021,18,-0.6177,23,-0.2590,22,-0.3212
ENSG00000158109,TPRG1L,79,-1.3443,47,-2.1302,163,-0.2608,230,0.28524,230,0.28471,235,0.39619,188,-0.0352,264,0.50528,201,0.07934
ENSG00000116213,WRAP73,28,0.97141,18,0.23417,12,-0.4046,14,-0.1813,10,-0.6440,15,-0.0538,20,0.38579,12,-0.3328,13,-0.2719
ENSG00000130764,LRRC47,6,-3.7679,41,-1.0791,71,-0.2535,102,0.31447,91,0.14200,99,0.34260,128,0.68643,94,0.19156,85,0.03175
ENSG00000116198,CEP104,2,-2.7036,22,0.68786,9,-0.6488,17,0.20063,22,0.64492,19,0.50684,3,-2.1656,21,0.58916,11,-0.5110
ENSG00000196581,AJAP1,42,-0.1152,7,-2.7228,37,-0.2794,77,0.87297,46,0.03644,36,-0.3824,42,-0.0930,62,0.50385,58,0.45295
ENSG00000069424,KCNAB2,83,-1.6327,111,-1.2015,299,0.33108,202,-0.2889,295,0.30691,258,0.11326,191,-0.3746,282,0.23647,340,0.60504
ENSG00000116254,CHD5,76,-0.9334,34,-2.1291,131,-0.0926,153,0.15260,181,0.41964,192,0.65552,137,-0.0191,175,0.36327,103,-0.4968
ENSG00000116251,RPL22,966,0.76382,1240,1.18842,675,0.18167,306,-1.0351,422,-0.5500,472,-0.4514,627,0.06545,582,-0.0532,494,-0.3352
ENSG00000116237,ICMT,23,-0.9257,22,-1.0308,36,-0.2991,73,0.83917,51,0.24558,38,-0.2534,49,0.19809,39,-0.1590,57,0.47484
ENSG00000158292,GPR153,0,-4.3903,11,-0.5873,25,0.68581,17,0.06122,19,0.22007,14,-0.2377,14,-0.2715,18,0.12248,24,0.72301
ENSG00000097021,ACOT7,129,-1.2089,66,-2.1895,184,-0.6727,491,0.88618,397,0.53626,315,0.20307,251,-0.1932,300,0.08638,323,0.22387
ENSG00000215788,TNFRSF25,15,-0.6937,20,-0.2225,24,0.02793,31,0.45843,44,1.01635,11,-1.2204,22,-0.0763,36,0.68637,27,0.24085
ENSG00000171680,PLEKHG5,16,-0.9978,8,-2.0648,28,-0.2001,33,0.07884,25,-0.3384,27,-0.2716,32,0.01097,67,1.23437,44,0.58432
ENSG00000162408,NOL9,0,-5.4204,16,-1.1385,31,-0.1095,28,-0.2913,59,0.88809,48,0.73257,43,0.40114,31,-0.1479,26,-0.4476
ENSG00000162413,KLHL21,3,-3.4482,46,0.60259,28,-0.1817,40,0.37486,36,0.20650,38,0.35298,30,-0.0906,26,-0.2998,28,-0.1826
ENSG00000116273,PHF13,19,-0.0605,13,-0.6616,12,-0.7482,34,0.88413,25,0.35930,24,0.35749,19,-0.0395,13,-0.6182,15,-0.4260
ENSG00000041988,THAP3,0,-4.7897,27,0.33899,21,-0.0222,27,0.33534,15,-0.5150,18,-0.3509,40,0.99087,23,0.11360,26,0.31242
ENSG00000007923,DNAJC11,22,-0.5384,17,-0.8928,32,0.02645,48,0.69546,33,0.07334,34,0.15027,14,-1.1564,28,-0.1608,39,0.40722
ENSG00000171735,CAMTA1,155,-0.2584,204,0.16772,159,-0.2262,149,-0.3215,265,0.58963,199,0.15548,282,0.68853,158,-0.2286,116,-0.7555
ENSG00000049245,VAMP3,0,-5.1554,106,2.23745,32,0.15179,7,-2.0557,19,-0.6226,33,0.23511,26,-0.1497,20,-0.5548,19,-0.6547
ENSG00000049246,PER3,69,1.06883,52,0.57750,37,0.02760,26,-0.4828,37,0.04222,32,-0.1957,46,0.40690,17,-1.1020,25,-0.6182
ENSG00000116288,PARK7,425,0.13005,374,-0.0719,426,0.13372,345,-0.1953,274,-0.5511,361,-0.1499,389,-0.0093,485,0.34024,447,0.23174
ENSG00000116285,ERRFI1,0,-4.7653,17,-0.3652,10,-1.1334,33,0.71737,31,0.57677,29,0.59460,21,0.01378,23,0.09931,17,-0.3716
ENSG00000162426,SLC45A1,3,-3.5239,10,-1.8159,37,0.08484,78,1.29760,39,0.18255,37,0.08848,32,-0.1654,31,-0.1955,41,0.25494
ENSG00000142599,RERE,46,-1.2538,101,-0.0608,104,-0.0145,132,0.37117,166,0.73720,91,-0.2656,90,-0.2397,119,0.20372,113,0.13808
ENSG00000074800,ENO1,462,-0.5540,749,0.19992,621,-0.0974,716,0.12812,509,-0.4039,567,-0.2877,642,-0.0454,741,0.18296,892,0.53902
ENSG00000171612,SLC25A33,1,-4.9057,75,1.29114,61,0.93071,20,-0.7691,28,-0.3055,42,0.43031,21,-0.7548,27,-0.3367,24,-0.5537
ENSG00000188807,TMEM201,7,-1.1720,11,-0.4755,14,-0.0873,14,-0.1083,7,-1.2220,25,1.08154,29,1.01420,5,-1.5285,9,-0.7477
ENSG00000171603,CLSTN1,588,-0.2787,305,-1.2784,430,-0.7607,1166,0.81824,713,0.02189,799,0.25019,566,-0.3385,755,0.11199,760,0.13586
ENSG00000178585,CTNNBIP1,43,0.16820,31,-0.3391,48,0.37136,24,-0.7220,32,-0.2938,45,0.33517,64,0.83467,24,-0.6849,29,-0.4892
ENSG00000162441,LZIC,25,-0.4762,63,1.01910,36,0.11463,25,-0.4274,20,-0.7598,37,0.16641,29,-0.2430,31,-0.1357,32,-0.0789
ENSG00000130939,UBE4B,5,-2.7768,24,-0.5886,22,-0.7113,50,0.52864,33,-0.1183,48,0.59233,53,0.63482,33,-0.1330,32,-0.1877
ENSG00000054523,KIF1B,159,-0.7525,143,-0.9155,268,0.04999,282,0.13013,315,0.30374,329,0.47183,233,-0.1685,267,0.04272,232,-0.1938
ENSG00000142657,PGD,26,-0.9237,38,-0.3272,33,-0.5715,61,0.39915,56,0.26715,67,0.69690,47,-0.0184,30,-0.6937,39,-0.3329
ENSG00000241563,CORT,8,-3.2929,34,-1.2699,38,-1.0958,22,-1.9271,8,-3.3935,199,2.36515,136,0.88863,15,-2.4244,42,-1.0327
ENSG00000160049,DFFA,66,1.35601,37,0.41956,31,0.09812,16,-0.8949,24,-0.2412,23,-0.3811,19,-0.6561,16,-0.8732,33,0.23474
ENSG00000142655,PEX14,0,-4.7314,16,-0.4317,24,0.19932,26,0.37170,22,0.08269,19,-0.1770,25,0.28612,27,0.42057,26,0.40963
ENSG00000120948,TARDBP,52,-0.4886,65,-0.1432,59,-0.2903,100,0.53914,77,0.11846,65,-0.1691,71,-0.0025,73,0.04732,81,0.22672
ENSG00000116649,SRM,88,-0.4130,80,-0.5606,129,0.18808,124,0.12190,121,0.08764,104,-0.1901,133,0.23495,99,-0.2282,146,0.42171
ENSG00000171824,EXOSC10,44,0.70112,28,0.02426,20,-0.5161,33,0.24741,30,0.09629,24,-0.3111,40,0.57038,22,-0.3827,24,-0.2382
ENSG00000198793,MTOR,0,-5.6260,25,-0.7046,34,-0.2338,59,0.65708,44,0.19979,39,-0.0113,58,0.61912,47,0.28362,43,0.16304
ENSG00000204624,DISP3,5,-1.4163,26,0.96638,13,-0.1110,16,0.20395,14,0.00870,4,-2.0405,8,-0.9034,52,2.21879,12,-0.2808
ENSG00000116661,FBXO2,141,-1.2794,1211,2.30019,399,0.32288,220,-0.6078,214,-0.6493,248,-0.5023,220,-0.6080,222,-0.5916,269,-0.3238
ENSG00000132879,FBXO44,128,-0.4002,56,-1.6316,119,-0.5081,224,0.48151,216,0.42612,183,0.19567,212,0.39702,144,-0.2145,168,0.03070
ENSG00000116670,MAD2L2,0,-5.3169,46,0.62763,29,-0.1090,35,0.16387,32,0.05348,26,-0.3350,28,-0.1940,47,0.63583,40,0.42589
ENSG00000177674,AGTRAP,16,0.11040,66,2.70008,11,-0.3894,1,-3.2530,8,-0.9287,13,-0.1558,10,-0.6217,14,-0.1070,4,-1.7692
ENSG00000177000,MTHFR,11,-0.7457,24,0.42140,9,-0.9899,22,0.26665,19,0.01819,22,0.34452,17,-0.1547,22,0.25678,16,-0.2668
ENSG00000011021,CLCN6,21,-1.7113,24,-1.5184,47,-0.5375,108,0.76809,107,0.76467,98,0.79302,72,0.11562,58,-0.2280,35,-1.0580
ENSG00000116685,KIAA2013,51,0.25746,41,-0.1049,30,-0.5932,45,0.06077,53,0.31410,40,-0.1617,50,0.21750,42,-0.0551,45,0.06900
ENSG00000083444,PLOD1,0,-4.6508,35,0.92914,18,-0.1059,19,-0.0599,12,-0.7011,26,0.54121,23,0.25846,14,-0.5196,18,-0.1420
ENSG00000116688,MFN2,23,-1.8820,52,-0.6741,69,-0.2562,107,0.43337,102,0.35040,106,0.53793,87,0.11381,53,-0.6601,82,0.01383
ENSG00000116691,MIIP,0,-4.6532,30,0.64562,16,-0.2711,12,-0.7296,15,-0.3649,27,0.63468,30,0.68134,21,0.11352,15,-0.4708
ENSG00000048707,VPS13D,146,1.66733,41,-0.4411,39,-0.4965,52,-0.0453,61,0.18241,51,-0.0958,39,-0.5052,38,-0.5582,39,-0.5243
ENSG00000162496,DHRS3,1,-4.4097,101,2.44662,23,-0.1591,12,-1.1268,10,-1.3215,27,0.12012,32,0.38363,16,-0.6495,13,-1.0642
ENSG00000116731,PRDM2,117,0.82635,27,-1.4507,40,-0.8704,70,0.00367,109,0.70113,60,-0.3027,40,-0.8546,62,-0.1868,99,0.61714
ENSG00000189337,KAZN,19,-1.0367,48,0.35567,29,-0.4581,30,-0.4106,30,-0.3836,62,0.98841,64,0.79668,17,-1.2059,21,-1.0199
ENSG00000142634,EFHD2,4,-4.3824,33,-1.4353,28,-1.6949,61,-0.5073,97,0.20807,218,2.40918,74,-0.2279,35,-1.3605,18,-2.4464
ENSG00000116138,DNAJC16,58,1.19495,6,-2.1524,12,-1.2654,33,0.28170,30,0.13287,25,-0.1649,27,-0.0258,24,-0.2329,33,0.30515
ENSG00000197312,DDI2,29,0.19422,6,-2.0617,12,-1.0887,35,0.48957,28,0.11167,41,0.96255,34,0.42960,13,-1.0244,15,-0.9265
ENSG00000116786,PLEKHM2,26,-1.6964,62,-0.4183,106,0.41289,59,-0.4925,74,-0.1553,111,0.61611,67,-0.3003,52,-0.6784,100,0.35997
ENSG00000065526,SPEN,15,-0.9391,58,1.18702,28,-0.0142,24,-0.2458,19,-0.5815,29,0.07280,27,-0.0609,22,-0.3607,28,-0.0035
ENSG00000116809,ZBTB17,45,1.46550,20,0.12331,15,-0.3219,19,0.07962,21,0.19244,16,-0.2896,5,-1.8473,16,-0.2393,16,-0.1889
ENSG00000185519,FAM131C,0,-4.2084,4,-1.7972,18,0.31795,7,-1.1015,11,-0.4517,22,0.82759,37,1.51487,6,-1.2392,13,-0.1820
ENSG00000037637,FBXO42,2,-2.8624,16,0.08893,12,-0.3327,30,1.10000,26,0.86688,12,-0.4424,11,-0.4339,17,0.16352,16,0.07919
ENSG00000055070,SZRD1,12,-1.0857,80,1.94678,29,0.20716,9,-1.5745,24,-0.0712,19,-0.5170,17,-0.5960,32,0.37970,22,-0.2525
ENSG00000157191,NECAP2,0,-4.1411,44,1.95629,14,0.02031,3,-1.9387,10,-0.4234,15,0.21298,14,0.07664,9,-0.6317,11,-0.2798
ENSG00000058453,CROCC,0,-4.2320,21,0.57696,8,-0.9493,19,0.39533,26,0.94136,12,-0.4001,26,0.91178,19,0.40974,10,-0.5536
ENSG00000159363,ATP13A2,182,0.27752,47,-1.7782,122,-0.3443,202,0.44473,127,-0.2905,178,0.29639,223,0.60538,86,-0.8804,156,0.03221
ENSG00000117118,SDHB,92,-0.0196,71,-0.4073,92,-0.0133,88,-0.0885,79,-0.2491,90,-0.0589,110,0.25982,101,0.13559,106,0.22745
