Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to9,Feature log2 fold change topic 6to9
ENSG00000156052,GNAQ,16,-3.4458,290,1.19914,221,0.59999,106,-0.9675
ENSG00000135069,PSAT1,16,-3.2870,204,0.65543,252,1.12771,96,-0.9513
ENSG00000165119,HNRNPK,16,-4.7588,280,-0.6391,516,0.48198,502,0.64156
ENSG00000148053,NTRK2,16,-4.3482,366,0.36136,864,2.60050,62,-2.9927
ENSG00000187764,SEMA4D,16,-3.4383,204,0.44286,55,-1.8029,231,1.10948
ENSG00000136938,ANP32B,16,-4.8456,231,-1.0633,89,-2.5434,796,2.59600
ENSG00000136928,GABBR2,16,-3.9715,852,3.89951,180,-0.4606,5,-6.2856
ENSG00000241697,TMEFF1,16,-3.6040,579,3.08798,107,-0.9224,61,-2.1758
ENSG00000070214,SLC44A1,16,-4.3084,204,-0.6519,123,-1.4773,495,1.88242
ENSG00000136810,TXN,16,-3.4314,204,0.45258,189,0.30375,162,0.01336
ENSG00000198121,LPAR1,16,-4.5635,204,-0.9433,136,-1.5931,616,2.13843
ENSG00000173258,ZNF483,392,0.54232,618,1.72411,167,-0.9124,145,-1.4325
ENSG00000148180,GSN,352,-1.2981,2046,2.16075,325,-1.5421,549,-0.8911
ENSG00000148175,STOM,16,-4.9704,205,-1.3952,166,-1.7245,857,2.49469
ENSG00000136942,RPL35,16,-6.9216,390,-2.4899,1093,-0.8673,3292,2.46280
ENSG00000197958,RPL12,16,-6.3154,218,-2.7356,584,-1.2063,2248,2.79216
ENSG00000136854,STXBP1,16,-4.3951,1077,3.51334,239,-0.4803,41,-3.6809
ENSG00000160408,ST6GALNAC6,16,-4.1560,708,2.35283,288,0.15621,94,-2.0906
ENSG00000171159,C9orf16,16,-4.5801,555,0.89814,417,0.30745,308,-0.3469
ENSG00000106976,DNM1,16,-5.0585,1711,3.53818,493,-0.0065,7,-6.9674
ENSG00000207955,AL359091.1,16,-4.1224,223,-0.2696,42,-2.9319,446,2.02625
ENSG00000167123,CERCAM,16,-3.7373,204,0.04667,54,-2.1295,314,1.55503
ENSG00000197694,SPTAN1,16,-4.2900,478,1.01044,389,0.56660,216,-0.6932
ENSG00000119335,SET,16,-4.4343,423,0.53106,123,-1.6172,446,1.00888
ENSG00000160445,ZER1,16,-3.8480,721,3.36842,158,-0.5458,39,-3.1853
ENSG00000148341,SH3GLB2,16,-4.1118,614,1.98178,221,-0.2740,157,-1.1019
ENSG00000119383,PTPA,16,-4.2241,751,2.39444,279,0.00910,106,-1.9688
ENSG00000107130,NCS1,16,-3.5895,205,0.25336,531,2.73811,32,-3.2063
ENSG00000126878,AIF1L,16,-4.6361,204,-1.0297,88,-2.3437,681,2.49934
ENSG00000130723,PRRC2B,16,-4.0582,464,1.31938,129,-1.1239,257,0.09301
ENSG00000160271,RALGDS,16,-3.7245,279,0.68481,197,0.00473,201,0.05053
ENSG00000148303,RPL7A,639,-1.0935,298,-2.3939,646,-1.1820,2258,2.15855
ENSG00000130558,OLFM1,16,-5.3039,1177,1.49572,954,0.98892,248,-1.7814
