Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000228794,LINC01128,24,0.35987,19,0.05861,9,-1.0839,17,-0.1825,22,0.26505,23,0.34487,24,0.42790,16,-0.2428,13,-0.5816,21,0.15330,13,-0.5277
ENSG00000188976,NOC2L,64,0.94044,53,0.63278,29,-0.3067,33,-0.1097,49,0.50513,42,0.24941,40,0.18602,10,-1.9397,29,-0.3360,21,-0.7756,18,-0.9881
ENSG00000188290,HES4,61,-0.3586,85,0.14345,56,-0.5113,56,-0.5081,49,-0.6878,68,-0.2034,66,-0.2701,240,1.92764,56,-0.4959,71,-0.1425,56,-0.5091
ENSG00000187608,ISG15,80,-0.2020,69,-0.4230,92,0.01013,67,-0.4718,85,-0.1129,78,-0.2441,110,0.33013,177,1.08302,60,-0.6482,61,-0.6218,105,0.22482
ENSG00000188157,AGRN,17,0.03197,17,0.02549,14,-0.2681,12,-0.5224,25,0.64599,20,0.31014,22,0.45527,17,-0.0171,8,-1.0857,12,-0.4658,15,-0.1805
ENSG00000078808,SDF4,69,0.18703,64,0.07066,71,0.23688,48,-0.3618,74,0.30637,59,-0.0632,67,0.15465,80,0.42005,42,-0.5751,49,-0.3396,44,-0.5087
ENSG00000176022,B3GALT6,40,0.30576,38,0.19763,26,-0.3626,26,-0.3856,27,-0.3222,39,0.27137,46,0.58054,46,0.52328,23,-0.5825,26,-0.3718,15,-1.1961
ENSG00000160087,UBE2J2,50,0.42023,45,0.24278,41,0.09893,60,0.71969,37,-0.0712,34,-0.1683,48,0.38073,23,-0.7586,27,-0.5432,27,-0.5639,21,-0.8905
ENSG00000131584,ACAP3,71,0.32381,39,-0.5930,67,0.23977,42,-0.5096,97,0.83462,63,0.12827,69,0.32072,56,-0.0457,36,-0.7296,43,-0.4594,41,-0.5268
ENSG00000127054,INTS11,49,0.22812,27,-0.6707,58,0.48650,54,0.39474,46,0.14175,55,0.40649,62,0.66603,31,-0.5010,14,-1.6481,26,-0.7167,25,-0.8051
ENSG00000224051,CPTP,36,0.31985,19,-0.6672,22,-0.4548,23,-0.3314,23,-0.3322,45,0.71090,48,0.91798,33,0.19640,16,-0.9062,18,-0.7300,17,-0.7683
ENSG00000107404,DVL1,32,-0.6261,44,-0.1797,60,0.32085,51,0.06189,59,0.29833,37,-0.4246,51,0.07739,45,-0.1256,45,-0.1410,58,0.28006,53,0.13399
ENSG00000175756,AURKAIP1,116,-0.7101,155,-0.2595,201,0.14353,209,0.21085,196,0.10467,206,0.18460,237,0.45532,126,-0.5791,135,-0.4725,154,-0.2703,228,0.34457
ENSG00000221978,CCNL2,53,0.48033,36,-0.1558,23,-0.8001,28,-0.5320,43,0.15331,46,0.22578,57,0.65164,52,0.45068,20,-1.0468,26,-0.6353,32,-0.3106
ENSG00000242485,MRPL20,178,-0.2295,212,0.04173,195,-0.0903,241,0.24727,153,-0.4603,240,0.24267,206,-0.0005,183,-0.1839,200,-0.0494,234,0.20014,226,0.14401
ENSG00000235098,ANKRD65,17,-0.2656,23,0.18822,34,0.77302,27,0.41731,23,0.13608,19,-0.1053,20,-0.0827,15,-0.4600,20,-0.0611,12,-0.8525,19,-0.1559
ENSG00000179403,VWA1,31,0.27056,58,1.33100,5,-2.2620,10,-1.3793,11,-1.2082,16,-0.7316,11,-1.4063,60,1.38282,38,0.61493,24,-0.1266,35,0.47287
