Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to12,Feature log2 fold change topic 7to12
ENSG00000228794,LINC01128,27,0.66058,7,-1.4568,24,0.52316,4,-2.1894,20,0.36932
ENSG00000188976,NOC2L,27,-0.5226,26,-0.6199,55,0.65818,51,0.46906,36,-0.1521
ENSG00000188290,HES4,27,-1.4044,34,-1.1051,74,0.14166,23,-1.6239,92,1.03694
ENSG00000187608,ISG15,27,-1.4745,38,-1.0208,95,0.49949,34,-1.1417,88,0.69777
ENSG00000188157,AGRN,27,-0.2268,35,0.20468,35,0.20729,15,-1.1308,32,0.07593
ENSG00000131591,C1orf159,27,1.21315,10,-0.3903,13,0.11408,24,1.00530,9,-0.8221
ENSG00000078808,SDF4,27,-1.4014,87,0.42433,71,0.04781,82,0.27274,67,-0.0874
ENSG00000176022,B3GALT6,27,0.09292,15,-0.8892,35,0.55536,8,-1.7458,28,0.35152
ENSG00000160087,UBE2J2,27,-0.3972,29,-0.3305,53,0.75791,12,-1.5428,36,0.08782
ENSG00000162572,SCNN1D,27,1.13072,12,-0.1904,11,-0.3509,18,0.43962,12,-0.3506
ENSG00000131584,ACAP3,324,2.36622,53,-0.7579,83,-0.0187,70,-0.2986,57,-0.9478
ENSG00000127054,INTS11,27,-0.8855,61,0.43083,61,0.41121,55,0.21926,42,-0.3774
ENSG00000224051,CPTP,27,0.13892,21,-0.2237,35,0.61823,6,-2.0336,25,0.03563
ENSG00000107404,DVL1,27,-1.0873,49,-0.2025,43,-0.4299,53,-0.0687,66,0.59619
ENSG00000175756,AURKAIP1,27,-2.6831,190,0.27499,176,0.13367,192,0.26279,167,0.07455
ENSG00000221978,CCNL2,27,-0.8491,52,0.17249,56,0.30835,48,0.04978,45,-0.0951
ENSG00000224870,MRPL20-AS1,27,1.40893,14,0.35270,10,-0.1684,10,-0.1842,8,-0.7249
ENSG00000242485,MRPL20,27,-2.8085,187,0.09782,195,0.16980,192,0.12345,190,0.21463
ENSG00000235098,ANKRD65,355,3.57425,45,-0.3762,23,-1.4496,21,-1.4619,28,-1.6125
ENSG00000179403,VWA1,52,-0.6882,247,2.36855,26,-1.8156,138,0.86897,39,-1.6443
ENSG00000197785,ATAD3A,27,0.83409,11,-0.5256,24,0.77144,16,-0.0284,13,-0.5717
ENSG00000205090,TMEM240,27,0.00485,12,-1.2338,36,0.53650,22,-0.2790,29,0.25152
ENSG00000160075,SSU72,27,-2.3246,92,-0.5477,172,0.53552,163,0.39620,135,0.17463
ENSG00000228594,FNDC10,27,0.14980,6,-2.1634,23,-0.0603,3,-2.9431,34,1.17477
ENSG00000272106,AL691432.2,27,0.39607,21,-0.0138,24,0.26368,14,-0.5915,20,-0.1310
ENSG00000197530,MIB2,27,-0.4020,26,-0.5070,34,-0.0476,71,1.14484,34,-0.0995
ENSG00000189339,SLC35E2B,27,-0.1021,23,-0.3532,29,0.03216,25,-0.2294,31,0.25919
ENSG00000215790,SLC35E2A,27,0.24151,16,-0.5663,25,0.15291,15,-0.6204,25,0.26748
ENSG00000008130,NADK,27,0.14471,28,0.23312,28,0.25944,26,0.09765,21,-0.3682
ENSG00000078369,GNB1,28,-3.7388,248,-0.5569,462,0.52112,270,-0.3842,404,0.49790
ENSG00000187730,GABRD,27,-1.4710,3,-4.4175,137,1.23421,47,-0.6408,83,0.48893
ENSG00000067606,PRKCZ,27,-2.5349,70,-1.2047,223,0.75396,109,-0.4675,174,0.52990
ENSG00000162585,FAAP20,27,-1.1214,70,0.37567,44,-0.3995,51,-0.1478,62,0.26840
ENSG00000157933,SKI,56,0.98467,34,0.17854,17,-0.9880,17,-0.8909,32,0.14225
ENSG00000157916,RER1,27,-1.3639,85,0.44280,82,0.36827,67,0.01767,61,-0.2157
ENSG00000157911,PEX10,27,-0.1963,47,0.80001,29,-0.1115,10,-1.7022,30,-0.0875
ENSG00000149527,PLCH2,27,0.63386,21,0.23360,16,-0.2128,16,-0.1814,17,-0.2045
ENSG00000157881,PANK4,27,0.76528,8,-1.1564,31,1.14952,2,-2.7082,15,-0.2151
ENSG00000157870,PRXL2B,27,-0.5637,20,-1.0657,57,0.68219,23,-0.7690,44,0.35527
ENSG00000177133,PRDM16-DT,27,0.58335,11,-0.8665,4,-2.2945,7,-1.4267,26,1.28748
ENSG00000158109,TPRG1L,27,-2.3676,50,-1.5577,222,0.97576,119,-0.1510,147,0.35439
ENSG00000116213,WRAP73,27,1.09404,16,0.31423,12,-0.2330,13,-0.0759,11,-0.5041
ENSG00000130764,LRRC47,27,-1.3292,52,-0.3723,103,0.84622,43,-0.6439,66,0.06813
ENSG00000116198,CEP104,27,0.52670,28,0.64131,14,-0.5299,34,0.91438,14,-0.7155
ENSG00000198912,C1orf174,27,1.20470,16,0.42125,12,-0.0385,1,-3.6944,11,-0.3154
ENSG00000196581,AJAP1,27,-0.0209,12,-1.2955,44,0.85900,3,-3.2307,31,0.38691
ENSG00000069424,KCNAB2,27,-2.5993,38,-2.2046,215,0.60520,157,0.03803,192,0.73695
ENSG00000116254,CHD5,27,-1.5605,8,-3.3230,115,0.76666,64,-0.2583,95,0.74307
ENSG00000116251,RPL22,235,-1.3005,982,1.08096,348,-0.7630,801,0.60250,485,-0.3456
ENSG00000116237,ICMT,533,4.19014,21,-1.9225,37,-1.0412,28,-1.4123,29,-1.9615
ENSG00000097021,ACOT7,27,-3.0017,68,-1.7487,426,1.43428,167,-0.3022,208,0.07552
ENSG00000215788,TNFRSF25,27,0.90513,2,-2.8079,26,0.91795,21,0.45535,14,-0.3381
ENSG00000171680,PLEKHG5,27,0.60985,2,-3.3313,36,1.24292,10,-0.9149,18,-0.0495
ENSG00000162408,NOL9,27,0.11524,17,-0.6558,27,0.14135,19,-0.4226,28,0.30982
ENSG00000162413,KLHL21,27,-0.1749,34,0.20141,33,0.18396,36,0.30293,27,-0.2747
ENSG00000116273,PHF13,27,1.43213,11,0.04677,17,0.79753,0,-6.9510,8,-0.7486
ENSG00000041988,THAP3,27,0.60700,13,-0.5268,20,0.15057,22,0.27991,17,-0.1420
ENSG00000007923,DNAJC11,27,-0.0478,16,-0.9082,39,0.62965,16,-0.7942,30,0.21239
ENSG00000171735,CAMTA1,60,-1.3922,131,-0.2415,157,0.07042,196,0.41889,163,0.23082
ENSG00000049245,VAMP3,28,-1.1816,184,2.35329,14,-2.3123,103,0.86201,33,-1.3947
ENSG00000049246,PER3,27,-0.0051,47,1.00385,20,-0.5067,10,-1.4804,26,-0.1401
ENSG00000116288,PARK7,34,-3.3796,356,0.12341,418,0.40812,353,0.09672,341,0.08151
ENSG00000116285,ERRFI1,27,0.40490,25,0.31719,25,0.33728,15,-0.4975,18,-0.4014
ENSG00000162426,SLC45A1,27,0.15194,8,-1.6692,47,1.23189,6,-2.0286,25,0.04438
ENSG00000142599,RERE,107,0.34917,79,-0.1457,75,-0.2376,53,-0.7366,94,0.26825
ENSG00000074800,ENO1,358,-0.8715,606,-0.0674,774,0.36285,478,-0.4304,661,0.14222
ENSG00000142583,SLC2A5,27,0.50601,24,0.33106,5,-1.9987,17,-0.1624,22,0.35882
ENSG00000171612,SLC25A33,27,-1.0338,51,-0.0745,29,-0.9680,30,-0.8883,70,0.94607
ENSG00000188807,TMEM201,27,1.16977,11,-0.2182,12,-0.1410,4,-1.7395,13,0.02006
ENSG00000171608,PIK3CD,27,1.10706,3,-2.0545,16,0.29362,7,-1.0168,15,0.29204
ENSG00000171603,CLSTN1,27,-4.2146,200,-1.3738,837,1.09177,212,-1.2047,548,0.50524
ENSG00000178585,CTNNBIP1,27,-0.5001,38,0.01756,37,-0.0221,31,-0.2625,40,0.20959
ENSG00000162441,LZIC,462,3.66151,67,-0.1200,22,-1.8484,43,-0.7671,29,-1.9439
ENSG00000162444,RBP7,27,-0.0931,107,3.02702,4,-2.8230,59,1.17467,6,-3.1085
ENSG00000130939,UBE4B,27,-0.4245,34,-0.0498,46,0.45570,21,-0.7819,36,0.05294
ENSG00000054523,KIF1B,27,-3.1972,291,0.40908,263,0.22632,249,0.11236,232,0.00725
ENSG00000142657,PGD,27,-0.9315,52,0.08701,66,0.50683,33,-0.6394,50,0.01647
ENSG00000241563,CORT,27,-1.3171,24,-1.5737,115,1.08674,12,-2.4954,76,0.51219
ENSG00000160049,DFFA,27,-0.3793,50,0.67740,27,-0.3948,61,0.91961,28,-0.5038
ENSG00000142655,PEX14,27,0.21749,15,-0.7185,30,0.44346,36,0.68643,21,-0.2627
ENSG00000120948,TARDBP,27,-0.9234,54,0.16393,64,0.45268,56,0.19437,45,-0.2191
ENSG00000116649,SRM,27,-1.8070,59,-0.6945,115,0.44105,134,0.64562,94,0.15387
ENSG00000171824,EXOSC10,27,0.03231,33,0.39471,33,0.39129,16,-0.7517,23,-0.3028
ENSG00000198793,MTOR,345,3.17629,23,-1.6335,49,-0.4163,27,-1.2779,41,-1.0749
ENSG00000120942,UBIAD1,344,5.04055,21,-0.9294,7,-2.6066,5,-2.9925,8,-2.9815
ENSG00000116661,FBXO2,163,-0.7048,364,0.62022,194,-0.4773,218,-0.2642,266,0.09268
ENSG00000132879,FBXO44,27,-1.8815,39,-1.4106,164,1.01326,129,0.49818,95,0.02637
ENSG00000116670,MAD2L2,27,-0.0475,43,0.80043,21,-0.4845,23,-0.2538,26,-0.2028
ENSG00000177674,AGTRAP,27,0.35112,46,1.45063,3,-2.9757,11,-1.0002,20,-0.1479
ENSG00000177000,MTHFR,27,1.19229,8,-0.6855,12,-0.1150,8,-0.7605,13,0.06108
ENSG00000011021,CLCN6,27,-0.4195,32,-0.1759,50,0.62309,14,-1.3763,36,0.09592
ENSG00000116685,KIAA2013,27,-0.5435,62,0.89230,40,0.06023,44,0.22461,31,-0.5729
ENSG00000083444,PLOD1,355,3.53666,44,-0.4287,21,-1.5715,37,-0.6589,27,-1.6648
ENSG00000116688,MFN2,27,-1.4789,64,-0.1776,98,0.55726,40,-0.8996,78,0.25640
ENSG00000116691,MIIP,27,0.65905,17,-0.0515,19,0.14590,13,-0.4927,17,-0.1685
ENSG00000048707,VPS13D,27,-0.5242,35,-0.1525,55,0.66576,14,-1.4632,39,0.08813
