Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to8,Feature log2 fold change topic 7to8
ENSG00000228794,LINC01128,6,-1.2382,6,-1.1497,17,0.59702,12,-0.0948,16,0.42620
ENSG00000188976,NOC2L,43,-0.1619,49,0.04969,80,1.10326,36,-0.5153,29,-0.9000
ENSG00000188290,HES4,44,-0.2232,63,0.38028,46,-0.1414,59,0.31098,42,-0.3303
ENSG00000187608,ISG15,67,1.24293,29,-0.2049,18,-1.0259,32,-0.0362,33,0.00814
ENSG00000188157,AGRN,20,0.26713,8,-1.0878,16,-0.0097,14,-0.3570,22,0.59628
ENSG00000078808,SDF4,182,1.33416,97,0.21149,67,-0.4521,66,-0.4844,70,-0.3710
ENSG00000176022,B3GALT6,47,0.38156,55,0.64909,35,-0.1242,30,-0.4387,34,-0.1706
ENSG00000160087,UBE2J2,47,0.18969,29,-0.5841,55,0.54829,43,0.04595,32,-0.5148
ENSG00000131584,ACAP3,47,-0.4207,39,-0.6926,75,0.40308,65,0.12938,61,-0.0058
ENSG00000127054,INTS11,55,0.35294,23,-1.0198,67,0.83057,36,-0.3792,36,-0.3817
ENSG00000224051,CPTP,45,0.65179,17,-0.9349,41,0.58160,21,-0.6479,29,-0.0863
ENSG00000107404,DVL1,45,-0.3504,45,-0.3581,52,-0.1324,65,0.29121,62,0.19408
ENSG00000175756,AURKAIP1,160,-0.1548,216,0.34259,146,-0.3446,191,0.16290,178,0.02474
ENSG00000221978,CCNL2,65,0.68543,49,0.18989,43,-0.0146,37,-0.2922,37,-0.3179
ENSG00000242485,MRPL20,178,-0.1257,183,-0.0783,193,0.01689,208,0.15464,186,-0.0606
ENSG00000179403,VWA1,41,-0.7229,42,-0.6837,29,-1.3771,46,-0.6306,143,1.86156
ENSG00000197785,ATAD3A,2,-2.7090,28,1.07391,19,0.51926,12,-0.3973,13,-0.2229
ENSG00000205090,TMEM240,26,-0.5313,36,-0.0443,61,1.10819,36,-0.0490,18,-1.2018
