"cluster","type","scores","ncells","confident","type_short","type_rank","ct_fine"
"k10c21","Astrocytes",75231.3966820925,11902,TRUE,"Astro",1,"Astro01"
"k10c11","Astrocytes",55063.5743830307,8170,TRUE,"Astro",2,"Astro02"
"k10c25","Astrocytes",12681.2196981489,2413,TRUE,"Astro",3,"Astro03"
"k10c13","Astrocytes",769.342401410824,627,TRUE,"Astro",4,"Astro04"
"k10c39","Astrocytes",360.871453951457,420,TRUE,"Astro",5,"Astro05"
"k10c32","Astrocytes",2182.9755454403,397,TRUE,"Astro",6,"Astro06"
"k10c53","Astrocytes",1002.74900325198,392,TRUE,"Astro",7,"Astro07"
"k10c42","Astrocytes",280.027372274533,288,TRUE,"Astro",8,"Astro08"
"k10c41","Astrocytes",1265.19883810708,209,TRUE,"Astro",9,"Astro09"
"k10c55","Astrocytes",309.746523614007,81,TRUE,"Astro",10,"Astro10"
"k10c59","Astrocytes",60.5684005908294,14,TRUE,"Astro",11,"Astro11"
"k10c04","Endothelial cells",4988.32119042607,1693,TRUE,"Endo",1,"Endo1"
"k10c20","Microglial cells",41980.3198194583,8555,TRUE,"Micro",1,"Micro1"
"k10c22","Microglial cells",15784.9425959178,3041,TRUE,"Micro",2,"Micro2"
"k10c08","Microglial cells",9532.92092497851,2608,TRUE,"Micro",3,"Micro3"
"k10c28","Microglial cells",2853.39647647277,650,TRUE,"Micro",4,"Micro4"
"k10c49","Microglial cells",781.725323021017,211,TRUE,"Micro",5,"Micro5"
"k10c38","Microglial cells",285.254186607933,158,TRUE,"Micro",6,"Micro6"
"k10c19","Oligodendrocytes",105464.544615852,15354,TRUE,"Oligo",1,"Oligo1"
"k10c54","Oligodendrocytes",97808.6890411025,15150,TRUE,"Oligo",2,"Oligo2"
"k10c16","Oligodendrocytes",60626.0988942552,12833,TRUE,"Oligo",3,"Oligo3"
"k10c02","Oligodendrocytes",11448.1825001243,5717,TRUE,"Oligo",4,"Oligo4"
"k10c10","Oligodendrocytes",4194.40266033675,2395,TRUE,"Oligo",5,"Oligo5"
"k10c34","Oligodendrocytes",4888.6366632779,707,TRUE,"Oligo",6,"Oligo6"
"k10c30","Oligodendrocytes",1401.15187250844,257,TRUE,"Oligo",7,"Oligo7"
"k10c46","Oligodendrocytes",437.309441005452,76,TRUE,"Oligo",8,"Oligo8"
"k10c62","Oligodendrocytes",149.268660039168,29,TRUE,"Oligo",9,"Oligo9"
"k10c18","Oligodendrocyte precursor cells",103448.382885304,13345,TRUE,"OPC",1,"OPC1"
"k10c45","Oligodendrocyte precursor cells",12291.9231871205,1693,TRUE,"OPC",2,"OPC2"
"k10c48","Oligodendrocyte precursor cells",1331.30883257279,202,TRUE,"OPC",3,"OPC3"
"k10c52","Oligodendrocyte precursor cells",527.885783388109,77,TRUE,"OPC",4,"OPC4"
"k10c50","Oligodendrocyte precursor cells",357.176209384519,56,TRUE,"OPC",5,"OPC5"
"k10c15","Glutamatergic neurons",42781.359764203,8250,TRUE,"Excit",1,"Excit01"
"k10c12","Glutamatergic neurons",7461.69317077711,2184,TRUE,"Excit",2,"Excit02"
"k10c14","Glutamatergic neurons",8700.83960659458,1607,TRUE,"Excit",3,"Excit03"
"k10c56","Glutamatergic neurons",6642.83727879351,1390,TRUE,"Excit",4,"Excit04"
"k10c27","Glutamatergic neurons",4998.85771198485,994,TRUE,"Excit",5,"Excit05"
"k10c23","Glutamatergic neurons",3527.29783909503,740,TRUE,"Excit",6,"Excit06"
"k10c01","Glutamatergic neurons",3623.28194548078,707,TRUE,"Excit",7,"Excit07"
"k10c24","Glutamatergic neurons",3620.2925841991,686,TRUE,"Excit",8,"Excit08"
"k10c35","Glutamatergic neurons",3340.96765315354,639,TRUE,"Excit",9,"Excit09"
"k10c36","Glutamatergic neurons",3063.13616873165,639,TRUE,"Excit",10,"Excit10"
"k10c26","Glutamatergic neurons",1258.18643057861,258,TRUE,"Excit",11,"Excit11"
"k10c31","Glutamatergic neurons",1046.3396430179,218,TRUE,"Excit",12,"Excit12"
"k10c51","Glutamatergic neurons",1046.10823400265,198,TRUE,"Excit",13,"Excit13"
"k10c29","Glutamatergic neurons",1008.38104821296,193,TRUE,"Excit",14,"Excit14"
"k10c05","Glutamatergic neurons",774.011583733783,157,TRUE,"Excit",15,"Excit15"
"k10c33","Glutamatergic neurons",598.420326148085,127,TRUE,"Excit",16,"Excit16"
"k10c40","Glutamatergic neurons",492.560111526086,115,TRUE,"Excit",17,"Excit17"
"k10c06","Glutamatergic neurons",117.522051551427,89,TRUE,"Excit",18,"Excit18"
"k10c57","Glutamatergic neurons",194.675045214988,37,TRUE,"Excit",19,"Excit19"
"k10c60","Glutamatergic neurons",132.220710579141,31,TRUE,"Excit",20,"Excit20"
"k10c37","Glutamatergic neurons",150.952100037131,29,TRUE,"Excit",21,"Excit21"
"k10c58","Glutamatergic neurons",123.053198554842,24,TRUE,"Excit",22,"Excit22"
"k10c61","Glutamatergic neurons",32.7681942141503,15,TRUE,"Excit",23,"Excit23"
"k10c09","GABAergic neurons",28849.5814649088,6317,TRUE,"Inhib",1,"Inhib1"
