Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,17,-0.8235,20,-0.5616,34,0.27470,30,0.05351,50,0.94241,22,-0.3829,30,0.07202,35,0.34376,19,-0.6131
ENSG00000188976,NOC2L,44,-0.6733,42,-0.7347,42,-0.7424,89,0.47737,78,0.25892,89,0.46570,72,0.11969,72,0.12535,74,0.16355
ENSG00000188290,HES4,201,1.40180,100,0.17858,86,-0.0584,62,-0.5803,67,-0.4519,68,-0.4279,97,0.13175,45,-1.0682,79,-0.2024
ENSG00000187608,ISG15,123,0.66781,83,0.00918,48,-0.8506,43,-1.0091,103,0.37654,63,-0.4195,90,0.14053,103,0.36586,85,0.04676
ENSG00000188157,AGRN,64,0.61677,41,-0.1106,15,-1.6625,34,-0.3874,57,0.42310,52,0.26190,45,0.03574,42,-0.0619,46,0.06691
ENSG00000131591,C1orf159,7,-0.9929,12,-0.1178,14,0.09703,16,0.33507,15,0.23908,20,0.67534,14,0.12660,11,-0.2821,9,-0.6200
ENSG00000078808,SDF4,88,-0.0550,113,0.34717,76,-0.2889,98,0.10989,71,-0.4024,114,0.36865,94,0.04520,87,-0.0830,81,-0.1929
ENSG00000176022,B3GALT6,44,-0.1458,31,-0.7045,42,-0.1984,61,0.39264,52,0.13534,51,0.10892,44,-0.1311,65,0.48975,42,-0.2222
ENSG00000160087,UBE2J2,45,-0.5266,62,-0.0219,49,-0.4007,72,0.22681,77,0.33688,76,0.30849,71,0.20080,60,-0.0613,53,-0.2784
ENSG00000162572,SCNN1D,4,-1.6242,22,0.85048,5,-1.3377,16,0.34137,6,-1.2128,20,0.70823,13,0.03679,10,-0.4585,21,0.76761
