"","cluster","contrast","n_FDR05","nUP","nDown"
"1","Vasc~Sp09D08","carrier_AA",0,0,0
"2","Vasc~Sp09D08","carrier_EA",0,0,0
"3","L1~Sp09D05","carrier_AA",0,0,0
"4","L1~Sp09D05","carrier_EA",0,0,0
"5","L2.3~Sp09D01","carrier_AA",0,0,0
"6","L2.3~Sp09D01","carrier_EA",0,0,0
"7","LD~Sp09D02","carrier_AA",0,0,0
"8","LD~Sp09D02","carrier_EA",0,0,0
"9","Inhib~Sp09D09","carrier_AA",0,0,0
"10","Inhib~Sp09D09","carrier_EA",0,0,0
"11","L5~Sp09D03","carrier_AA",0,0,0
"12","L5~Sp09D03","carrier_EA",0,0,0
"13","L6~Sp09D04","carrier_AA",0,0,0
"14","L6~Sp09D04","carrier_EA",0,0,0
"15","WM.uf~Sp09D07","carrier_AA",3,2,1
"16","WM.uf~Sp09D07","carrier_EA",1,0,1
"17","WM~Sp09D06","carrier_AA",0,0,0
"18","WM~Sp09D06","carrier_EA",1,0,1
