BrNum,perm,neighbor,Z,scale,reference,id
Br5415,2,Excit.L5.1,-12.580698361042566,100,Astro.1,NA
Br5415,3,Excit.L5.1,-12.75328995823629,100,Astro.1,NA
Br5415,1,Excit.L5.2,1.593568187840942,100,Astro.1,NA
Br5415,2,Excit.L5.2,2.2402750542929657,100,Astro.1,NA
Br5415,3,Excit.L5.2,1.975253663975647,100,Astro.1,NA
Br5415,1,Excit.L6_CT,6.6677398711717455,100,Astro.1,NA
Br5415,2,Excit.L6_CT,6.6677398711717455,100,Astro.1,NA
Br5415,3,Excit.L6_CT,6.6677398711717455,100,Astro.1,NA
Br5415,1,Excit.L6b,-3.114713949188038,100,Astro.1,NA
Br5415,2,Excit.L6b,-3.1844284751244736,100,Astro.1,NA
Br5415,3,Excit.L6b,-2.90263223376676,100,Astro.1,NA
Br5415,1,Inhib.Chandelier,3.7887667891989794,100,Astro.1,NA
Br5415,2,Inhib.Chandelier,3.7887667891989794,100,Astro.1,NA
Br5415,3,Inhib.Chandelier,3.3863050662805105,100,Astro.1,NA
Br5415,1,Inhib.Lamp5_Lhx6,-0.0746319858083509,100,Astro.1,NA
Br5415,2,Inhib.Lamp5_Lhx6,-0.49235227274121773,100,Astro.1,NA
Br5415,3,Inhib.Lamp5_Lhx6,0.071498548634823,100,Astro.1,NA
Br5415,1,Inhib.Pax6,-7.036887347005951,100,Astro.1,NA
Br5415,2,Inhib.Pax6,-6.619960373844713,100,Astro.1,NA
Br5415,3,Inhib.Pax6,-7.653816316847887,100,Astro.1,NA
Br5415,1,Inhib.Pvalb,-11.950216860751283,100,Astro.1,NA
Br5415,2,Inhib.Pvalb,-10.423740947030863,100,Astro.1,NA
Br5415,3,Inhib.Pvalb,-10.947808202905541,100,Astro.1,NA
Br5415,1,Inhib.Sst,-6.628474015285932,100,Astro.1,NA
Br5415,2,Inhib.Sst,-5.717577378239991,100,Astro.1,NA
Br5415,3,Inhib.Sst,-5.052688678716976,100,Astro.1,NA
Br5415,1,Inhib.Vip,8.69578076636741,100,Astro.1,NA
Br5415,2,Inhib.Vip,8.84967526333865,100,Astro.1,NA
Br5415,3,Inhib.Vip,8.246693629510418,100,Astro.1,NA
Br5415,1,Astro.1,-2.3234530265308964,200,Astro.1,NA
Br5415,2,Astro.1,-3.7749755498451285,200,Astro.1,NA
Br5415,3,Astro.1,-3.328914016636063,200,Astro.1,NA
Br5415,1,Astro.2,0.6708711888115488,200,Astro.1,NA
Br5415,2,Astro.2,1.055611416392794,200,Astro.1,NA
Br5415,3,Astro.2,1.2719917010922719,200,Astro.1,NA
Br5415,1,Astro.3,-0.20908690973282665,200,Astro.1,NA
Br5415,2,Astro.3,0.2916377746849175,200,Astro.1,NA
Br5415,3,Astro.3,1.2565994114591699,200,Astro.1,NA
Br5415,1,Astro.4,-0.853277800545954,200,Astro.1,NA
Br5415,2,Astro.4,-0.6503119489691495,200,Astro.1,NA
Br5415,3,Astro.4,-1.2279383584255343,200,Astro.1,NA
Br5415,1,Astro.5,1.8168676088351692,200,Astro.1,NA
Br5415,2,Astro.5,1.2510683386531167,200,Astro.1,NA
Br5415,3,Astro.5,1.3443663681880027,200,Astro.1,NA
Br5415,1,Macro,-7.521735311109623,200,Astro.1,NA
Br5415,2,Macro,-6.007195418945928,200,Astro.1,NA
Br5415,3,Macro,-7.801919510691935,200,Astro.1,NA
Br5415,1,Micro.1,-3.0386382601536868,200,Astro.1,NA
Br5415,2,Micro.1,-3.428963733664191,200,Astro.1,NA
Br5415,3,Micro.1,-2.748061653556297,200,Astro.1,NA
Br5415,1,Micro.2,6.314187084238097,200,Astro.1,NA
Br5415,2,Micro.2,4.5400025311205905,200,Astro.1,NA
Br5415,3,Micro.2,4.5400025311205905,200,Astro.1,NA
Br5415,1,Micro.3,-4.08592754918702,200,Astro.1,NA
Br5415,2,Micro.3,-3.17705971903326,200,Astro.1,NA
Br5415,3,Micro.3,-1.8643031199455868,200,Astro.1,NA
Br5415,1,Micro.4,-6.071514412831868,200,Astro.1,NA
Br5415,2,Micro.4,-6.071514412831868,200,Astro.1,NA
Br5415,3,Micro.4,-6.60673125623723,200,Astro.1,NA
Br5415,1,Micro.5,8.267605301874651,200,Astro.1,NA
Br5415,2,Micro.5,9.460273944230192,200,Astro.1,NA
Br5415,3,Micro.5,8.806540787010888,200,Astro.1,NA
Br5415,1,OPC.1,-6.566325610612438,200,Astro.1,NA
Br5415,2,OPC.1,-5.735906457106404,200,Astro.1,NA
Br5415,3,OPC.1,-6.2333469319177794,200,Astro.1,NA
Br5415,1,OPC.2,8.187761646368218,200,Astro.1,NA
Br5415,2,OPC.2,8.187761646368218,200,Astro.1,NA
Br5415,3,OPC.2,8.592391703210382,200,Astro.1,NA
Br5415,1,OPC.3,-5.192451644371099,200,Astro.1,NA
Br5415,2,OPC.3,-5.353215059286546,200,Astro.1,NA
Br5415,3,OPC.3,-4.301504928204041,200,Astro.1,NA
Br5415,1,OPC.4,3.2069932841878357,200,Astro.1,NA
Br5415,2,OPC.4,2.7892474130469957,200,Astro.1,NA
Br5415,3,OPC.4,3.2069932841878357,200,Astro.1,NA
Br5415,1,OPC.5,4.905283453792321,200,Astro.1,NA
Br5415,2,OPC.5,5.946650370652858,200,Astro.1,NA
Br5415,3,OPC.5,5.368224394811108,200,Astro.1,NA
Br5415,1,Oligo.1,7.02363465875598,200,Astro.1,NA
Br5415,2,Oligo.1,7.1528528433220355,200,Astro.1,NA
Br5415,3,Oligo.1,6.895893638982528,200,Astro.1,NA
Br5415,1,Oligo.2,-0.13020345604789088,200,Astro.1,NA
Br5415,2,Oligo.2,-1.61481897752384,200,Astro.1,NA
Br5415,3,Oligo.2,-0.7808674470335374,200,Astro.1,NA
Br5415,1,Oligo.3,15.424976628474589,200,Astro.1,NA
Br5415,2,Oligo.3,15.222132561617165,200,Astro.1,NA
Br5415,3,Oligo.3,15.323265816590732,200,Astro.1,NA
Br5415,1,Oligo.4,17.929882999861995,200,Astro.1,NA
Br5415,2,Oligo.4,17.929882999861995,200,Astro.1,NA
Br5415,3,Oligo.4,17.929882999861995,200,Astro.1,NA
Br5415,1,Oligo.5,-8.888210239723282,200,Astro.1,NA
Br5415,2,Oligo.5,-8.1088467902029,200,Astro.1,NA
Br5415,3,Oligo.5,-8.343182767487885,200,Astro.1,NA
Br5415,1,Vasc.Endo,15.403411395505836,200,Astro.1,NA
Br5415,2,Vasc.Endo,15.041678432617113,200,Astro.1,NA
Br5415,3,Vasc.Endo,15.679301484474621,200,Astro.1,NA
Br5415,1,Vasc.PC,8.679939338668328,200,Astro.1,NA
Br5415,2,Vasc.PC,8.679939338668328,200,Astro.1,NA
