"cluster","E2E2_E4E4","E3E4_E4E4","E2E3_E4E4","E2E2_E3E4","E2E2_E2E3","E2E3_E3E4","anyE2_E4E4","anyE2_anyE4","E2E2_anyE4","E2E3_anyE4","E4E4_other","Sex","Anc"
"Astro.01",99,32,2,403,45,67,20,255,296,1,12,27,4
"Astro.02",130,1,0,396,1,3,34,413,483,0,0,1,0
"Astro.03",3,29,0,524,0,201,0,147,267,0,0,8,3
"Astro.04",0,9,3,3,0,70,1,1,0,37,0,21,0
"Astro.05",1,0,0,2,1,23,0,22,4,24,0,1,2
"Macro",0,255,0,169,0,426,0,136,0,117,1,8,4
"Micro.1",8,7,0,174,1,2,2,141,88,0,0,4,25
"Micro.2",39,4,0,172,24,1,0,26,123,0,0,7,2
"Micro.3",1,0,0,28,0,8,0,97,30,0,0,2,18
"Micro.4",6,1,1,41,2,6,1,62,38,4,0,12,12
"Micro.5",0,0,0,2,0,1,0,0,0,2,0,12,0
"OPC.1",0,6,0,3,0,50,0,3,0,2,0,15,7
"OPC.2",0,0,0,0,0,0,0,0,0,0,0,15,1
"OPC.3",0,29,0,9,3,56,0,0,0,3,0,33,9
"OPC.4",2,0,0,0,0,3,1,2,0,1,1,21,6
"OPC.5",3,12,13,22,6,26,5,21,13,21,1,83,0
"Oligo.01",1,46,0,29,0,23,0,4,3,0,0,3,28
"Oligo.02",0,20,1,323,2,317,0,10,3,61,0,10,19
"Oligo.03",238,0,1,2923,1,2866,4,3268,2453,1384,0,2038,230
"Oligo.04",0,0,0,0,2,7,0,0,0,0,0,2,2
"Oligo.05",0,3,0,1350,0,583,0,803,655,0,0,2,3
"Vasc.Endo",32,350,13,37,4,585,43,191,35,209,89,9,1
"Vasc.VLMC",10,7,0,125,55,21,0,35,71,2,0,1,0
"Excit.L2",0,0,0,0,11,0,0,0,0,0,0,1,0
"Excit.L2_5.1",1,0,0,1630,7,159,0,635,1065,0,0,15,3
"Excit.L2_5.2",85,1,1,6,23,0,12,10,26,0,0,0,0
"Excit.L5.1",0,0,0,350,611,0,0,0,225,0,0,5,1
"Excit.L5.2",5,104,16,0,1,2,10,4,5,12,10,1,162
"Excit.L6_CT",0,24,1,0,0,34,0,0,0,8,0,0,0
"Excit.L6b",0,0,0,0,0,1,0,0,0,0,1,438,1
"Inhib.Chandelier",0,0,0,0,0,0,0,0,0,0,0,0,0
"Inhib.Lamp5_Lhx6",0,0,1,2,2,2,0,0,0,2,0,5,0
"Inhib.Pvalb",0,0,0,70,9,0,0,0,46,0,0,1,1
"Inhib.Sst",1,0,2,0,0,0,3,22,0,0,2,2,2
"Inhib.Vip",66,0,0,628,18,13,1,117,519,0,1,8,0
