symbol,eva
PSEN1,0.9430102419688546
APP,0.9304181119457344
PSEN2,0.8803814013047568
APOE,0.8237928135612166
ABCA7,0.6486341797701964
SORL1,0.31612401475804297
ADAM10,0.381307705835289
HFE,0.8270002910534164
GRN,0.4377101742803672
MPO,0.7885452454957823
MT-ND1,0.547137717850459
CSF1R,0.547137717850459
MAPT,0.4377101742803672
VCP,0.4377101742803672
SORCS1,0.4377101742803672
TM2D3,0.1945378552357188
NOS3,0.26603389442816544
VPS13C,0.24317231904464845
PLD3,0.18237923928348632
PLCD1,0.1945378552357188
TNK1,0.1945378552357188
GRID2IP,0.1945378552357188
UNC13C,0.18237923928348632
