symbol,gene_score,score
PSEN1,eva,0.9430102419688546
PSEN1,genomicsEngland,0.9549947196932794
PSEN1,uniprotLiterature,0.607930797611621
PSEN1,uniprotVariants,0.9950025618627067
PSEN1,orphanet,0.607930797611621
APP,eva,0.9304181119457344
APP,genomicsEngland,0.607930797611621
APP,uniprotLiterature,0.607930797611621
APP,uniprotVariants,0.9580964074361958
APP,orphanet,0.607930797611621
PSEN2,eva,0.8803814013047568
PSEN2,genomicsEngland,0.6839221473130737
PSEN2,uniprotLiterature,0.607930797611621
PSEN2,uniprotVariants,0.947175754388692
PSEN2,orphanet,0.607930797611621
APOE,eva,0.8237928135612166
APOE,uniprotLiterature,0.607930797611621
APOE,uniprotVariants,0.607930797611621
ABCA7,eva,0.6486341797701964
ABCA7,uniprotLiterature,0.607930797611621
ABCA7,uniprotVariants,0.607930797611621
SORL1,geneBurden,0.39314961120901953
SORL1,eva,0.31612401475804297
SORL1,genomicsEngland,0.3039653988058105
SORL1,uniprotLiterature,0.3039653988058105
SORL1,uniprotVariants,0.432728519133272
SORL1,orphanet,0.607930797611621
ADAM10,eva,0.381307705835289
ADAM10,uniprotLiterature,0.607930797611621
ADAM10,uniprotVariants,0.8274613634158176
ACE,genomicsEngland,0.607930797611621
HFE,eva,0.8270002910534164
HFE,genomicsEngland,0.607930797611621
GRN,eva,0.4377101742803672
CLU,eva,0
MPO,eva,0.7885452454957823
MT-ND1,eva,0.547137717850459
MT-ND1,genomicsEngland,0.607930797611621
CSF1R,eva,0.547137717850459
MAPT,eva,0.4377101742803672
VCP,eva,0.4377101742803672
SORCS1,eva,0.4377101742803672
UNC5C,uniprotLiterature,0.3039653988058105
UNC5C,uniprotVariants,0.3039653988058105
TM2D3,eva,0.1945378552357188
TM2D3,uniprotLiterature,0.3039653988058105
DBN1,uniprotLiterature,0.3039653988058105
NOS3,eva,0.26603389442816544
VPS13C,eva,0.24317231904464845
PLD3,eva,0.18237923928348632
PLCD1,eva,0.1945378552357188
TNK1,eva,0.1945378552357188
GRID2IP,eva,0.1945378552357188
UNC13C,eva,0.18237923928348632
EDDM3A,geneBurden,0.15198269940290526
PCDH11X,eva,0
