Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000228794,LINC01128,15,-0.9776,15,-1.0197,18,-0.7089,25,-0.2414,40,0.50982,21,-0.5284,8,-1.8138,37,0.38704,32,0.14872,15,-1.0063,54,0.99268,69,1.41826
ENSG00000188976,NOC2L,6,-3.1759,32,-0.7617,38,-0.5330,39,-0.4755,97,0.96738,91,0.84740,31,-0.8407,54,0.01214,61,0.20208,58,0.13094,76,0.55233,59,0.15714
ENSG00000188290,HES4,677,3.51560,3,-5.0680,80,-0.4916,54,-1.0992,78,-0.5344,53,-1.1262,78,-0.5301,79,-0.5172,96,-0.2097,21,-2.4897,35,-1.7079,69,-0.7213
ENSG00000187608,ISG15,438,3.14552,33,-1.3572,42,-0.9941,64,-0.3643,53,-0.6452,24,-1.8583,24,-1.8016,75,-0.1244,47,-0.8395,16,-2.3725,70,-0.2444,90,0.15056
ENSG00000188157,AGRN,194,2.67454,28,-0.6813,17,-1.4471,21,-1.0760,32,-0.4546,38,-0.2214,29,-0.6058,26,-0.7889,52,0.26616,13,-1.8024,40,-0.1463,34,-0.3929
ENSG00000078808,SDF4,43,-0.9482,82,0.05499,45,-0.8591,82,0.06006,80,0.02153,44,-0.8982,135,0.86322,86,0.12098,81,0.02491,57,-0.5176,111,0.52854,106,0.46150
ENSG00000176022,B3GALT6,0,-6.7466,14,-1.4579,27,-0.5424,29,-0.4129,60,0.70737,40,0.07309,66,0.87918,40,0.05983,54,0.53418,29,-0.4408,59,0.67549,42,0.16014
ENSG00000160087,UBE2J2,18,-1.5954,52,-0.0092,36,-0.5770,52,0.01077,93,0.93164,58,0.16030,46,-0.1816,37,-0.5129,38,-0.4648,36,-0.5479,57,0.13456,101,1.08233
ENSG00000162572,SCNN1D,37,1.35097,16,-0.0288,17,0.09801,7,-1.2316,18,0.13552,31,1.05393,6,-1.5007,6,-1.4622,5,-1.8093,17,0.12743,14,-0.1672,20,0.30307
ENSG00000131584,ACAP3,54,-1.1341,102,-0.1720,87,-0.4021,74,-0.6601,137,0.30117,161,0.56031,49,-1.2847,127,0.18279,120,0.09214,163,0.58273,146,0.40500,140,0.33284
ENSG00000127054,INTS11,45,-0.4728,61,0.00162,41,-0.6062,44,-0.5076,56,-0.1328,46,-0.4196,51,-0.2702,101,0.82626,56,-0.1115,36,-0.7988,86,0.54916,106,0.89799
ENSG00000224051,CPTP,45,0.23379,16,-1.3550,21,-0.9758,47,0.29081,55,0.55060,40,0.01298,26,-0.6134,36,-0.1468,47,0.29824,26,-0.6020,50,0.39582,60,0.68424
ENSG00000107404,DVL1,1,-5.7014,71,0.13908,84,0.41101,84,0.39819,59,-0.1433,85,0.43050,53,-0.3207,84,0.40661,51,-0.3668,79,0.29791,55,-0.2595,74,0.20546
ENSG00000175756,AURKAIP1,61,-0.8650,90,-0.2873,102,-0.0793,88,-0.3196,87,-0.3395,84,-0.3837,142,0.44264,145,0.47180,102,-0.0794,178,0.81168,127,0.26487,86,-0.3492
ENSG00000221978,CCNL2,98,0.93820,75,0.48778,46,-0.2686,33,-0.7841,74,0.46986,35,-0.6794,55,0.01231,47,-0.2310,51,-0.1045,23,-1.3045,65,0.25331,57,0.04269
ENSG00000242485,MRPL20,134,0.02483,142,0.12017,121,-0.1269,100,-0.4305,96,-0.4805,133,0.02421,147,0.17899,120,-0.1379,141,0.11339,187,0.56485,122,-0.1178,133,0.02339
ENSG00000235098,ANKRD65,0,-5.8360,60,1.82403,27,0.44873,17,-0.2241,12,-0.7685,9,-1.2159,31,0.68832,7,-1.5492,14,-0.5667,14,-0.4971,27,0.48520,23,0.20534
ENSG00000179403,VWA1,139,1.48559,306,3.15592,27,-1.0998,17,-1.8014,35,-0.7449,33,-0.8427,74,0.43401,17,-1.7925,11,-2.3757,0,-9.1539,10,-2.6145,11,-2.4181
ENSG00000160072,ATAD3B,0,-5.3254,15,0.11006,13,-0.1173,21,0.61458,18,0.36917,17,0.32162,8,-0.8210,2,-2.4502,15,0.14091,5,-1.4545,19,0.49066,34,1.45939
ENSG00000197785,ATAD3A,11,-0.6330,7,-1.1681,13,-0.3694,7,-1.2128,21,0.39170,26,0.75402,16,0.00656,21,0.35869,25,0.64658,6,-1.4984,32,1.06465,11,-0.5318
ENSG00000205090,TMEM240,3,-4.4729,17,-1.9421,58,-0.1467,67,0.07340,101,0.74182,63,-0.0096,53,-0.2884,82,0.41075,83,0.41908,42,-0.6279,99,0.71619,95,0.63688
ENSG00000160075,SSU72,53,-1.5217,83,-0.8453,164,0.19721,115,-0.3576,163,0.18456,118,-0.3124,172,0.27089,148,0.03442,186,0.39958,172,0.27055,206,0.56049,157,0.13061
ENSG00000228594,FNDC10,0,-6.8020,8,-2.3517,46,0.23128,50,0.34779,52,0.42439,54,0.47202,22,-0.8894,74,1.00419,66,0.81708,15,-1.4985,43,0.13043,48,0.29142
ENSG00000272106,AL691432.2,13,-1.8373,55,0.36553,26,-0.8211,38,-0.2326,28,-0.7033,61,0.52951,40,-0.1349,27,-0.7542,33,-0.4422,107,1.48240,65,0.63875,33,-0.4143
ENSG00000197530,MIB2,0,-5.4026,23,-0.5978,27,-0.3320,31,-0.1154,55,0.77686,39,0.20382,29,-0.2186,29,-0.2540,51,0.66306,30,-0.1715,54,0.74653,37,0.13400
ENSG00000189339,SLC35E2B,9,-2.1665,22,-0.8726,43,0.12585,22,-0.9105,39,-0.0019,34,-0.2198,59,0.63115,62,0.70611,44,0.15502,41,0.06880,66,0.81401,34,-0.2395
ENSG00000215790,SLC35E2A,24,-0.0874,18,-0.5460,41,0.76421,16,-0.6616,7,-1.8992,31,0.32695,22,-0.1962,43,0.82736,26,0.06629,10,-1.3645,33,0.41223,33,0.39787
ENSG00000008130,NADK,32,0.03533,24,-0.4305,22,-0.5595,32,0.02112,24,-0.4060,28,-0.2041,40,0.37120,32,0.04271,25,-0.3755,43,0.48662,45,0.57751,31,-0.0078
ENSG00000078369,GNB1,314,-0.2195,223,-0.7431,318,-0.2025,268,-0.4621,248,-0.5810,274,-0.4323,380,0.07767,479,0.44838,348,-0.0576,614,0.85827,428,0.26645,444,0.32514
ENSG00000187730,GABRD,0,-8.2786,2,-5.7615,91,-0.3118,71,-0.7057,91,-0.3124,74,-0.6229,122,0.14495,174,0.70909,127,0.19815,186,0.82197,216,1.07852,186,0.82072
ENSG00000067606,PRKCZ,38,-2.1944,91,-0.8869,132,-0.3215,169,0.06072,170,0.06401,150,-0.1270,186,0.20932,194,0.27253,180,0.16121,262,0.76699,190,0.24264,192,0.26035
ENSG00000162585,FAAP20,124,1.18607,80,0.45892,66,0.13517,55,-0.1303,74,0.32014,56,-0.1264,55,-0.1467,67,0.15545,83,0.50416,0,-7.6456,26,-1.2876,38,-0.7038
ENSG00000157933,SKI,93,0.80796,46,-0.3177,65,0.23060,50,-0.1768,79,0.54743,59,0.07439,31,-0.9029,27,-1.0779,80,0.56070,69,0.31857,46,-0.3049,29,-1.0166
ENSG00000157916,RER1,96,0.48581,86,0.31655,34,-1.1107,44,-0.7091,59,-0.2787,45,-0.6837,82,0.23910,63,-0.1711,69,-0.0354,66,-0.1070,112,0.74175,90,0.38534
ENSG00000157911,PEX10,0,-5.9827,33,0.60480,24,0.10155,17,-0.4011,32,0.54695,29,0.37973,24,0.08997,8,-1.5122,42,1.02437,8,-1.4856,27,0.29174,25,0.19172
ENSG00000149527,PLCH2,0,-6.2745,19,-0.5889,29,0.08272,12,-1.2428,20,-0.4785,2,-3.7100,32,0.23809,72,1.60849,39,0.53425,2,-3.5312,40,0.59612,63,1.36782
ENSG00000157881,PANK4,0,-5.7198,9,-1.0754,15,-0.2850,14,-0.3946,20,0.09567,21,0.19908,39,1.20385,23,0.31063,32,0.86442,21,0.22710,10,-0.9322,18,-0.0323
ENSG00000197921,HES5,0,-6.0103,3,-2.8941,34,0.62463,10,-1.2104,19,-0.2648,33,0.57835,97,2.56098,6,-2.0099,44,1.07352,2,-3.4292,7,-1.7640,19,-0.2799
ENSG00000157870,PRXL2B,14,-2.5770,25,-1.7582,85,0.11341,99,0.34828,135,0.86205,66,-0.2781,91,0.21796,56,-0.5378,78,-0.0274,84,0.09801,91,0.22872,126,0.75015
ENSG00000177133,PRDM16-DT,0,-5.9290,1,-4.3636,46,1.22485,15,-0.5863,10,-1.0700,15,-0.5811,104,2.85051,14,-0.6576,13,-0.7607,20,-0.0756,12,-0.8285,8,-1.3937
ENSG00000158109,TPRG1L,63,-1.2500,50,-1.6109,91,-0.7118,106,-0.4717,131,-0.1500,160,0.17113,162,0.18883,158,0.14274,135,-0.0946,291,1.15675,252,0.90747,127,-0.1895
ENSG00000130764,LRRC47,31,-0.9991,42,-0.5447,33,-0.9178,40,-0.6427,61,0.01021,61,0.02219,73,0.29692,79,0.42443,65,0.10905,85,0.54232,91,0.65314,64,0.08629
ENSG00000116198,CEP104,26,0.55676,30,0.79955,22,0.29307,16,-0.1357,20,0.17994,30,0.80209,11,-0.6787,3,-2.6825,4,-2.1041,2,-3.1307,24,0.43122,29,0.72607
ENSG00000196581,AJAP1,0,-6.8637,13,-1.6906,27,-0.6647,36,-0.2393,22,-0.9662,21,-1.0655,40,-0.0660,40,-0.0416,56,0.48595,124,1.84362,73,0.91596,47,0.18340
ENSG00000069424,KCNAB2,56,-2.1575,20,-3.6024,226,-0.0505,221,-0.0849,233,-0.0068,293,0.35623,270,0.22641,193,-0.2980,257,0.14626,330,0.54881,380,0.78350,328,0.53883
ENSG00000116254,CHD5,3,-6.0898,27,-3.0302,150,-0.4762,278,0.49283,442,1.27304,198,-0.0447,154,-0.4408,177,-0.2259,328,0.76672,126,-0.7418,192,-0.0939,375,0.98931
ENSG00000116251,RPL22,1418,1.89571,1095,1.41462,478,0.03443,329,-0.5453,212,-1.2051,221,-1.1468,388,-0.2910,369,-0.3696,347,-0.4641,262,-0.8879,298,-0.6943,192,-1.3591
ENSG00000116237,ICMT,28,-0.4130,12,-1.6617,25,-0.5721,25,-0.5877,36,-0.0247,48,0.41627,36,-0.0309,33,-0.1589,54,0.60598,17,-1.1434,66,0.94560,60,0.79436
ENSG00000158292,GPR153,22,0.64847,0,-4.8507,26,0.95922,18,0.36834,11,-0.4601,0,-5.7167,3,-2.2881,22,0.65461,4,-1.9198,32,1.28127,27,1.03462,8,-0.8411
ENSG00000097021,ACOT7,14,-3.2100,44,-1.5689,99,-0.3724,82,-0.6545,83,-0.6425,69,-0.9258,126,0.01005,160,0.38293,100,-0.3566,287,1.37106,207,0.80907,235,1.02059
ENSG00000215788,TNFRSF25,57,0.92556,0,-6.6330,11,-1.5771,25,-0.3924,35,0.15269,30,-0.1041,23,-0.4861,0,-5.5817,38,0.25582,53,0.80491,71,1.31936,40,0.36802
ENSG00000171680,PLEKHG5,0,-6.8827,7,-2.6561,42,-0.0215,33,-0.3777,53,0.37141,23,-0.8876,32,-0.4116,25,-0.8166,49,0.23916,78,0.99653,72,0.85359,92,1.27940
ENSG00000162408,NOL9,0,-6.6240,12,-1.6170,28,-0.3398,47,0.44388,56,0.74937,40,0.21330,48,0.50014,24,-0.5614,49,0.52406,24,-0.6105,55,0.71300,39,0.15405
ENSG00000162413,KLHL21,32,-0.0551,36,0.11439,28,-0.2736,23,-0.5830,36,0.12924,45,0.47402,29,-0.1992,13,-1.4329,35,0.05450,31,-0.1413,61,0.97185,32,-0.0532
ENSG00000116273,PHF13,0,-5.8510,13,-0.6447,15,-0.4897,9,-1.2324,31,0.66288,15,-0.4836,19,-0.0933,61,1.84558,16,-0.4112,8,-1.3871,32,0.69376,27,0.41338
ENSG00000041988,THAP3,0,-5.3615,19,0.41040,16,0.14035,8,-0.9092,14,-0.0872,11,-0.4105,14,-0.0816,17,0.24696,28,1.05588,3,-1.9925,27,1.01060,17,0.24609
ENSG00000007923,DNAJC11,0,-6.3355,18,-0.8871,22,-0.5332,39,0.33311,39,0.31326,34,0.09215,17,-0.8977,31,-0.0205,42,0.44433,49,0.69063,54,0.85633,35,0.15990
ENSG00000171735,CAMTA1,150,-0.4100,81,-1.3376,189,-0.0526,175,-0.1718,318,0.78948,128,-0.6555,189,-0.0518,247,0.37391,368,1.03417,91,-1.1597,156,-0.3451,250,0.39485
ENSG00000049245,VAMP3,101,1.52320,170,2.54814,20,-1.0342,21,-0.9994,28,-0.5459,20,-1.0392,43,0.10143,41,0.04106,23,-0.8708,0,-8.6693,3,-3.4775,14,-1.6238
ENSG00000049246,PER3,28,-0.0219,36,0.34326,24,-0.3044,20,-0.5771,17,-0.7923,41,0.54878,61,1.23094,12,-1.2948,36,0.34056,17,-0.8214,30,0.03763,25,-0.2269
