Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to9,Feature log2 fold change topic 4to9
ENSG00000228794,LINC01128,7,-2.0767,14,-1.0258,22,-0.3804,34,1.24473
ENSG00000188976,NOC2L,23,-1.1366,32,-0.6354,67,0.53629,52,0.35021
ENSG00000188290,HES4,62,-0.7081,62,-0.7006,41,-1.3270,118,1.09237
ENSG00000187608,ISG15,179,-0.2902,212,-0.0190,97,-1.2333,241,0.56167
ENSG00000188157,AGRN,33,-0.7175,39,-0.4745,28,-0.9757,62,0.88599
ENSG00000131591,C1orf159,13,-0.0368,13,0.02562,14,0.12303,13,-0.0514
ENSG00000078808,SDF4,67,-0.2687,56,-0.5530,91,0.22356,83,0.22328
ENSG00000176022,B3GALT6,13,-1.3816,24,-0.4654,37,0.19210,37,0.55626
ENSG00000160087,UBE2J2,27,-0.8978,40,-0.2678,40,-0.2649,54,0.57614
ENSG00000131584,ACAP3,77,-0.1772,83,-0.0691,87,0.00674,88,0.10349
ENSG00000169972,PUSL1,5,-1.6600,9,-0.7531,14,-0.1740,18,0.93913
ENSG00000127054,INTS11,40,-0.6266,43,-0.4979,50,-0.2644,67,0.58134
ENSG00000224051,CPTP,8,-1.9257,27,-0.1975,18,-0.8321,37,1.03862
ENSG00000107404,DVL1,45,-0.4978,82,0.44841,47,-0.4332,64,0.14242
ENSG00000175756,AURKAIP1,184,0.04331,185,0.04812,210,0.25760,173,-0.1609
ENSG00000221978,CCNL2,46,-0.3314,47,-0.3044,32,-0.9179,65,0.62886
ENSG00000242485,MRPL20,141,-0.3924,137,-0.4431,223,0.34248,188,0.16809
ENSG00000235098,ANKRD65,40,0.62310,20,-0.4962,43,0.75581,24,-0.5173
ENSG00000179403,VWA1,163,3.07031,34,-0.0395,29,-0.3186,15,-2.3037
ENSG00000160072,ATAD3B,7,-0.8447,10,-0.3868,12,-0.1030,14,0.53479
ENSG00000197785,ATAD3A,25,0.03284,12,-1.0844,28,0.26420,25,0.22533
ENSG00000205090,TMEM240,21,-1.0320,28,-0.6286,42,0.02687,47,0.62081
ENSG00000160075,SSU72,98,-0.8257,145,-0.2173,180,0.13294,179,0.33757
ENSG00000228594,FNDC10,12,-1.9940,40,-0.1572,23,-1.0036,53,1.09281
ENSG00000272106,AL691432.2,19,-0.3138,15,-0.7024,32,0.51947,24,0.12300
ENSG00000197530,MIB2,33,-0.4886,54,0.28613,65,0.59688,43,-0.2510
ENSG00000215790,SLC35E2A,17,-1.6924,51,0.00875,54,0.07590,56,0.46907
ENSG00000008130,NADK,13,-1.1104,25,-0.1876,38,0.51405,29,0.18755
ENSG00000078369,GNB1,223,-1.0935,457,0.03248,368,-0.3163,497,0.50961
ENSG00000187730,GABRD,19,-3.0758,60,-1.4019,125,-0.2598,187,1.45437
ENSG00000067606,PRKCZ,83,-1.4247,189,-0.1602,189,-0.1567,236,0.61655
ENSG00000162585,FAAP20,96,0.25741,73,-0.1896,46,-0.9023,87,0.28156
ENSG00000157933,SKI,32,0.71487,22,0.12994,13,-0.7020,20,-0.1819
ENSG00000157916,RER1,71,0.02419,57,-0.3473,71,0.02113,72,0.12202
ENSG00000157911,PEX10,36,-0.0490,29,-0.4072,29,-0.4266,41,0.36958
ENSG00000149527,PLCH2,18,0.17332,16,-0.0274,0,-8.0418,19,0.71678
ENSG00000157870,PRXL2B,26,-0.8429,40,-0.1426,45,0.02544,48,0.36454
ENSG00000177133,PRDM16-DT,12,-0.1567,35,1.73210,12,-0.1690,10,-0.9670
ENSG00000158109,TPRG1L,60,-1.7036,145,-0.3441,208,0.23408,202,0.54844
ENSG00000116213,WRAP73,9,-0.9337,11,-0.5054,18,0.16824,17,0.46797
ENSG00000130764,LRRC47,50,-0.9849,55,-0.8472,115,0.33718,104,0.50339
ENSG00000116198,CEP104,35,1.20008,15,-0.2145,12,-0.5738,16,-0.4020
ENSG00000198912,C1orf174,10,-0.3155,13,0.02617,10,-0.4243,14,0.29596
ENSG00000196581,AJAP1,10,-1.6641,11,-1.5261,32,0.05097,38,1.05298
ENSG00000069424,KCNAB2,49,-2.3722,227,-0.0254,161,-0.5700,274,0.90615
ENSG00000116254,CHD5,37,-1.6780,80,-0.5203,100,-0.1706,130,0.84527
ENSG00000116251,RPL22,1234,1.70688,565,0.29248,505,0.10815,325,-1.2389
ENSG00000116237,ICMT,17,-1.3690,35,-0.3032,13,-1.7537,53,1.24816
ENSG00000097021,ACOT7,72,-2.1682,163,-0.9509,206,-0.5902,374,1.34502
ENSG00000215788,TNFRSF25,2,-3.3939,12,-0.7062,26,0.54697,21,0.68408
ENSG00000171680,PLEKHG5,11,-1.3464,14,-0.9946,35,0.46978,30,0.55853
ENSG00000162408,NOL9,18,-0.6070,20,-0.4466,30,0.16197,29,0.34438
ENSG00000162413,KLHL21,25,-0.5648,23,-0.6703,50,0.56063,37,0.17862
ENSG00000116273,PHF13,7,-1.1873,7,-1.1420,21,0.48352,17,0.55125
ENSG00000041988,THAP3,19,-0.1716,17,-0.3173,15,-0.5299,23,0.42952
ENSG00000007923,DNAJC11,18,-0.8298,32,0.05386,34,0.15631,32,0.20301
ENSG00000171735,CAMTA1,101,-0.7035,127,-0.3576,229,0.61647,161,0.08090
ENSG00000049245,VAMP3,129,3.37766,30,0.31687,22,-0.1704,7,-2.9978
ENSG00000049246,PER3,28,0.53140,17,-0.3068,23,0.19477,19,-0.2319
ENSG00000116288,PARK7,309,-0.1646,328,-0.0689,459,0.48502,331,-0.1430
ENSG00000116285,ERRFI1,22,0.07065,12,-0.8073,22,0.12425,22,0.20447
ENSG00000162426,SLC45A1,15,-1.5067,28,-0.5510,37,-0.1252,47,0.79616
ENSG00000142599,RERE,57,-0.6553,68,-0.3942,71,-0.3141,98,0.57162
ENSG00000074800,ENO1,478,-0.5612,488,-0.5267,778,0.22124,729,0.32611
ENSG00000171612,SLC25A33,26,-0.4140,29,-0.2520,38,0.15635,36,0.20158
ENSG00000188807,TMEM201,8,-0.5052,13,0.20170,14,0.22941,12,-0.0071
ENSG00000171608,PIK3CD,6,-1.4415,14,-0.1770,16,-0.0253,18,0.56244
ENSG00000171603,CLSTN1,187,-2.0633,391,-0.9543,751,0.07302,856,0.94783
ENSG00000178585,CTNNBIP1,40,-0.1592,44,0.00169,36,-0.2986,46,0.19401
