Feature ID,Feature Name,Feature count topic 1to8,Feature log2 fold change topic 1to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000228794,LINC01128,20,0.36438,16,-0.2428,16,-0.3404
ENSG00000188976,NOC2L,44,1.14331,10,-1.9397,23,-0.7920
ENSG00000188290,HES4,63,-0.7318,240,1.92764,61,-0.4450
ENSG00000187608,ISG15,86,-0.2205,177,1.08302,75,-0.3558
ENSG00000188157,AGRN,19,0.51265,17,-0.0171,12,-0.6313
ENSG00000078808,SDF4,65,0.27056,80,0.42005,45,-0.5582
ENSG00000176022,B3GALT6,36,0.38703,46,0.52328,21,-0.7962
ENSG00000160087,UBE2J2,45,0.87353,23,-0.7586,25,-0.7711
ENSG00000131584,ACAP3,65,0.55221,56,-0.0457,40,-0.6687
ENSG00000127054,INTS11,52,1.08800,31,-0.5010,22,-1.1567
ENSG00000224051,CPTP,33,0.63753,33,0.19640,17,-0.9301
ENSG00000107404,DVL1,48,-0.0635,45,-0.1256,52,0.12270
ENSG00000175756,AURKAIP1,195,0.27480,126,-0.5791,172,-0.1172
ENSG00000221978,CCNL2,43,0.38954,52,0.45068,26,-0.7466
ENSG00000242485,MRPL20,204,-0.0475,183,-0.1839,220,0.12499
ENSG00000235098,ANKRD65,23,0.46793,15,-0.4600,17,-0.3834
ENSG00000179403,VWA1,19,-1.0158,60,1.38282,32,0.43813
ENSG00000197785,ATAD3A,18,1.23347,11,-0.3772,6,-1.4321
ENSG00000205090,TMEM240,43,0.69032,24,-0.6664,27,-0.5794
ENSG00000160075,SSU72,172,0.45099,130,-0.2888,124,-0.4281
ENSG00000228594,FNDC10,31,0.48087,21,-0.4223,22,-0.4128
ENSG00000272106,AL691432.2,30,0.70968,16,-0.6765,18,-0.5994
ENSG00000197530,MIB2,32,0.95001,9,-1.5062,18,-0.6561
ENSG00000248333,CDK11B,14,0.23856,19,0.54018,10,-0.5939
ENSG00000189339,SLC35E2B,17,0.23284,18,0.10274,14,-0.3304
ENSG00000008128,CDK11A,10,0.10599,15,0.61309,8,-0.4592
ENSG00000215790,SLC35E2A,22,0.18711,17,-0.3212,20,-0.0991
ENSG00000008130,NADK,25,0.46906,23,0.04542,16,-0.6066
ENSG00000078369,GNB1,433,0.28745,333,-0.3098,362,-0.2218
ENSG00000187730,GABRD,173,1.40290,43,-1.7562,73,-1.1220
ENSG00000067606,PRKCZ,209,0.55291,140,-0.4488,143,-0.4906
ENSG00000162585,FAAP20,35,-0.5123,57,0.55981,48,0.34960
ENSG00000157933,SKI,32,-0.0184,35,0.15298,31,-0.0435
ENSG00000157916,RER1,64,0.25644,60,-0.0080,51,-0.3077
ENSG00000157911,PEX10,22,0.01416,21,-0.0198,21,-0.0087
ENSG00000149527,PLCH2,15,0.72711,8,-0.6209,9,-0.6404
ENSG00000157881,PANK4,18,0.53486,10,-0.7561,13,-0.3660
ENSG00000197921,HES5,12,-0.5728,3,-2.0413,23,1.02942
ENSG00000157870,PRXL2B,79,0.58579,57,-0.3235,51,-0.5815
ENSG00000177133,PRDM16-DT,7,-1.9572,11,-0.3141,34,2.12144
ENSG00000158109,TPRG1L,182,0.73912,107,-0.5969,110,-0.6640
ENSG00000116213,WRAP73,13,1.03357,8,-0.3970,5,-1.1356
ENSG00000130764,LRRC47,82,0.76863,63,-0.1700,43,-0.8934
ENSG00000116198,CEP104,12,-0.0592,14,0.16252,12,0.00129
ENSG00000198912,C1orf174,12,0.75135,11,0.10773,6,-1.0365
ENSG00000196581,AJAP1,55,1.05601,20,-1.2486,28,-0.8396
ENSG00000069424,KCNAB2,225,0.57079,103,-1.0224,167,-0.3351
ENSG00000116254,CHD5,133,0.43621,69,-0.8614,107,-0.2227
