"","cluster","mod","n_genes","n_FDR05","nUP","nDown"
"1","Astro","carrier",18320,75,62,13
"2","Macro","carrier",2931,15,10,5
"3","Micro","carrier",14350,2,0,2
"4","Oligo","carrier",21175,178,163,15
"5","OPC","carrier",17884,0,0,0
"6","Vasc","carrier",9533,0,0,0
"7","Excit","carrier",26791,72,31,41
"8","Inhib","carrier",21835,22,3,19
"9","Astro","E4E4",18320,0,0,0
"10","Macro","E4E4",2931,2,1,1
"11","Micro","E4E4",14350,0,0,0
"12","Oligo","E4E4",21175,0,0,0
"13","OPC","E4E4",17884,0,0,0
"14","Vasc","E4E4",9533,0,0,0
"15","Excit","E4E4",26791,0,0,0
"16","Inhib","E4E4",21835,0,0,0
"17","Astro","apoe_E2E2_E4E4",18320,10,8,2
"18","Macro","apoe_E2E2_E4E4",2931,0,0,0
"19","Micro","apoe_E2E2_E4E4",14350,0,0,0
"20","Oligo","apoe_E2E2_E4E4",21175,0,0,0
"21","OPC","apoe_E2E2_E4E4",17884,0,0,0
"22","Vasc","apoe_E2E2_E4E4",9533,0,0,0
"23","Excit","apoe_E2E2_E4E4",26791,1,0,1
"24","Inhib","apoe_E2E2_E4E4",21835,0,0,0
"25","Astro","apoe_E3E4_E4E4",18320,12,11,1
"26","Macro","apoe_E3E4_E4E4",2931,13,5,8
"27","Micro","apoe_E3E4_E4E4",14350,0,0,0
"28","Oligo","apoe_E3E4_E4E4",21175,1,0,1
"29","OPC","apoe_E3E4_E4E4",17884,0,0,0
"30","Vasc","apoe_E3E4_E4E4",9533,0,0,0
"31","Excit","apoe_E3E4_E4E4",26791,0,0,0
"32","Inhib","apoe_E3E4_E4E4",21835,0,0,0
"33","Astro","apoe_E2E3_E4E4",18320,0,0,0
"34","Macro","apoe_E2E3_E4E4",2931,0,0,0
"35","Micro","apoe_E2E3_E4E4",14350,0,0,0
"36","Oligo","apoe_E2E3_E4E4",21175,0,0,0
"37","OPC","apoe_E2E3_E4E4",17884,0,0,0
"38","Vasc","apoe_E2E3_E4E4",9533,0,0,0
"39","Excit","apoe_E2E3_E4E4",26791,0,0,0
"40","Inhib","apoe_E2E3_E4E4",21835,0,0,0
"41","Astro","apoe_E2E2_E3E4",18320,210,84,126
"42","Macro","apoe_E2E2_E3E4",2931,18,10,8
"43","Micro","apoe_E2E2_E3E4",14350,13,2,11
"44","Oligo","apoe_E2E2_E3E4",21175,886,770,116
"45","OPC","apoe_E2E2_E3E4",17884,5,2,3
"46","Vasc","apoe_E2E2_E3E4",9533,0,0,0
"47","Excit","apoe_E2E2_E3E4",26791,921,415,506
"48","Inhib","apoe_E2E2_E3E4",21835,50,8,42
"49","Astro","apoe_E2E2_E2E3",18320,6,1,5
"50","Macro","apoe_E2E2_E2E3",2931,0,0,0
"51","Micro","apoe_E2E2_E2E3",14350,0,0,0
"52","Oligo","apoe_E2E2_E2E3",21175,0,0,0
"53","OPC","apoe_E2E2_E2E3",17884,0,0,0
"54","Vasc","apoe_E2E2_E2E3",9533,1,1,0
"55","Excit","apoe_E2E2_E2E3",26791,1,0,1
"56","Inhib","apoe_E2E2_E2E3",21835,2,0,2
"57","Astro","apoe_E2E3_E3E4",18320,3,0,3
"58","Macro","apoe_E2E3_E3E4",2931,104,50,54
"59","Micro","apoe_E2E3_E3E4",14350,2,0,2
"60","Oligo","apoe_E2E3_E3E4",21175,1,1,0
"61","OPC","apoe_E2E3_E3E4",17884,13,1,12
"62","Vasc","apoe_E2E3_E3E4",9533,8,2,6
"63","Excit","apoe_E2E3_E3E4",26791,0,0,0
"64","Inhib","apoe_E2E3_E3E4",21835,3,0,3
"65","Astro","anyE2_E4E4",18320,0,0,0
"66","Macro","anyE2_E4E4",2931,0,0,0
"67","Micro","anyE2_E4E4",14350,0,0,0
"68","Oligo","anyE2_E4E4",21175,0,0,0
"69","OPC","anyE2_E4E4",17884,0,0,0
"70","Vasc","anyE2_E4E4",9533,0,0,0
"71","Excit","anyE2_E4E4",26791,0,0,0
"72","Inhib","anyE2_E4E4",21835,0,0,0
"73","Astro","E2E2_anyE4",18320,87,66,21
"74","Macro","E2E2_anyE4",2931,0,0,0
"75","Micro","E2E2_anyE4",14350,5,1,4
"76","Oligo","E2E2_anyE4",21175,44,43,1
"77","OPC","E2E2_anyE4",17884,0,0,0
"78","Vasc","E2E2_anyE4",9533,0,0,0
"79","Excit","E2E2_anyE4",26791,387,161,226
"80","Inhib","E2E2_anyE4",21835,48,15,33
"81","Astro","E2E3_anyE4",18320,0,0,0
"82","Macro","E2E3_anyE4",2931,11,6,5
"83","Micro","E2E3_anyE4",14350,1,0,1
"84","Oligo","E2E3_anyE4",21175,0,0,0
"85","OPC","E2E3_anyE4",17884,0,0,0
"86","Vasc","E2E3_anyE4",9533,0,0,0
"87","Excit","E2E3_anyE4",26791,0,0,0
"88","Inhib","E2E3_anyE4",21835,0,0,0
"89","Astro","Sex",18320,26,20,6
"90","Macro","Sex",2931,2,1,1
"91","Micro","Sex",14350,25,18,7
"92","Oligo","Sex",21175,28,21,7
"93","OPC","Sex",17884,34,25,9
"94","Vasc","Sex",9533,15,14,1
"95","Excit","Sex",26791,27,24,3
"96","Inhib","Sex",21835,27,23,4
"97","Astro","Anc",18320,2,1,1
"98","Macro","Anc",2931,0,0,0
"99","Micro","Anc",14350,2,1,1
"100","Oligo","Anc",21175,8,4,4
"101","OPC","Anc",17884,2,1,1
"102","Vasc","Anc",9533,0,0,0
"103","Excit","Anc",26791,0,0,0
"104","Inhib","Anc",21835,0,0,0
