Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to9,Feature log2 fold change topic 7to9
ENSG00000188976,NOC2L,17,-2.2245,126,0.88542,123,1.01770,38,-1.0353,31,-1.3469,70,-0.1170
ENSG00000188290,HES4,754,3.06113,76,-1.1884,79,-1.2500,44,-2.0092,311,1.09907,43,-2.3584
ENSG00000187608,ISG15,1,-5.3510,64,0.36610,24,-1.2694,78,0.69650,149,1.91893,40,-0.4879
ENSG00000078808,SDF4,185,0.91206,145,0.49178,64,-0.8954,88,-0.3319,137,0.39538,95,-0.2541
ENSG00000160087,UBE2J2,26,-1.4615,107,0.78388,93,0.62708,33,-1.0935,48,-0.5255,68,0.03068
ENSG00000131584,ACAP3,108,-0.6295,192,0.28473,282,1.15308,135,-0.2845,93,-0.8606,119,-0.6074
ENSG00000127054,INTS11,136,1.03987,112,0.69189,70,-0.0809,28,-1.4732,65,-0.2023,60,-0.4073
ENSG00000107404,DVL1,17,-2.5664,26,-1.9706,94,0.02120,130,0.54704,85,-0.1440,131,0.81275
ENSG00000175756,AURKAIP1,101,-0.3417,98,-0.3943,159,0.44817,83,-0.6519,64,-1.0426,155,0.48685
ENSG00000221978,CCNL2,90,0.75472,39,-0.5909,62,0.15413,40,-0.5664,73,0.41054,49,-0.3083
ENSG00000242485,MRPL20,163,0.45693,116,-0.1053,113,-0.1617,122,-0.0196,99,-0.3486,128,0.08681
ENSG00000179403,VWA1,14,-2.1477,13,-2.3022,15,-2.2764,53,-0.1776,111,1.05335,105,1.50519
ENSG00000205090,TMEM240,1,-5.9377,103,0.46215,125,0.96502,55,-0.5400,53,-0.5981,79,0.02748
ENSG00000160075,SSU72,66,-1.6709,332,0.89594,263,0.57579,146,-0.4633,154,-0.3751,178,-0.1962
ENSG00000228594,FNDC10,60,0.13231,54,-0.0212,88,0.92891,50,-0.1506,5,-3.4461,50,-0.1883
ENSG00000197530,MIB2,1,-5.2189,66,0.58177,67,0.70485,48,0.03441,66,0.57318,35,-0.5771
ENSG00000078369,GNB1,435,0.07683,587,0.57554,366,-0.2315,321,-0.4091,398,-0.0696,421,0.03214
ENSG00000187730,GABRD,1,-6.6604,284,0.93477,285,1.14549,70,-1.3072,80,-1.1138,155,-0.1144
ENSG00000067606,PRKCZ,275,0.42799,280,0.45837,260,0.38980,227,0.11066,99,-1.1931,170,-0.4618
ENSG00000162585,FAAP20,136,1.03750,4,-4.0648,84,0.23978,72,-0.0444,97,0.43846,63,-0.3399
ENSG00000157933,SKI,112,0.39875,97,0.16267,107,0.37084,74,-0.2778,67,-0.4309,76,-0.3081
ENSG00000157916,RER1,158,1.31078,124,0.86347,61,-0.3394,52,-0.5538,71,-0.0623,46,-0.9253
ENSG00000197921,HES5,10,-3.9712,18,-3.0900,60,-1.4299,73,-1.0267,161,0.22087,295,2.20042
ENSG00000157870,PRXL2B,59,-1.0105,222,1.15557,149,0.53357,91,-0.3457,93,-0.3089,84,-0.5850
ENSG00000177133,PRDM16-DT,8,-2.5949,14,-1.8356,10,-2.4133,38,-0.3047,48,0.07070,95,2.13445
ENSG00000158109,TPRG1L,164,0.08008,269,0.91356,148,-0.0997,96,-0.7721,104,-0.6404,159,0.04152
ENSG00000130764,LRRC47,1,-5.6702,108,0.87175,73,0.25905,42,-0.6523,79,0.34752,66,0.07960
