Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to8,Feature log2 fold change topic 4to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11
ENSG00000228794,LINC01128,11,-1.4448,41,0.52918,33,0.15736,31,0.13835,45,0.65529,20,-0.6553
ENSG00000188976,NOC2L,32,-0.7919,86,0.77678,75,0.55320,51,-0.1246,68,0.40648,35,-0.6920
ENSG00000188290,HES4,239,1.56713,67,-0.5367,67,-0.5306,85,-0.2673,85,-0.1761,79,-0.3126
ENSG00000187608,ISG15,221,1.13788,79,-0.5365,135,0.30717,99,-0.2847,84,-0.4442,104,-0.1138
ENSG00000188157,AGRN,34,-0.0673,57,0.73829,43,0.28337,37,0.05235,9,-2.0407,34,-0.0758
ENSG00000078808,SDF4,86,-0.1797,116,0.30291,134,0.53198,85,-0.3193,105,0.12977,97,0.01806
ENSG00000176022,B3GALT6,29,-0.3677,51,0.51777,34,-0.1381,33,-0.2957,56,0.65553,36,-0.0266
ENSG00000160087,UBE2J2,35,-0.6290,70,0.43537,65,0.31427,50,-0.1337,71,0.45965,46,-0.2549
ENSG00000131584,ACAP3,62,-0.6507,168,0.93881,58,-0.7694,98,0.07760,71,-0.4544,98,0.05840
ENSG00000127054,INTS11,56,-0.0333,81,0.55296,56,-0.0371,50,-0.3547,82,0.56243,54,-0.1072
ENSG00000224051,CPTP,21,-0.7384,45,0.41222,33,-0.0823,34,-0.0679,46,0.45143,33,-0.0519
ENSG00000107404,DVL1,75,-0.0606,67,-0.2437,73,-0.1101,72,-0.2160,102,0.42125,92,0.29306
ENSG00000175756,AURKAIP1,171,0.09608,116,-0.5070,135,-0.2761,184,0.37849,116,-0.5115,156,-0.0584
ENSG00000221978,CCNL2,71,0.64258,64,0.49162,50,0.07132,41,-0.3553,48,0.03268,42,-0.2291
